driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
71,1,6,01:40.4,100436,Hill,25
71,2,6,02:32.0,152041,Hill,25
71,3,6,02:42.0,161998,Hill,25
71,4,6,02:30.1,150106,Hill,25
71,5,6,01:34.0,94035,Hill,25
71,6,5,01:32.6,92601,Hill,25
71,7,5,01:34.0,93998,Hill,25
71,8,7,01:34.5,94466,Hill,25
71,9,7,01:31.9,91868,Hill,25
71,10,7,01:32.0,91953,Hill,25
71,11,7,01:32.6,92620,Hill,25
71,12,7,01:32.9,92870,Hill,25
71,13,7,01:32.3,92317,Hill,25
71,14,7,01:31.9,91858,Hill,25
71,15,7,01:31.7,91663,Hill,25
71,16,7,01:31.5,91468,Hill,25
71,17,7,01:31.6,91618,Hill,25
71,18,11,01:39.4,99444,Hill,25
71,19,10,01:31.8,91799,Hill,25
71,20,10,01:31.5,91500,Hill,25
71,21,11,01:35.6,95570,Hill,25
71,22,10,01:33.0,93021,Hill,25
71,23,10,01:30.6,90649,Hill,25
71,24,9,01:30.8,90820,Hill,25
71,25,8,01:31.4,91391,Hill,25
71,26,8,01:31.8,91784,Hill,25
71,27,9,01:34.5,94520,Hill,25
71,28,9,01:31.4,91424,Hill,25
71,29,9,01:31.9,91892,Hill,25
71,30,9,01:31.9,91947,Hill,25
71,31,8,01:32.4,92410,Hill,25
71,32,8,01:31.3,91318,Hill,25
71,33,8,01:33.2,93227,Hill,25
64,1,10,01:45.2,105174,Diniz,25
64,2,11,02:30.9,150895,Diniz,25
64,3,10,02:41.8,161822,Diniz,25
64,4,10,02:29.6,149632,Diniz,25
64,5,10,01:34.6,94632,Diniz,25
64,6,9,01:33.3,93294,Diniz,25
64,7,9,01:32.4,92394,Diniz,25
64,8,9,01:33.4,93389,Diniz,25
64,9,9,01:32.4,92422,Diniz,25
64,10,9,01:32.4,92386,Diniz,25
64,11,9,01:32.6,92606,Diniz,25
64,12,9,01:32.2,92237,Diniz,25
64,13,9,01:32.4,92448,Diniz,25
64,14,9,01:31.7,91730,Diniz,25
64,15,9,01:32.0,92038,Diniz,25
64,16,9,01:32.2,92175,Diniz,25
64,17,9,01:31.8,91760,Diniz,25
64,18,7,01:32.7,92743,Diniz,25
64,19,6,01:32.2,92188,Diniz,25
64,20,6,01:32.0,91963,Diniz,25
64,21,6,01:31.7,91673,Diniz,25
