driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
71,1,7,01:33.3,93320,Hill,20
71,2,7,01:23.1,83063,Hill,20
71,3,7,01:22.8,82830,Hill,20
71,4,7,01:22.6,82563,Hill,20
71,5,7,01:22.8,82807,Hill,20
71,6,7,01:22.5,82512,Hill,20
71,7,7,01:22.6,82648,Hill,20
71,8,7,01:22.7,82661,Hill,20
71,9,7,01:22.5,82486,Hill,20
71,10,7,01:22.3,82267,Hill,20
71,11,7,01:22.4,82355,Hill,20
71,12,7,01:22.5,82461,Hill,20
71,13,7,01:22.2,82188,Hill,20
71,14,7,01:22.0,81994,Hill,20
71,15,7,01:22.0,81971,Hill,20
71,16,7,01:22.2,82243,Hill,20
71,17,7,01:22.0,82037,Hill,20
71,18,7,01:22.4,82353,Hill,20
71,19,7,01:22.5,82537,Hill,20
71,20,7,01:21.6,81630,Hill,20
71,21,6,01:21.6,81620,Hill,20
71,22,6,01:21.6,81551,Hill,20
71,23,6,01:22.0,81976,Hill,20
71,24,6,01:21.6,81645,Hill,20
71,25,6,01:21.2,81205,Hill,20
71,26,6,01:21.3,81345,Hill,20
71,27,6,01:21.6,81554,Hill,20
71,28,6,01:21.9,81878,Hill,20
71,29,6,01:22.1,82110,Hill,20
71,30,6,01:21.3,81267,Hill,20
71,31,6,01:22.4,82383,Hill,20
71,32,6,01:21.7,81702,Hill,20
71,33,6,01:21.4,81364,Hill,20
71,34,6,01:21.8,81753,Hill,20
71,35,6,01:22.4,82417,Hill,20
71,36,6,01:24.3,84287,Hill,20
71,37,13,02:09.2,129167,Hill,20
71,38,13,01:20.6,80603,Hill,20
71,39,13,01:20.9,80904,Hill,20
71,40,12,01:21.6,81604,Hill,20
71,41,11,01:21.1,81129,Hill,20
71,42,11,01:21.6,81630,Hill,20
71,43,10,01:21.6,81646,Hill,20
71,44,8,01:23.7,83678,Hill,20
71,45,8,01:22.1,82099,Hill,20
71,46,8,01:21.5,81496,Hill,20
71,47,8,01:21.7,81749,Hill,20
71,48,8,01:21.2,81183,Hill,20
71,49,8,01:20.8,80819,Hill,20
71,50,8,01:20.6,80587,Hill,20
71,51,8,01:21.0,80989,Hill,20
71,52,8,01:21.3,81291,Hill,20
71,53,8,01:20.9,80878,Hill,20
71,54,8,01:21.0,80987,Hill,20
71,55,8,01:21.1,81090,Hill,20
71,56,8,01:20.8,80767,Hill,20
71,57,8,01:20.7,80737,Hill,20
71,58,8,01:20.5,80541,Hill,20
71,59,8,01:20.7,80690,Hill,20
71,60,8,01:20.5,80512,Hill,20
71,61,8,01:20.5,80501,Hill,20
71,62,8,01:21.1,81051,Hill,20
71,63,8,01:22.0,81978,Hill,20
71,64,8,01:20.4,80407,Hill,20
71,65,8,01:21.7,81655,Hill,20
71,66,8,01:20.7,80653,Hill,20
71,67,8,01:20.6,80616,Hill,20
64,1,8,01:34.1,94050,Diniz,20
64,2,8,01:23.3,83254,Diniz,20
64,3,8,01:22.9,82916,Diniz,20
64,4,8,01:22.6,82634,Diniz,20
64,5,8,01:22.4,82427,Diniz,20
64,6,8,01:22.4,82415,Diniz,20
64,7,8,01:22.7,82681,Diniz,20
64,8,8,01:22.5,82473,Diniz,20
64,9,8,01:22.6,82610,Diniz,20
64,10,8,01:22.6,82610,Diniz,20
64,11,8,01:22.1,82106,Diniz,20
64,12,8,01:22.3,82322,Diniz,20
64,13,8,01:22.2,82197,Diniz,20
64,14,8,01:22.2,82243,Diniz,20
64,15,8,01:22.2,82150,Diniz,20
64,16,8,01:23.5,83460,Diniz,20
64,17,9,01:23.3,83254,Diniz,20
64,18,9,01:22.4,82379,Diniz,20
64,19,9,01:21.9,81873,Diniz,20
64,20,9,01:21.8,81798,Diniz,20
64,21,9,01:23.3,83265,Diniz,20
64,22,8,01:22.0,82006,Diniz,20
64,23,8,01:22.0,82023,Diniz,20
64,24,8,01:21.7,81747,Diniz,20
64,25,8,01:21.3,81262,Diniz,20
64,26,8,01:21.3,81299,Diniz,20
64,27,8,01:21.6,81557,Diniz,20
64,28,8,01:21.5,81538,Diniz,20
64,29,8,01:21.3,81271,Diniz,20
64,30,8,01:21.6,81575,Diniz,20
64,31,7,01:21.7,81662,Diniz,20
64,32,7,01:21.6,81643,Diniz,20
64,33,7,01:21.3,81308,Diniz,20
64,34,7,01:21.6,81639,Diniz,20
64,35,7,01:21.8,81792,Diniz,20
64,36,7,01:22.0,81998,Diniz,20
64,37,6,01:21.7,81674,Diniz,20
64,38,6,01:23.3,83262,Diniz,20
64,39,8,01:23.8,83774,Diniz,20
64,40,10,01:44.4,104426,Diniz,20
64,41,9,01:21.8,81801,Diniz,20
64,42,9,01:23.0,82987,Diniz,20
64,43,7,01:22.3,82298,Diniz,20
64,44,5,01:22.0,81972,Diniz,20
64,45,5,01:21.7,81704,Diniz,20
64,46,5,01:22.1,82061,Diniz,20
64,47,5,01:21.5,81501,Diniz,20
64,48,5,01:21.7,81695,Diniz,20
64,49,5,01:21.8,81796,Diniz,20
64,50,5,01:21.6,81643,Diniz,20
64,51,5,01:22.2,82155,Diniz,20
64,52,5,01:21.5,81482,Diniz,20
64,53,5,01:21.7,81656,Diniz,20
64,54,5,01:21.4,81419,Diniz,20
64,55,5,01:21.5,81510,Diniz,20
64,56,5,01:22.0,81991,Diniz,20
64,57,5,01:21.6,81617,Diniz,20
64,58,5,01:21.4,81420,Diniz,20
64,59,5,01:21.6,81580,Diniz,20
64,60,5,01:21.5,81468,Diniz,20
64,61,5,01:22.0,82039,Diniz,20
64,62,5,01:21.8,81833,Diniz,20
64,63,5,01:21.6,81590,Diniz,20
64,64,5,01:22.0,82050,Diniz,20
64,65,5,01:21.9,81870,Diniz,20
64,66,5,01:21.7,81686,Diniz,20
64,67,5,01:21.6,81593,Diniz,20
35,1,3,01:30.2,90217,Villeneuve,20
35,2,3,01:21.9,81895,Villeneuve,20
35,3,3,01:21.7,81749,Villeneuve,20
35,4,3,01:21.4,81426,Villeneuve,20
35,5,3,01:21.0,80989,Villeneuve,20
35,6,3,01:20.9,80874,Villeneuve,20
35,7,3,01:21.0,81046,Villeneuve,20
35,8,3,01:21.2,81197,Villeneuve,20
35,9,3,01:21.1,81098,Villeneuve,20
35,10,3,01:20.7,80659,Villeneuve,20
35,11,3,01:21.0,81044,Villeneuve,20
35,12,3,01:20.8,80819,Villeneuve,20
35,13,3,01:20.4,80404,Villeneuve,20
35,14,3,01:20.3,80264,Villeneuve,20
35,15,3,01:20.5,80527,Villeneuve,20
35,16,3,01:20.6,80554,Villeneuve,20
35,17,3,01:20.4,80355,Villeneuve,20
35,18,3,01:21.2,81228,Villeneuve,20
35,19,3,01:20.2,80232,Villeneuve,20
35,20,3,01:20.5,80526,Villeneuve,20
35,21,3,01:20.6,80568,Villeneuve,20
35,22,3,01:20.1,80122,Villeneuve,20
35,23,3,01:20.4,80398,Villeneuve,20
35,24,3,01:21.2,81199,Villeneuve,20
35,25,3,01:20.1,80131,Villeneuve,20
35,26,3,01:20.0,79981,Villeneuve,20
35,27,3,01:20.3,80272,Villeneuve,20
35,28,3,01:22.6,82606,Villeneuve,20
35,29,3,01:42.4,102415,Villeneuve,20
