driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
35,1,4,01:35.6,95579,Villeneuve,21
35,2,4,01:32.6,92566,Villeneuve,21
35,3,4,01:32.7,92671,Villeneuve,21
35,4,4,01:32.2,92211,Villeneuve,21
35,5,4,01:32.5,92503,Villeneuve,21
35,6,4,01:32.1,92106,Villeneuve,21
35,7,4,01:32.2,92160,Villeneuve,21
35,8,4,01:32.0,92027,Villeneuve,21
35,9,4,01:32.5,92463,Villeneuve,21
35,10,4,01:32.1,92094,Villeneuve,21
35,11,4,01:32.2,92221,Villeneuve,21
35,12,4,01:32.2,92175,Villeneuve,21
35,13,4,01:31.8,91769,Villeneuve,21
35,14,4,01:31.8,91752,Villeneuve,21
35,15,4,01:31.8,91771,Villeneuve,21
35,16,4,01:32.1,92087,Villeneuve,21
35,17,3,01:32.3,92304,Villeneuve,21
35,18,3,01:32.0,91959,Villeneuve,21
35,19,3,01:32.2,92179,Villeneuve,21
35,20,3,01:32.9,92874,Villeneuve,21
35,21,3,01:31.9,91925,Villeneuve,21
35,22,3,01:31.7,91654,Villeneuve,21
35,23,3,01:31.8,91834,Villeneuve,21
35,24,3,01:31.9,91861,Villeneuve,21
35,25,3,01:31.8,91832,Villeneuve,21
35,26,3,01:31.8,91840,Villeneuve,21
35,27,5,01:55.9,115904,Villeneuve,21
35,28,4,01:30.8,90789,Villeneuve,21
35,29,4,01:32.0,92018,Villeneuve,21
35,30,4,01:31.4,91359,Villeneuve,21
35,31,4,01:31.1,91117,Villeneuve,21
35,32,4,01:31.1,91105,Villeneuve,21
35,33,4,01:31.4,91365,Villeneuve,21
35,34,4,01:31.0,91024,Villeneuve,21
35,35,4,01:30.8,90830,Villeneuve,21
35,36,4,01:30.9,90859,Villeneuve,21
35,37,4,01:30.5,90520,Villeneuve,21
35,38,4,01:31.1,91075,Villeneuve,21
35,39,4,01:30.9,90891,Villeneuve,21
35,40,4,01:31.3,91313,Villeneuve,21
35,41,4,01:31.7,91665,Villeneuve,21
35,42,4,01:30.8,90778,Villeneuve,21
35,43,4,01:30.7,90676,Villeneuve,21
35,44,4,01:30.4,90371,Villeneuve,21
35,45,4,01:56.3,116254,Villeneuve,21
35,46,4,01:30.8,90762,Villeneuve,21
35,47,4,01:30.1,90103,Villeneuve,21
35,48,4,01:30.6,90584,Villeneuve,21
35,49,4,01:30.6,90622,Villeneuve,21
35,50,4,01:30.7,90747,Villeneuve,21
35,51,4,01:30.9,90924,Villeneuve,21
35,52,4,01:30.7,90708,Villeneuve,21
35,53,4,01:30.5,90545,Villeneuve,21
35,54,4,01:30.8,90830,Villeneuve,21
35,55,4,01:31.0,90981,Villeneuve,21
35,56,4,01:30.1,90141,Villeneuve,21
35,57,4,01:29.7,89726,Villeneuve,21
35,58,4,01:30.9,90900,Villeneuve,21
35,59,4,01:30.5,90538,Villeneuve,21
35,60,4,01:30.3,90258,Villeneuve,21
35,61,4,01:31.0,91015,Villeneuve,21
35,62,4,01:31.5,91469,Villeneuve,21
49,1,6,01:38.0,97965,Frentzen,21
49,2,6,01:33.9,93948,Frentzen,21
49,3,6,01:33.2,93234,Frentzen,21
49,4,6,01:32.8,92774,Frentzen,21
49,5,6,01:32.8,92847,Frentzen,21
49,6,6,01:32.7,92717,Frentzen,21
49,7,6,01:32.6,92640,Frentzen,21
49,8,6,01:32.6,92624,Frentzen,21
49,9,6,01:32.4,92387,Frentzen,21
49,10,6,01:32.6,92595,Frentzen,21
49,11,6,01:33.0,92972,Frentzen,21
49,12,6,01:32.9,92890,Frentzen,21
49,13,6,01:32.3,92289,Frentzen,21
49,14,6,01:32.2,92204,Frentzen,21
49,15,6,01:32.0,92018,Frentzen,21
49,16,6,01:32.1,92143,Frentzen,21
49,17,6,01:32.4,92379,Frentzen,21
49,18,5,01:32.2,92225,Frentzen,21
49,19,5,01:31.9,91920,Frentzen,21
49,20,5,01:31.6,91598,Frentzen,21
49,21,5,01:31.7,91691,Frentzen,21
49,22,5,01:33.1,93143,Frentzen,21
49,23,5,01:31.4,91391,Frentzen,21
49,24,5,01:32.5,92469,Frentzen,21
49,25,5,01:32.3,92302,Frentzen,21
49,26,5,01:31.8,91781,Frentzen,21
49,27,4,01:31.4,91439,Frentzen,21
49,28,6,01:53.7,113730,Frentzen,21
49,29,6,01:32.5,92526,Frentzen,21
49,30,6,01:31.9,91866,Frentzen,21
49,31,6,01:31.1,91051,Frentzen,21
49,32,6,01:31.8,91848,Frentzen,21
49,33,6,01:31.7,91707,Frentzen,21
49,34,6,01:31.4,91394,Frentzen,21
49,35,6,01:31.4,91436,Frentzen,21
49,36,6,01:31.2,91153,Frentzen,21
49,37,6,01:30.9,90851,Frentzen,21
49,38,6,01:31.2,91228,Frentzen,21
49,39,6,01:30.8,90781,Frentzen,21
49,40,6,01:30.3,90283,Frentzen,21
49,41,5,01:30.9,90856,Frentzen,21
49,42,5,01:55.2,115227,Frentzen,21
49,43,5,01:30.8,90794,Frentzen,21
49,44,5,01:31.1,91120,Frentzen,21
49,45,5,01:31.2,91185,Frentzen,21
49,46,5,01:31.5,91545,Frentzen,21
49,47,5,01:32.0,92012,Frentzen,21
49,48,5,01:31.7,91708,Frentzen,21
49,49,5,01:31.7,91739,Frentzen,21
49,50,5,01:31.6,91564,Frentzen,21
49,51,5,01:31.3,91289,Frentzen,21
49,52,5,01:31.5,91529,Frentzen,21
49,53,5,01:31.2,91198,Frentzen,21
49,54,5,01:30.8,90785,Frentzen,21
49,55,5,01:30.5,90547,Frentzen,21
49,56,5,01:31.3,91315,Frentzen,21
49,57,5,01:30.7,90681,Frentzen,21
49,58,5,01:30.8,90828,Frentzen,21
49,59,5,01:31.7,91651,Frentzen,21
49,60,5,01:31.6,91621,Frentzen,21
49,61,5,01:31.7,91689,Frentzen,21
49,62,5,01:30.7,90748,Frentzen,21
30,1,3,01:34.3,94335,Schumacher,21
30,2,3,01:32.0,92044,Schumacher,21
30,3,3,01:31.9,91850,Schumacher,21
30,4,3,01:31.6,91598,Schumacher,21
30,5,3,01:31.2,91199,Schumacher,21
30,6,3,01:31.1,91104,Schumacher,21
30,7,3,01:31.5,91455,Schumacher,21
30,8,3,01:31.1,91056,Schumacher,21
30,9,3,01:31.3,91255,Schumacher,21
30,10,3,01:31.1,91106,Schumacher,21
30,11,3,01:31.5,91464,Schumacher,21
30,12,3,01:31.2,91191,Schumacher,21
30,13,3,01:31.1,91102,Schumacher,21
30,14,3,01:30.7,90655,Schumacher,21
30,15,3,01:30.6,90550,Schumacher,21
30,16,3,01:30.9,90947,Schumacher,21
30,17,2,01:31.6,91635,Schumacher,21
30,18,2,01:31.3,91253,Schumacher,21
30,19,2,01:30.7,90654,Schumacher,21
30,20,2,01:30.7,90729,Schumacher,21
30,21,2,01:31.4,91438,Schumacher,21
30,22,2,01:30.8,90753,Schumacher,21
30,23,2,01:31.5,91476,Schumacher,21
30,24,2,01:30.9,90945,Schumacher,21
30,25,2,01:31.3,91310,Schumacher,21
30,26,2,01:31.0,90951,Schumacher,21
30,27,2,01:52.7,112750,Schumacher,21
30,28,2,01:30.1,90138,Schumacher,21
30,29,2,01:30.6,90606,Schumacher,21
30,30,2,01:30.8,90759,Schumacher,21
30,31,2,01:31.0,91014,Schumacher,21
30,32,2,01:31.9,91876,Schumacher,21
30,33,2,01:30.5,90536,Schumacher,21
30,34,2,01:30.6,90569,Schumacher,21
30,35,2,01:31.2,91207,Schumacher,21
30,36,2,01:30.4,90376,Schumacher,21
30,37,2,01:30.2,90194,Schumacher,21
30,38,2,01:30.2,90196,Schumacher,21
30,39,2,01:30.5,90513,Schumacher,21
30,40,2,01:31.4,91382,Schumacher,21
30,41,2,01:31.2,91244,Schumacher,21
30,42,2,01:30.8,90795,Schumacher,21
30,43,2,01:30.3,90273,Schumacher,21
30,44,2,01:29.9,89885,Schumacher,21
30,45,2,01:30.9,90919,Schumacher,21
30,46,2,01:30.8,90843,Schumacher,21
30,47,2,01:50.4,110401,Schumacher,21
30,48,2,01:29.3,89345,Schumacher,21
30,49,2,01:29.4,89406,Schumacher,21
30,50,2,01:29.5,89482,Schumacher,21
30,51,2,01:29.4,89408,Schumacher,21
30,52,2,01:30.0,89961,Schumacher,21
30,53,2,01:29.9,89915,Schumacher,21
30,54,2,01:29.7,89705,Schumacher,21
30,55,2,01:29.6,89613,Schumacher,21
30,56,2,01:29.7,89738,Schumacher,21
30,57,2,01:29.6,89579,Schumacher,21
30,58,2,01:29.6,89596,Schumacher,21
30,59,2,01:31.3,91306,Schumacher,21
30,60,2,01:30.3,90279,Schumacher,21
30,61,2,01:30.5,90506,Schumacher,21
30,62,2,01:30.8,90777,Schumacher,21
56,1,5,01:36.6,96579,Irvine,21
56,2,5,01:33.2,93219,Irvine,21
56,3,5,01:33.0,93031,Irvine,21
56,4,5,01:33.0,92996,Irvine,21
56,5,5,01:32.3,92332,Irvine,21
56,6,5,01:32.2,92164,Irvine,21
56,7,5,01:31.9,91855,Irvine,21
56,8,5,01:32.3,92284,Irvine,21
56,9,5,01:32.3,92260,Irvine,21
56,10,5,01:32.1,92091,Irvine,21
56,11,5,01:32.0,92003,Irvine,21
56,12,5,01:32.3,92253,Irvine,21
56,13,5,01:31.8,91821,Irvine,21
56,14,5,01:31.6,91564,Irvine,21
56,15,5,01:32.1,92055,Irvine,21
56,16,5,01:31.6,91566,Irvine,21
56,17,4,01:31.5,91544,Irvine,21
56,18,4,01:31.9,91852,Irvine,21
56,19,4,01:32.0,91985,Irvine,21
56,20,4,01:32.8,92780,Irvine,21
56,21,4,01:32.4,92368,Irvine,21
56,22,4,01:31.6,91650,Irvine,21
56,23,4,01:31.9,91853,Irvine,21
56,24,4,01:31.7,91695,Irvine,21
56,25,4,01:31.7,91684,Irvine,21
56,26,4,01:31.5,91526,Irvine,21
56,27,3,01:30.4,90421,Irvine,21
56,28,3,01:52.5,112504,Irvine,21
56,29,3,01:30.7,90704,Irvine,21
56,30,3,01:30.7,90733,Irvine,21
56,31,3,01:30.7,90727,Irvine,21
56,32,3,01:30.8,90773,Irvine,21
56,33,3,01:30.7,90738,Irvine,21
56,34,3,01:30.8,90780,Irvine,21
56,35,3,01:30.6,90585,Irvine,21
56,36,3,01:30.8,90768,Irvine,21
56,37,3,01:30.6,90621,Irvine,21
56,38,3,01:31.0,91032,Irvine,21
56,39,3,01:34.6,94555,Irvine,21
56,40,3,01:31.3,91290,Irvine,21
56,41,3,01:32.5,92453,Irvine,21
56,42,3,01:30.8,90836,Irvine,21
56,43,3,01:32.1,92092,Irvine,21
56,44,3,01:29.9,89923,Irvine,21
56,45,3,01:50.8,110773,Irvine,21
56,46,3,01:30.2,90207,Irvine,21
56,47,3,01:30.8,90816,Irvine,21
56,48,3,01:31.5,91466,Irvine,21
56,49,3,01:31.7,91688,Irvine,21
56,50,3,01:30.6,90608,Irvine,21
56,51,3,01:30.8,90784,Irvine,21
56,52,3,01:31.1,91123,Irvine,21
56,53,3,01:31.5,91450,Irvine,21
56,54,3,01:30.6,90615,Irvine,21
56,55,3,01:30.8,90824,Irvine,21
56,56,3,01:30.5,90541,Irvine,21
56,57,3,01:30.5,90535,Irvine,21
56,58,3,01:31.6,91584,Irvine,21
56,59,3,01:30.5,90505,Irvine,21
56,60,3,01:30.2,90206,Irvine,21
56,61,3,01:30.4,90361,Irvine,21
56,62,3,01:31.7,91738,Irvine,21
21,1,7,01:39.3,99319,Fisichella,21
21,2,7,01:34.3,94321,Fisichella,21
21,3,7,01:33.1,93077,Fisichella,21
21,4,7,01:32.3,92345,Fisichella,21
21,5,7,01:32.3,92349,Fisichella,21
21,6,7,01:32.7,92652,Fisichella,21
21,7,7,01:32.4,92372,Fisichella,21
21,8,7,01:32.6,92588,Fisichella,21
21,9,7,01:32.5,92465,Fisichella,21
21,10,7,01:32.5,92486,Fisichella,21
21,11,7,01:33.0,93035,Fisichella,21
21,12,7,01:32.9,92907,Fisichella,21
21,13,7,01:32.3,92295,Fisichella,21
21,14,7,01:32.3,92345,Fisichella,21
21,15,7,01:32.0,91969,Fisichella,21
21,16,7,01:32.1,92056,Fisichella,21
21,17,7,01:32.6,92558,Fisichella,21
25,1,21,02:17.0,136962,Wurz,21
25,2,21,02:30.3,150320,Wurz,21
25,3,21,01:32.7,92694,Wurz,21
25,4,21,01:32.6,92627,Wurz,21
25,5,21,01:32.6,92584,Wurz,21
25,6,21,01:32.1,92106,Wurz,21
25,7,21,01:32.7,92683,Wurz,21
25,8,21,01:33.1,93081,Wurz,21
25,9,20,01:31.9,91888,Wurz,21
25,10,20,01:32.7,92704,Wurz,21
25,11,20,01:33.0,92958,Wurz,21
25,12,20,01:32.3,92266,Wurz,21
25,13,19,01:32.5,92477,Wurz,21
25,14,19,01:32.6,92605,Wurz,21
25,15,19,01:31.6,91562,Wurz,21
25,16,19,01:32.6,92640,Wurz,21
25,17,19,01:32.2,92191,Wurz,21
14,1,1,01:32.4,92367,Coulthard,21
14,2,1,01:31.6,91605,Coulthard,21
14,3,1,01:31.1,91063,Coulthard,21
14,4,1,01:30.8,90795,Coulthard,21
14,5,1,01:30.4,90436,Coulthard,21
14,6,1,01:30.3,90317,Coulthard,21
14,7,1,01:30.4,90372,Coulthard,21
14,8,1,01:30.1,90066,Coulthard,21
14,9,1,01:30.7,90690,Coulthard,21
14,10,1,01:29.9,89851,Coulthard,21
14,11,1,01:29.9,89856,Coulthard,21
14,12,1,01:29.9,89896,Coulthard,21
14,13,1,01:29.7,89703,Coulthard,21
14,14,1,01:30.0,89962,Coulthard,21
14,15,1,01:29.6,89561,Coulthard,21
14,16,1,01:29.9,89860,Coulthard,21
14,17,1,01:32.3,92309,Coulthard,21
14,18,1,01:30.9,90891,Coulthard,21
14,19,1,01:32.9,92862,Coulthard,21
