driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
30,1,1,01:25.5,85460,Schumacher,4
30,2,1,01:22.3,82334,Schumacher,4
30,3,1,01:23.0,82966,Schumacher,4
30,4,1,01:23.2,83168,Schumacher,4
30,5,1,01:22.5,82534,Schumacher,4
30,6,1,01:22.5,82531,Schumacher,4
30,7,1,01:22.8,82756,Schumacher,4
30,8,1,01:23.4,83447,Schumacher,4
30,9,1,01:22.3,82342,Schumacher,4
30,10,1,01:22.3,82299,Schumacher,4
30,11,1,01:22.3,82287,Schumacher,4
30,12,1,01:23.5,83479,Schumacher,4
30,13,1,01:22.4,82436,Schumacher,4
30,14,1,01:22.2,82196,Schumacher,4
30,15,1,01:22.3,82329,Schumacher,4
30,16,1,01:22.5,82519,Schumacher,4
30,17,1,01:22.0,82045,Schumacher,4
30,18,1,01:22.1,82146,Schumacher,4
30,19,1,01:22.7,82709,Schumacher,4
30,20,1,01:21.8,81755,Schumacher,4
30,21,1,01:21.7,81732,Schumacher,4
30,22,1,01:22.0,82030,Schumacher,4
30,23,1,01:21.7,81661,Schumacher,4
30,24,1,01:21.4,81376,Schumacher,4
30,25,1,01:21.4,81356,Schumacher,4
30,26,1,01:25.6,85620,Schumacher,4
30,27,1,01:48.3,108341,Schumacher,4
30,28,1,01:23.8,83807,Schumacher,4
30,29,1,01:23.1,83095,Schumacher,4
30,30,1,01:22.5,82498,Schumacher,4
30,31,1,01:22.3,82284,Schumacher,4
30,32,1,01:21.8,81750,Schumacher,4
30,33,1,01:22.1,82126,Schumacher,4
30,34,1,01:21.4,81415,Schumacher,4
30,35,1,01:22.2,82185,Schumacher,4
30,36,1,01:22.1,82097,Schumacher,4
30,37,1,01:21.5,81454,Schumacher,4
30,38,1,01:21.6,81648,Schumacher,4
30,39,1,01:21.9,81862,Schumacher,4
30,40,1,01:21.6,81578,Schumacher,4
30,41,1,01:21.8,81829,Schumacher,4
30,42,1,01:22.4,82381,Schumacher,4
30,43,1,01:22.2,82247,Schumacher,4
30,44,1,01:22.8,82788,Schumacher,4
30,45,1,01:22.1,82056,Schumacher,4
30,46,1,01:21.8,81806,Schumacher,4
30,47,1,01:26.9,86867,Schumacher,4
30,48,1,01:46.5,106520,Schumacher,4
30,49,1,01:20.4,80355,Schumacher,4
30,50,1,01:23.4,83428,Schumacher,4
30,51,1,01:24.5,84456,Schumacher,4
30,52,1,01:23.9,83926,Schumacher,4
30,53,1,01:23.1,83054,Schumacher,4
30,54,1,01:24.0,83962,Schumacher,4
30,55,1,01:23.9,83854,Schumacher,4
30,56,1,01:24.3,84264,Schumacher,4
30,57,1,01:24.7,84737,Schumacher,4
30,58,1,01:24.5,84515,Schumacher,4
30,59,1,01:22.8,82789,Schumacher,4
30,60,1,01:22.0,82026,Schumacher,4
30,61,1,01:22.7,82687,Schumacher,4
30,62,1,01:23.4,83442,Schumacher,4
30,63,1,01:23.2,83197,Schumacher,4
30,64,1,01:23.5,83490,Schumacher,4
30,65,1,01:25.7,85652,Schumacher,4
14,1,6,01:29.8,89765,Coulthard,4
14,2,6,01:23.7,83718,Coulthard,4
14,3,6,01:24.0,83953,Coulthard,4
14,4,5,01:23.9,83920,Coulthard,4
14,5,5,01:24.2,84169,Coulthard,4
14,6,5,01:24.3,84304,Coulthard,4
14,7,5,01:24.0,84002,Coulthard,4
14,8,5,01:24.2,84171,Coulthard,4
14,9,5,01:24.1,84148,Coulthard,4
14,10,5,01:24.1,84103,Coulthard,4
14,11,5,01:23.8,83774,Coulthard,4
14,12,5,01:24.1,84146,Coulthard,4
14,13,5,01:23.8,83810,Coulthard,4
14,14,5,01:24.0,83973,Coulthard,4
14,15,5,01:24.0,84045,Coulthard,4
14,16,5,01:23.9,83878,Coulthard,4
14,17,5,01:23.5,83487,Coulthard,4
14,18,5,01:23.8,83849,Coulthard,4
14,19,5,01:24.2,84178,Coulthard,4
14,20,5,01:23.7,83715,Coulthard,4
14,21,5,01:23.6,83600,Coulthard,4
14,22,5,01:23.7,83677,Coulthard,4
14,23,5,01:23.3,83308,Coulthard,4
14,24,4,01:23.2,83220,Coulthard,4
14,25,3,01:23.0,82959,Coulthard,4
14,26,2,01:22.5,82540,Coulthard,4
14,27,2,01:22.5,82462,Coulthard,4
14,28,2,01:22.3,82342,Coulthard,4
14,29,2,01:26.6,86566,Coulthard,4
14,30,4,01:45.9,105912,Coulthard,4
14,31,4,01:23.5,83470,Coulthard,4
14,32,4,01:23.8,83778,Coulthard,4
14,33,4,01:24.0,83973,Coulthard,4
14,34,3,01:22.9,82851,Coulthard,4
14,35,3,01:22.8,82772,Coulthard,4
14,36,3,01:22.9,82890,Coulthard,4
14,37,3,01:22.7,82731,Coulthard,4
14,38,3,01:22.5,82517,Coulthard,4
14,39,3,01:22.6,82586,Coulthard,4
14,40,3,01:22.6,82587,Coulthard,4
14,41,3,01:22.4,82420,Coulthard,4
14,42,3,01:22.6,82570,Coulthard,4
14,43,3,01:22.7,82734,Coulthard,4
14,44,3,01:22.3,82299,Coulthard,4
14,45,3,01:21.9,81931,Coulthard,4
14,46,2,01:27.1,87070,Coulthard,4
14,47,3,01:44.5,104469,Coulthard,4
14,48,3,01:23.0,82975,Coulthard,4
14,49,3,01:23.2,83229,Coulthard,4
14,50,3,01:23.0,82994,Coulthard,4
14,51,3,01:23.3,83281,Coulthard,4
14,52,3,01:22.9,82897,Coulthard,4
14,53,3,01:22.9,82860,Coulthard,4
14,54,3,01:22.8,82832,Coulthard,4
14,55,3,01:22.9,82929,Coulthard,4
14,56,3,01:22.9,82863,Coulthard,4
14,57,3,01:23.0,83032,Coulthard,4
14,58,3,01:23.0,83009,Coulthard,4
