driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
30,1,2,01:18.6,78569,Schumacher,8
30,2,2,01:16.7,76744,Schumacher,8
30,3,2,01:16.3,76309,Schumacher,8
30,4,2,01:16.4,76378,Schumacher,8
30,5,2,01:16.2,76169,Schumacher,8
30,6,2,01:16.1,76061,Schumacher,8
30,7,2,01:15.9,75950,Schumacher,8
30,8,2,01:15.8,75761,Schumacher,8
30,9,2,01:16.2,76229,Schumacher,8
30,10,2,01:16.4,76379,Schumacher,8
30,11,2,01:17.3,77267,Schumacher,8
30,12,8,01:34.3,94272,Schumacher,8
30,13,6,01:16.9,76894,Schumacher,8
30,14,4,01:17.1,77123,Schumacher,8
30,15,2,01:16.9,76908,Schumacher,8
30,16,2,01:17.0,76974,Schumacher,8
30,17,2,01:17.0,76983,Schumacher,8
30,18,2,01:16.6,76565,Schumacher,8
30,19,2,01:16.4,76428,Schumacher,8
30,20,2,01:16.2,76234,Schumacher,8
30,21,2,01:16.4,76379,Schumacher,8
30,22,2,01:16.4,76423,Schumacher,8
30,23,2,01:16.7,76666,Schumacher,8
30,24,2,01:16.4,76416,Schumacher,8
30,25,2,01:16.4,76401,Schumacher,8
30,26,2,01:16.9,76920,Schumacher,8
30,27,2,01:16.6,76608,Schumacher,8
30,28,2,01:16.8,76752,Schumacher,8
30,29,2,01:17.3,77279,Schumacher,8
30,30,5,01:32.4,92446,Schumacher,8
30,31,4,01:15.5,75479,Schumacher,8
30,32,2,01:15.4,75377,Schumacher,8
30,33,1,01:15.9,75878,Schumacher,8
30,34,1,01:16.2,76248,Schumacher,8
30,35,1,01:15.8,75758,Schumacher,8
30,36,1,01:15.7,75681,Schumacher,8
30,37,1,01:15.9,75885,Schumacher,8
30,38,1,01:16.5,76516,Schumacher,8
30,39,1,01:15.4,75393,Schumacher,8
30,40,1,01:15.7,75658,Schumacher,8
30,41,1,01:16.0,76011,Schumacher,8
30,42,1,01:16.5,76538,Schumacher,8
30,43,2,01:32.6,92640,Schumacher,8
30,44,2,01:16.0,75975,Schumacher,8
30,45,2,01:16.1,76140,Schumacher,8
30,46,2,01:15.7,75656,Schumacher,8
30,47,1,01:15.9,75888,Schumacher,8
30,48,1,01:16.1,76104,Schumacher,8
