driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
4,1,6,01:51.3,111259,Alonso,11
4,2,5,01:38.6,98560,Alonso,11
4,3,5,01:37.9,97943,Alonso,11
4,4,4,01:35.3,95339,Alonso,11
4,5,3,01:34.4,94407,Alonso,11
4,6,3,01:34.1,94105,Alonso,11
4,7,3,01:33.8,93824,Alonso,11
4,8,3,01:34.3,94347,Alonso,11
4,9,3,01:34.0,93957,Alonso,11
4,10,3,01:34.1,94094,Alonso,11
4,11,3,01:35.6,95634,Alonso,11
4,12,3,01:34.7,94674,Alonso,11
4,13,3,01:35.9,95897,Alonso,11
4,14,3,01:35.9,95938,Alonso,11
4,15,3,01:36.3,96271,Alonso,11
4,16,2,01:37.8,97818,Alonso,11
4,17,2,01:35.2,95206,Alonso,11
4,18,1,01:37.6,97612,Alonso,11
4,19,1,01:40.0,100006,Alonso,11
4,20,1,01:36.5,96513,Alonso,11
4,21,1,01:34.0,94007,Alonso,11
4,22,1,01:33.8,93766,Alonso,11
4,23,1,01:33.5,93498,Alonso,11
4,24,1,01:33.7,93650,Alonso,11
4,25,1,01:35.1,95108,Alonso,11
4,26,1,01:33.3,93302,Alonso,11
4,27,1,01:38.4,98410,Alonso,11
4,28,1,02:31.1,151060,Alonso,11
4,29,1,02:43.5,163480,Alonso,11
4,30,1,02:35.2,155197,Alonso,11
4,31,1,02:30.3,150343,Alonso,11
4,32,1,01:34.7,94690,Alonso,11
4,33,1,01:33.2,93242,Alonso,11
4,34,1,01:36.7,96717,Alonso,11
4,35,1,01:32.5,92470,Alonso,11
4,36,1,01:32.5,92514,Alonso,11
4,37,1,01:32.8,92795,Alonso,11
4,38,1,01:32.8,92764,Alonso,11
4,39,1,01:32.4,92418,Alonso,11
4,40,1,01:31.9,91949,Alonso,11
4,41,1,01:33.3,93278,Alonso,11
4,42,1,01:31.7,91693,Alonso,11
4,43,1,01:31.8,91839,Alonso,11
4,44,1,01:31.7,91668,Alonso,11
4,45,1,01:31.8,91814,Alonso,11
4,46,1,01:31.2,91220,Alonso,11
4,47,1,01:30.7,90658,Alonso,11
4,48,1,01:30.4,90368,Alonso,11
4,49,1,01:30.3,90346,Alonso,11
4,50,1,01:29.4,89408,Alonso,11
4,51,1,01:33.1,93117,Alonso,11
21,1,5,01:50.5,110477,Fisichella,11
21,2,6,01:41.1,101063,Fisichella,11
21,3,6,01:38.5,98542,Fisichella,11
21,4,6,01:37.6,97633,Fisichella,11
21,5,6,01:36.3,96308,Fisichella,11
21,6,6,01:37.1,97129,Fisichella,11
21,7,6,01:36.7,96740,Fisichella,11
21,8,6,01:36.1,96067,Fisichella,11
21,9,6,01:35.5,95550,Fisichella,11
21,10,6,01:35.9,95858,Fisichella,11
21,11,6,01:36.6,96552,Fisichella,11
21,12,6,01:37.2,97239,Fisichella,11
21,13,6,01:37.7,97699,Fisichella,11
21,14,6,01:36.9,96935,Fisichella,11
21,15,6,01:37.5,97491,Fisichella,11
21,16,6,01:38.4,98371,Fisichella,11
21,17,4,01:36.9,96891,Fisichella,11
21,18,5,01:51.4,111371,Fisichella,11
8,1,1,01:44.4,104422,Räikkönen,11
8,2,1,01:36.2,96176,Räikkönen,11
8,3,1,01:35.3,95341,Räikkönen,11
8,4,1,01:34.4,94425,Räikkönen,11
8,5,1,01:34.7,94720,Räikkönen,11
8,6,1,01:34.4,94438,Räikkönen,11
8,7,1,01:33.7,93690,Räikkönen,11
8,8,1,01:34.1,94070,Räikkönen,11
8,9,1,01:35.5,95514,Räikkönen,11
8,10,1,01:35.5,95523,Räikkönen,11
8,11,1,01:35.1,95106,Räikkönen,11
8,12,1,01:36.3,96273,Räikkönen,11
8,13,1,01:35.3,95311,Räikkönen,11
8,14,1,01:36.6,96585,Räikkönen,11
8,15,1,01:36.9,96850,Räikkönen,11
8,16,1,01:38.7,98729,Räikkönen,11
8,17,1,01:40.4,100364,Räikkönen,11
8,18,2,02:04.8,124810,Räikkönen,11
8,19,2,01:37.9,97899,Räikkönen,11
8,20,2,01:37.4,97365,Räikkönen,11
8,21,2,01:38.7,98703,Räikkönen,11
8,22,2,01:36.4,96410,Räikkönen,11
8,23,2,01:36.6,96615,Räikkönen,11
8,24,2,01:36.7,96697,Räikkönen,11
8,25,2,01:36.5,96457,Räikkönen,11
37,1,3,01:47.9,107913,de la Rosa,11
37,2,3,01:38.1,98088,de la Rosa,11
37,3,3,01:36.5,96537,de la Rosa,11
37,4,3,01:35.5,95481,de la Rosa,11
37,5,2,01:35.0,95004,de la Rosa,11
37,6,2,01:34.3,94289,de la Rosa,11
37,7,2,01:36.2,96189,de la Rosa,11
37,8,2,01:34.3,94294,de la Rosa,11
37,9,2,01:34.7,94661,de la Rosa,11
37,10,2,01:34.7,94673,de la Rosa,11
37,11,2,01:35.2,95201,de la Rosa,11
37,12,2,01:34.7,94724,de la Rosa,11
37,13,2,01:36.5,96495,de la Rosa,11
37,14,2,01:35.8,95827,de la Rosa,11
37,15,2,01:36.1,96111,de la Rosa,11
37,16,3,01:41.3,101333,de la Rosa,11
37,17,5,02:05.3,125311,de la Rosa,11
37,18,3,01:39.2,99212,de la Rosa,11
37,19,3,01:36.7,96715,de la Rosa,11
37,20,3,01:36.0,95965,de la Rosa,11
37,21,3,01:35.9,95854,de la Rosa,11
37,22,3,01:36.5,96546,de la Rosa,11
37,23,3,01:36.0,96002,de la Rosa,11
37,24,3,01:35.4,95350,de la Rosa,11
37,25,3,01:35.6,95582,de la Rosa,11
37,26,2,01:42.5,102505,de la Rosa,11
37,27,3,02:10.7,130662,de la Rosa,11
37,28,3,01:49.7,109700,de la Rosa,11
37,29,3,02:13.8,133847,de la Rosa,11
37,30,3,02:33.0,152955,de la Rosa,11
37,31,3,02:27.7,147676,de la Rosa,11
37,32,3,01:39.9,99934,de la Rosa,11
37,33,3,01:36.5,96528,de la Rosa,11
37,34,3,01:35.0,95027,de la Rosa,11
37,35,3,01:33.8,93833,de la Rosa,11
37,36,3,01:34.0,94016,de la Rosa,11
37,37,3,01:34.2,94225,de la Rosa,11
37,38,3,01:33.4,93387,de la Rosa,11
37,39,3,01:33.4,93400,de la Rosa,11
37,40,3,01:32.9,92870,de la Rosa,11
37,41,3,01:33.2,93214,de la Rosa,11
37,42,3,01:33.1,93149,de la Rosa,11
37,43,3,01:32.8,92841,de la Rosa,11
37,44,3,01:34.5,94536,de la Rosa,11
37,45,3,01:32.9,92851,de la Rosa,11
37,46,3,01:32.3,92305,de la Rosa,11
37,47,3,01:32.0,91964,de la Rosa,11
37,48,3,01:32.2,92216,de la Rosa,11
37,49,3,01:32.1,92119,de la Rosa,11
37,50,3,01:31.1,91082,de la Rosa,11
37,51,3,01:32.5,92470,de la Rosa,11
37,52,4,01:53.3,113347,de la Rosa,11
37,53,4,01:28.1,88072,de la Rosa,11
37,54,4,01:27.5,87540,de la Rosa,11
37,55,4,01:25.6,85614,de la Rosa,11
37,56,3,01:26.2,86187,de la Rosa,11
37,57,3,01:27.1,87062,de la Rosa,11
37,58,3,01:27.2,87183,de la Rosa,11
37,59,3,01:26.6,86628,de la Rosa,11
37,60,3,01:25.8,85770,de la Rosa,11
37,61,3,01:27.2,87223,de la Rosa,11
37,62,3,01:25.7,85655,de la Rosa,11
37,63,3,01:29.4,89358,de la Rosa,11
37,64,3,01:29.6,89633,de la Rosa,11
37,65,3,01:31.3,91339,de la Rosa,11
37,66,2,01:28.5,88547,de la Rosa,11
37,67,2,01:24.3,84315,de la Rosa,11
37,68,2,01:25.6,85581,de la Rosa,11
37,69,2,01:25.1,85126,de la Rosa,11
37,70,2,01:24.9,84929,de la Rosa,11
30,1,4,01:48.8,108773,Schumacher,11
30,2,4,01:39.4,99449,Schumacher,11
30,3,4,01:39.2,99165,Schumacher,11
30,4,5,01:38.5,98494,Schumacher,11
30,5,5,01:37.1,97137,Schumacher,11
30,6,4,01:36.8,96783,Schumacher,11
30,7,5,01:37.4,97441,Schumacher,11
30,8,5,01:35.9,95935,Schumacher,11
30,9,5,01:35.7,95743,Schumacher,11
30,10,5,01:36.0,95958,Schumacher,11
30,11,5,01:36.5,96531,Schumacher,11
30,12,5,01:37.1,97139,Schumacher,11
30,13,5,01:37.6,97642,Schumacher,11
