driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
4,1,3,01:27.0,87029,Alonso,9
4,2,3,01:22.8,82798,Alonso,9
4,3,3,01:22.4,82402,Alonso,9
4,4,3,01:22.1,82102,Alonso,9
4,5,3,01:22.2,82219,Alonso,9
4,6,3,01:22.2,82167,Alonso,9
4,7,3,01:22.0,81993,Alonso,9
4,8,3,01:21.9,81946,Alonso,9
4,9,3,01:22.1,82085,Alonso,9
4,10,3,01:22.0,81959,Alonso,9
4,11,3,01:21.9,81873,Alonso,9
4,12,3,01:21.8,81753,Alonso,9
4,13,3,01:21.8,81845,Alonso,9
4,14,3,01:22.1,82097,Alonso,9
4,15,3,01:21.9,81867,Alonso,9
4,16,2,01:21.8,81769,Alonso,9
4,17,2,01:21.6,81588,Alonso,9
4,18,1,01:21.5,81459,Alonso,9
4,19,1,01:21.5,81459,Alonso,9
4,20,1,01:27.3,87302,Alonso,9
4,21,1,01:42.0,102048,Alonso,9
4,22,1,01:21.7,81657,Alonso,9
4,23,1,01:21.8,81804,Alonso,9
4,24,1,01:22.1,82071,Alonso,9
4,25,1,01:22.2,82168,Alonso,9
4,26,1,01:22.2,82193,Alonso,9
4,27,1,01:22.2,82236,Alonso,9
4,28,1,01:22.3,82348,Alonso,9
4,29,1,01:22.4,82435,Alonso,9
4,30,1,01:22.3,82329,Alonso,9
4,31,1,01:23.5,83498,Alonso,9
4,32,1,01:21.6,81645,Alonso,9
4,33,1,01:21.7,81727,Alonso,9
4,34,1,01:21.7,81657,Alonso,9
4,35,1,01:21.1,81117,Alonso,9
4,36,1,01:21.4,81383,Alonso,9
4,37,1,01:26.7,86653,Alonso,9
4,38,2,01:45.5,105507,Alonso,9
4,39,2,01:23.0,82975,Alonso,9
4,40,2,01:22.3,82291,Alonso,9
4,41,2,01:22.0,81966,Alonso,9
4,42,2,01:22.0,81993,Alonso,9
4,43,2,01:22.1,82125,Alonso,9
4,44,2,01:22.2,82211,Alonso,9
4,45,2,01:22.4,82387,Alonso,9
4,46,2,01:22.6,82572,Alonso,9
4,47,2,01:22.5,82481,Alonso,9
4,48,2,01:22.5,82481,Alonso,9
4,49,2,01:22.7,82654,Alonso,9
4,50,2,01:22.6,82605,Alonso,9
4,51,2,01:22.7,82749,Alonso,9
4,52,2,01:23.2,83191,Alonso,9
4,53,2,01:22.6,82624,Alonso,9
4,54,2,01:22.5,82498,Alonso,9
4,55,2,01:22.3,82310,Alonso,9
4,56,2,01:22.1,82066,Alonso,9
4,57,2,01:22.7,82663,Alonso,9
4,58,2,01:22.3,82298,Alonso,9
4,59,2,01:22.2,82205,Alonso,9
1,1,1,01:25.5,85489,Hamilton,9
1,2,1,01:22.5,82487,Hamilton,9
1,3,1,01:22.0,82032,Hamilton,9
1,4,1,01:21.9,81898,Hamilton,9
1,5,1,01:22.2,82210,Hamilton,9
1,6,1,01:22.0,81955,Hamilton,9
1,7,1,01:21.8,81847,Hamilton,9
1,8,1,01:22.2,82171,Hamilton,9
1,9,1,01:22.0,81984,Hamilton,9
1,10,1,01:22.0,82045,Hamilton,9
1,11,1,01:21.7,81675,Hamilton,9
1,12,1,01:21.7,81692,Hamilton,9
1,13,1,01:21.9,81861,Hamilton,9
1,14,1,01:22.8,82821,Hamilton,9
1,15,1,01:22.0,81999,Hamilton,9
1,16,3,01:27.4,87389,Hamilton,9
1,17,5,01:45.3,105310,Hamilton,9
1,18,5,01:22.1,82127,Hamilton,9
1,19,5,01:22.3,82323,Hamilton,9
1,20,4,01:22.7,82690,Hamilton,9
1,21,3,01:22.8,82846,Hamilton,9
1,22,3,01:22.6,82628,Hamilton,9
1,23,3,01:22.7,82659,Hamilton,9
1,24,3,01:23.1,83094,Hamilton,9
1,25,3,01:22.9,82918,Hamilton,9
1,26,3,01:22.6,82581,Hamilton,9
1,27,3,01:23.1,83068,Hamilton,9
1,28,3,01:22.9,82880,Hamilton,9
1,29,3,01:23.1,83088,Hamilton,9
1,30,3,01:22.9,82882,Hamilton,9
1,31,3,01:23.4,83397,Hamilton,9
1,32,3,01:23.5,83524,Hamilton,9
1,33,3,01:23.2,83208,Hamilton,9
1,34,3,01:23.7,83704,Hamilton,9
1,35,3,01:23.4,83398,Hamilton,9
1,36,3,01:23.5,83501,Hamilton,9
1,37,3,01:23.4,83400,Hamilton,9
1,38,3,01:28.9,88912,Hamilton,9
1,39,6,01:45.1,105063,Hamilton,9
1,40,6,01:22.6,82580,Hamilton,9
1,41,5,01:22.7,82733,Hamilton,9
1,42,5,01:22.9,82917,Hamilton,9
1,43,4,01:22.8,82758,Hamilton,9
1,44,4,01:23.1,83051,Hamilton,9
1,45,4,01:22.9,82919,Hamilton,9
1,46,3,01:22.9,82943,Hamilton,9
1,47,3,01:22.9,82905,Hamilton,9
1,48,3,01:23.0,83027,Hamilton,9
1,49,3,01:23.4,83352,Hamilton,9
1,50,3,01:22.5,82498,Hamilton,9
1,51,3,01:23.2,83179,Hamilton,9
1,52,3,01:23.7,83689,Hamilton,9
1,53,3,01:23.2,83151,Hamilton,9
1,54,3,01:23.4,83437,Hamilton,9
1,55,3,01:23.2,83169,Hamilton,9
1,56,3,01:23.6,83627,Hamilton,9
1,57,3,01:23.1,83134,Hamilton,9
1,58,3,01:23.1,83090,Hamilton,9
1,59,3,01:23.5,83532,Hamilton,9
21,1,6,01:30.7,90690,Fisichella,9
21,2,6,01:23.7,83697,Fisichella,9
21,3,6,01:23.1,83081,Fisichella,9
21,4,6,01:22.8,82812,Fisichella,9
21,5,6,01:23.1,83077,Fisichella,9
21,6,6,01:22.8,82792,Fisichella,9
21,7,6,01:22.6,82649,Fisichella,9
21,8,6,01:22.7,82695,Fisichella,9
21,9,6,01:22.5,82524,Fisichella,9
21,10,6,01:22.4,82442,Fisichella,9
21,11,6,01:22.6,82628,Fisichella,9
21,12,5,01:22.4,82398,Fisichella,9
21,13,5,01:22.1,82136,Fisichella,9
21,14,5,01:22.4,82416,Fisichella,9
21,15,5,01:22.3,82340,Fisichella,9
21,16,6,01:27.7,87728,Fisichella,9
21,17,8,01:46.9,106862,Fisichella,9
21,18,7,01:23.5,83519,Fisichella,9
21,19,7,01:23.2,83245,Fisichella,9
21,20,7,01:23.9,83943,Fisichella,9
21,21,6,01:23.6,83574,Fisichella,9
21,22,6,01:23.2,83202,Fisichella,9
21,23,6,01:23.3,83259,Fisichella,9
21,24,6,01:23.7,83748,Fisichella,9
21,25,6,01:23.2,83176,Fisichella,9
21,26,6,01:23.4,83420,Fisichella,9
21,27,6,01:23.4,83427,Fisichella,9
21,28,6,01:23.4,83427,Fisichella,9
21,29,6,01:23.3,83270,Fisichella,9
21,30,6,01:23.2,83201,Fisichella,9
21,31,6,01:23.6,83606,Fisichella,9
21,32,6,01:23.5,83480,Fisichella,9
21,33,6,01:23.2,83226,Fisichella,9
21,34,6,01:23.8,83768,Fisichella,9
21,35,7,01:30.2,90187,Fisichella,9
21,36,8,01:47.3,107283,Fisichella,9
21,37,8,01:24.3,84250,Fisichella,9
21,38,7,01:24.3,84289,Fisichella,9
21,39,7,01:24.5,84505,Fisichella,9
21,40,7,01:25.6,85612,Fisichella,9
21,41,7,01:24.3,84281,Fisichella,9
21,42,8,01:25.9,85943,Fisichella,9
21,43,8,01:24.4,84385,Fisichella,9
21,44,8,01:24.1,84090,Fisichella,9
21,45,8,01:24.0,84041,Fisichella,9
21,46,8,01:23.8,83786,Fisichella,9
21,47,8,01:24.1,84066,Fisichella,9
21,48,8,01:23.8,83815,Fisichella,9
21,49,8,01:25.1,85087,Fisichella,9
21,50,8,01:24.5,84489,Fisichella,9
21,51,8,01:23.8,83787,Fisichella,9
21,52,8,01:23.9,83918,Fisichella,9
21,53,8,01:23.8,83785,Fisichella,9
21,54,8,01:25.2,85226,Fisichella,9
21,55,8,01:23.9,83931,Fisichella,9
21,56,8,01:23.7,83739,Fisichella,9
21,57,8,01:23.4,83391,Fisichella,9
21,58,8,01:23.0,83017,Fisichella,9
5,1,5,01:29.8,89762,Kovalainen,9
5,2,5,01:23.5,83512,Kovalainen,9
5,3,5,01:22.6,82627,Kovalainen,9
5,4,5,01:22.7,82703,Kovalainen,9
5,5,5,01:22.8,82793,Kovalainen,9
5,6,5,01:22.7,82659,Kovalainen,9
5,7,5,01:22.9,82885,Kovalainen,9
5,8,5,01:22.9,82867,Kovalainen,9
5,9,5,01:22.7,82723,Kovalainen,9
5,10,5,01:22.8,82803,Kovalainen,9
5,11,5,01:22.6,82552,Kovalainen,9
5,12,6,01:24.5,84505,Kovalainen,9
5,13,6,01:22.6,82636,Kovalainen,9
5,14,6,01:22.6,82630,Kovalainen,9
5,15,8,01:28.2,88206,Kovalainen,9
5,16,11,01:49.1,109051,Kovalainen,9
