driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
4,1,6,01:34.4,94418,Alonso,5
4,2,6,01:30.4,90361,Alonso,5
4,3,6,01:31.0,90976,Alonso,5
4,4,6,01:29.9,89896,Alonso,5
4,5,6,01:30.2,90232,Alonso,5
4,6,6,01:29.6,89647,Alonso,5
4,7,6,01:29.7,89672,Alonso,5
4,8,6,01:29.9,89899,Alonso,5
4,9,6,01:29.5,89494,Alonso,5
4,10,6,01:29.4,89401,Alonso,5
4,11,6,01:29.9,89943,Alonso,5
4,12,6,01:29.7,89689,Alonso,5
4,13,5,01:29.1,89147,Alonso,5
4,14,5,01:28.7,88741,Alonso,5
4,15,5,01:28.7,88663,Alonso,5
4,16,5,01:28.7,88679,Alonso,5
4,17,5,01:28.9,88856,Alonso,5
4,18,4,01:28.7,88742,Alonso,5
4,19,6,01:54.3,114270,Alonso,5
4,20,6,01:29.2,89220,Alonso,5
4,21,6,01:29.4,89398,Alonso,5
4,22,5,01:29.6,89597,Alonso,5
4,23,4,01:29.5,89542,Alonso,5
4,24,4,01:29.4,89415,Alonso,5
4,25,4,01:29.4,89426,Alonso,5
4,26,4,01:29.4,89386,Alonso,5
4,27,4,01:29.0,88974,Alonso,5
4,28,4,01:29.1,89064,Alonso,5
4,29,4,01:29.1,89071,Alonso,5
4,30,4,01:29.5,89494,Alonso,5
4,31,4,01:29.1,89075,Alonso,5
4,32,4,01:28.8,88831,Alonso,5
4,33,4,01:28.5,88483,Alonso,5
4,34,4,01:28.9,88878,Alonso,5
4,35,4,01:28.6,88566,Alonso,5
4,36,4,01:28.6,88611,Alonso,5
4,37,4,01:28.4,88399,Alonso,5
4,38,4,01:28.4,88439,Alonso,5
4,39,4,01:28.1,88070,Alonso,5
4,40,4,01:28.1,88135,Alonso,5
4,41,4,01:28.3,88294,Alonso,5
4,42,3,01:28.7,88659,Alonso,5
4,43,1,01:29.2,89190,Alonso,5
4,44,3,01:50.6,110632,Alonso,5
4,45,3,01:28.8,88784,Alonso,5
4,46,3,01:29.1,89078,Alonso,5
4,47,3,01:29.1,89129,Alonso,5
4,48,3,01:29.5,89473,Alonso,5
4,49,3,01:29.5,89518,Alonso,5
4,50,3,01:29.3,89328,Alonso,5
4,51,3,01:29.2,89191,Alonso,5
4,52,3,01:29.0,88973,Alonso,5
4,53,3,01:29.2,89224,Alonso,5
4,54,3,01:29.3,89334,Alonso,5
4,55,3,01:29.5,89511,Alonso,5
4,56,3,01:29.8,89798,Alonso,5
4,57,3,01:29.9,89856,Alonso,5
4,58,3,01:31.6,91570,Alonso,5
1,1,3,01:32.4,92408,Hamilton,5
1,2,3,01:30.1,90110,Hamilton,5
1,3,3,01:30.0,90045,Hamilton,5
1,4,3,01:29.3,89262,Hamilton,5
1,5,3,01:29.7,89733,Hamilton,5
1,6,3,01:29.2,89247,Hamilton,5
1,7,3,01:29.3,89260,Hamilton,5
1,8,3,01:29.1,89081,Hamilton,5
1,9,3,01:29.0,88959,Hamilton,5
1,10,3,01:28.9,88928,Hamilton,5
1,11,3,01:28.8,88802,Hamilton,5
1,12,3,01:28.8,88805,Hamilton,5
1,13,3,01:28.7,88724,Hamilton,5
1,14,3,01:28.3,88327,Hamilton,5
1,15,3,01:28.4,88353,Hamilton,5
1,16,3,01:28.3,88299,Hamilton,5
1,17,3,01:28.0,87963,Hamilton,5
1,18,3,01:28.2,88164,Hamilton,5
1,19,2,01:28.0,87968,Hamilton,5
1,20,1,01:28.3,88250,Hamilton,5
1,21,4,01:54.1,114063,Hamilton,5
1,22,3,01:29.4,89405,Hamilton,5
1,23,3,01:29.6,89595,Hamilton,5
1,24,3,01:29.6,89639,Hamilton,5
1,25,3,01:29.3,89333,Hamilton,5
1,26,3,01:29.3,89335,Hamilton,5
1,27,3,01:29.2,89207,Hamilton,5
1,28,3,01:28.9,88941,Hamilton,5
1,29,3,01:29.5,89546,Hamilton,5
1,30,3,01:29.1,89118,Hamilton,5
1,31,3,01:29.3,89321,Hamilton,5
1,32,3,01:28.8,88806,Hamilton,5
1,33,3,01:28.8,88771,Hamilton,5
1,34,3,01:28.6,88604,Hamilton,5
1,35,3,01:28.4,88409,Hamilton,5
1,36,3,01:29.0,89023,Hamilton,5
1,37,3,01:28.3,88253,Hamilton,5
1,38,3,01:28.4,88379,Hamilton,5
1,39,3,01:28.5,88476,Hamilton,5
1,40,3,01:28.6,88590,Hamilton,5
1,41,3,01:28.8,88766,Hamilton,5
1,42,2,01:28.7,88682,Hamilton,5
1,43,4,01:55.0,115041,Hamilton,5
1,44,5,01:55.3,115345,Hamilton,5
1,45,5,01:29.8,89800,Hamilton,5
1,46,5,01:30.5,90480,Hamilton,5
1,47,5,01:30.3,90329,Hamilton,5
1,48,5,01:29.6,89574,Hamilton,5
1,49,5,01:29.8,89764,Hamilton,5
1,50,5,01:29.8,89763,Hamilton,5
1,51,5,01:29.4,89391,Hamilton,5
1,52,5,01:29.3,89318,Hamilton,5
1,53,5,01:29.2,89173,Hamilton,5
1,54,5,01:29.0,89005,Hamilton,5
1,55,5,01:29.2,89235,Hamilton,5
1,56,5,01:29.5,89535,Hamilton,5
1,57,5,01:29.1,89085,Hamilton,5
1,58,5,01:29.5,89458,Hamilton,5
21,1,13,01:38.9,98926,Fisichella,5
21,2,13,01:33.4,93376,Fisichella,5
21,3,12,01:31.3,91265,Fisichella,5
21,4,12,01:30.9,90857,Fisichella,5
21,5,12,01:30.6,90641,Fisichella,5
21,6,12,01:30.9,90908,Fisichella,5
21,7,12,01:30.7,90715,Fisichella,5
21,8,12,01:30.6,90560,Fisichella,5
21,9,11,01:30.3,90254,Fisichella,5
21,10,11,01:30.1,90143,Fisichella,5
21,11,11,01:30.1,90072,Fisichella,5
21,12,11,01:30.1,90131,Fisichella,5
21,13,10,01:29.8,89805,Fisichella,5
21,14,10,01:29.5,89488,Fisichella,5
21,15,10,01:30.0,89952,Fisichella,5
21,16,10,01:29.5,89509,Fisichella,5
21,17,10,01:29.3,89310,Fisichella,5
21,18,7,01:29.3,89347,Fisichella,5
21,19,5,01:28.9,88927,Fisichella,5
21,20,5,01:28.8,88814,Fisichella,5
21,21,5,01:28.9,88875,Fisichella,5
21,22,4,01:29.2,89202,Fisichella,5
21,23,10,01:54.9,114855,Fisichella,5
21,24,10,01:30.6,90625,Fisichella,5
21,25,9,01:30.3,90275,Fisichella,5
21,26,9,01:30.1,90142,Fisichella,5
21,27,9,01:30.0,90030,Fisichella,5
21,28,9,01:29.8,89777,Fisichella,5
21,29,9,01:30.0,90036,Fisichella,5
21,30,9,01:29.8,89770,Fisichella,5
21,31,9,01:29.7,89711,Fisichella,5
21,32,9,01:29.6,89554,Fisichella,5
21,33,9,01:29.9,89862,Fisichella,5
21,34,9,01:29.3,89257,Fisichella,5
21,35,9,01:29.2,89241,Fisichella,5
21,36,9,01:29.2,89240,Fisichella,5
21,37,9,01:28.9,88944,Fisichella,5
21,38,8,01:28.8,88842,Fisichella,5
21,39,8,01:28.8,88810,Fisichella,5
21,40,7,01:29.2,89193,Fisichella,5
21,41,7,01:28.9,88930,Fisichella,5
21,42,6,01:28.8,88815,Fisichella,5
21,43,5,01:29.2,89199,Fisichella,5
21,44,10,01:55.1,115112,Fisichella,5
21,45,9,01:29.9,89939,Fisichella,5
21,46,9,01:29.7,89683,Fisichella,5
21,47,9,01:29.6,89619,Fisichella,5
21,48,9,01:29.7,89708,Fisichella,5
21,49,9,01:29.5,89510,Fisichella,5
21,50,9,01:29.5,89543,Fisichella,5
21,51,9,01:29.4,89438,Fisichella,5
21,52,9,01:28.8,88821,Fisichella,5
21,53,9,01:29.1,89054,Fisichella,5
21,54,9,01:29.3,89306,Fisichella,5
21,55,9,01:28.9,88872,Fisichella,5
21,56,9,01:28.8,88793,Fisichella,5
21,57,9,01:28.9,88927,Fisichella,5
21,58,9,01:29.1,89142,Fisichella,5
5,1,7,01:35.2,95225,Kovalainen,5
5,2,7,01:30.8,90799,Kovalainen,5
5,3,7,01:31.1,91138,Kovalainen,5
5,4,7,01:30.5,90474,Kovalainen,5
5,5,7,01:30.4,90437,Kovalainen,5
5,6,7,01:30.3,90260,Kovalainen,5
5,7,7,01:30.2,90153,Kovalainen,5
5,8,7,01:30.2,90211,Kovalainen,5
5,9,7,01:29.8,89829,Kovalainen,5
5,10,7,01:30.0,90019,Kovalainen,5
5,11,7,01:29.9,89852,Kovalainen,5
5,12,7,01:30.0,89950,Kovalainen,5
5,13,6,01:29.4,89400,Kovalainen,5
5,14,6,01:29.2,89249,Kovalainen,5
5,15,6,01:29.3,89293,Kovalainen,5
5,16,6,01:29.3,89283,Kovalainen,5
5,17,6,01:29.2,89208,Kovalainen,5
5,18,5,01:29.1,89119,Kovalainen,5
5,19,3,01:28.8,88818,Kovalainen,5
5,20,2,01:28.6,88603,Kovalainen,5
