driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
1,1,1,01:47.6,107572,Hamilton,12
1,2,1,01:41.8,101807,Hamilton,12
1,3,1,01:41.1,101146,Hamilton,12
1,4,1,01:40.4,100401,Hamilton,12
1,5,1,01:40.6,100580,Hamilton,12
1,6,1,01:39.8,99810,Hamilton,12
1,7,1,01:40.1,100057,Hamilton,12
1,8,1,01:40.0,99984,Hamilton,12
1,9,1,01:40.0,100006,Hamilton,12
1,10,1,01:40.1,100064,Hamilton,12
1,11,1,01:40.0,100006,Hamilton,12
1,12,1,01:39.9,99886,Hamilton,12
1,13,1,01:40.0,100043,Hamilton,12
1,14,1,01:39.5,99455,Hamilton,12
1,15,1,01:39.8,99796,Hamilton,12
1,16,4,01:56.2,116244,Hamilton,12
1,17,4,01:46.6,106591,Hamilton,12
1,18,4,01:41.1,101055,Hamilton,12
1,19,3,01:40.6,100622,Hamilton,12
1,20,2,01:40.3,100335,Hamilton,12
1,21,1,01:40.4,100422,Hamilton,12
1,22,1,01:40.3,100325,Hamilton,12
1,23,1,01:40.2,100182,Hamilton,12
1,24,1,01:40.2,100152,Hamilton,12
1,25,1,01:40.7,100704,Hamilton,12
1,26,1,01:39.6,99629,Hamilton,12
1,27,1,01:39.7,99701,Hamilton,12
1,28,1,01:40.0,99992,Hamilton,12
1,29,1,01:39.8,99791,Hamilton,12
1,30,1,01:39.8,99805,Hamilton,12
1,31,1,01:39.4,99446,Hamilton,12
1,32,1,01:39.5,99523,Hamilton,12
1,33,1,01:39.8,99820,Hamilton,12
1,34,1,01:39.7,99685,Hamilton,12
1,35,1,01:39.8,99808,Hamilton,12
1,36,1,01:39.9,99878,Hamilton,12
1,37,4,01:59.8,119794,Hamilton,12
1,38,5,01:45.5,105528,Hamilton,12
1,39,4,01:40.5,100452,Hamilton,12
1,40,3,01:40.2,100195,Hamilton,12
1,41,3,01:40.4,100357,Hamilton,12
1,42,3,01:40.2,100180,Hamilton,12
1,43,2,01:40.2,100182,Hamilton,12
1,44,2,01:40.5,100451,Hamilton,12
1,45,2,01:40.0,100043,Hamilton,12
1,46,2,01:39.6,99590,Hamilton,12
1,47,2,01:39.7,99680,Hamilton,12
1,48,2,01:39.4,99394,Hamilton,12
1,49,2,01:39.6,99556,Hamilton,12
1,50,2,01:39.2,99227,Hamilton,12
1,51,2,01:39.4,99394,Hamilton,12
1,52,2,01:39.3,99289,Hamilton,12
1,53,2,01:39.2,99249,Hamilton,12
1,54,2,01:39.2,99187,Hamilton,12
