driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,01:41.6,101605,Vettel,3
20,2,1,01:40.2,100201,Vettel,3
20,3,1,01:40.3,100344,Vettel,3
20,4,1,01:40.3,100336,Vettel,3
20,5,1,01:40.5,100457,Vettel,3
20,6,1,01:40.8,100757,Vettel,3
20,7,1,01:40.8,100794,Vettel,3
20,8,1,01:40.7,100723,Vettel,3
20,9,1,01:40.9,100936,Vettel,3
20,10,1,01:41.0,101013,Vettel,3
20,11,1,01:43.3,103267,Vettel,3
20,12,2,01:59.0,118967,Vettel,3
20,13,1,01:39.3,99275,Vettel,3
20,14,1,01:39.7,99700,Vettel,3
20,15,1,01:39.5,99531,Vettel,3
20,16,1,01:39.7,99701,Vettel,3
20,17,1,01:39.7,99656,Vettel,3
20,18,1,01:39.6,99591,Vettel,3
20,19,1,01:39.8,99802,Vettel,3
20,20,1,01:39.9,99872,Vettel,3
20,21,1,01:40.3,100280,Vettel,3
20,22,1,01:40.2,100198,Vettel,3
20,23,1,01:40.7,100660,Vettel,3
20,24,1,01:40.6,100553,Vettel,3
20,25,1,01:43.0,102970,Vettel,3
20,26,1,01:58.0,118046,Vettel,3
20,27,1,01:38.2,98157,Vettel,3
20,28,1,01:38.5,98461,Vettel,3
20,29,1,01:38.7,98706,Vettel,3
20,30,1,01:38.7,98659,Vettel,3
20,31,1,01:39.0,99014,Vettel,3
20,32,1,01:39.0,98977,Vettel,3
20,33,1,01:38.9,98856,Vettel,3
20,34,1,01:38.9,98907,Vettel,3
20,35,1,01:39.5,99477,Vettel,3
20,36,1,01:40.0,99986,Vettel,3
20,37,1,01:39.6,99615,Vettel,3
20,38,1,01:39.1,99075,Vettel,3
20,39,1,01:41.3,101331,Vettel,3
20,40,2,01:55.3,115309,Vettel,3
20,41,1,01:36.4,96379,Vettel,3
20,42,1,01:37.0,97036,Vettel,3
20,43,1,01:37.1,97066,Vettel,3
20,44,1,01:37.6,97581,Vettel,3
20,45,1,01:37.3,97338,Vettel,3
20,46,1,01:37.7,97683,Vettel,3
20,47,1,01:37.9,97868,Vettel,3
20,48,1,01:37.5,97532,Vettel,3
20,49,1,01:37.1,97071,Vettel,3
20,50,1,01:37.1,97057,Vettel,3
20,51,1,01:37.4,97407,Vettel,3
20,52,1,01:37.4,97411,Vettel,3
20,53,1,01:37.6,97633,Vettel,3
20,54,1,01:37.7,97739,Vettel,3
20,55,1,01:37.9,97862,Vettel,3
20,56,1,01:38.2,98220,Vettel,3
20,57,1,01:38.3,98342,Vettel,3
1,1,2,01:43.9,103872,Hamilton,3
1,2,2,01:40.9,100854,Hamilton,3
1,3,2,01:40.7,100730,Hamilton,3
1,4,2,01:40.9,100940,Hamilton,3
1,5,2,01:41.1,101060,Hamilton,3
1,6,2,01:41.1,101134,Hamilton,3
1,7,3,01:42.3,102264,Hamilton,3
1,8,3,01:42.1,102123,Hamilton,3
1,9,3,01:44.3,104275,Hamilton,3
1,10,11,02:05.0,125022,Hamilton,3
1,11,10,01:39.8,99836,Hamilton,3
1,12,9,01:40.9,100866,Hamilton,3
1,13,9,01:40.8,100766,Hamilton,3
1,14,8,01:40.1,100117,Hamilton,3
1,15,6,01:40.2,100203,Hamilton,3
1,16,6,01:40.4,100360,Hamilton,3
1,17,6,01:40.4,100423,Hamilton,3
1,18,6,01:40.5,100506,Hamilton,3
1,19,6,01:40.6,100561,Hamilton,3
1,20,6,01:40.8,100822,Hamilton,3
1,21,6,01:41.4,101358,Hamilton,3
1,22,5,01:41.9,101865,Hamilton,3
1,23,5,01:44.1,104140,Hamilton,3
1,24,13,02:06.5,126481,Hamilton,3
1,25,11,01:38.9,98931,Hamilton,3
1,26,11,01:39.3,99314,Hamilton,3
1,27,11,01:39.9,99873,Hamilton,3
1,28,11,01:40.4,100380,Hamilton,3
1,29,11,01:39.8,99787,Hamilton,3
1,30,11,01:39.6,99613,Hamilton,3
1,31,10,01:39.9,99942,Hamilton,3
1,32,10,01:40.4,100358,Hamilton,3
1,33,10,01:40.1,100066,Hamilton,3
1,34,9,01:40.6,100606,Hamilton,3
1,35,9,01:40.7,100650,Hamilton,3
