driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,01:57.9,117872,Vettel,22
20,2,1,02:38.8,158826,Vettel,22
20,3,1,01:39.8,99841,Vettel,22
20,4,1,01:39.5,99523,Vettel,22
20,5,1,01:39.8,99802,Vettel,22
20,6,1,01:39.5,99545,Vettel,22
20,7,1,01:39.5,99450,Vettel,22
20,8,1,01:39.3,99341,Vettel,22
20,9,1,01:39.2,99180,Vettel,22
20,10,1,01:39.2,99202,Vettel,22
20,11,1,01:39.2,99232,Vettel,22
20,12,1,01:39.4,99427,Vettel,22
20,13,1,01:39.5,99515,Vettel,22
20,14,1,01:39.7,99727,Vettel,22
20,15,1,01:39.6,99579,Vettel,22
20,16,1,01:40.1,100128,Vettel,22
20,17,1,01:41.8,101809,Vettel,22
20,18,1,01:56.4,116435,Vettel,22
20,19,1,01:39.2,99207,Vettel,22
20,20,1,01:39.5,99497,Vettel,22
20,21,1,01:39.1,99063,Vettel,22
20,22,1,01:38.4,98449,Vettel,22
20,23,1,01:38.9,98855,Vettel,22
20,24,1,01:38.9,98862,Vettel,22
20,25,1,01:38.6,98596,Vettel,22
20,26,1,01:38.9,98903,Vettel,22
20,27,1,01:38.5,98524,Vettel,22
20,28,1,01:38.2,98246,Vettel,22
20,29,1,01:38.6,98637,Vettel,22
20,30,1,01:38.7,98663,Vettel,22
20,31,1,01:39.0,98990,Vettel,22
20,32,1,01:38.0,97961,Vettel,22
20,33,1,01:38.2,98154,Vettel,22
20,34,1,01:38.5,98493,Vettel,22
20,35,1,01:38.5,98509,Vettel,22
20,36,1,01:38.8,98768,Vettel,22
20,37,1,01:40.2,100238,Vettel,22
20,38,1,01:55.1,115095,Vettel,22
20,39,1,01:36.6,96630,Vettel,22
20,40,1,01:37.4,97425,Vettel,22
20,41,1,01:37.3,97339,Vettel,22
20,42,1,01:37.4,97445,Vettel,22
20,43,1,01:37.2,97159,Vettel,22
20,44,1,01:37.1,97128,Vettel,22
