driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,01:48.2,108151,Vettel,35
20,2,1,01:46.5,106474,Vettel,35
20,3,1,01:46.6,106636,Vettel,35
20,4,1,01:46.3,106330,Vettel,35
20,5,1,01:46.8,106774,Vettel,35
20,6,1,01:46.1,106083,Vettel,35
20,7,1,01:46.0,105959,Vettel,35
20,8,1,01:45.6,105643,Vettel,35
20,9,1,01:45.8,105815,Vettel,35
20,10,1,01:45.7,105679,Vettel,35
20,11,1,01:45.5,105543,Vettel,35
20,12,1,01:45.4,105439,Vettel,35
20,13,1,01:45.8,105805,Vettel,35
20,14,1,01:46.0,106021,Vettel,35
20,15,1,01:50.2,110200,Vettel,35
20,16,1,02:00.4,120423,Vettel,35
20,17,1,01:44.3,104307,Vettel,35
20,18,1,01:44.7,104660,Vettel,35
20,19,1,01:44.8,104837,Vettel,35
20,20,1,01:44.9,104948,Vettel,35
20,21,1,01:44.8,104800,Vettel,35
20,22,1,01:44.7,104667,Vettel,35
20,23,1,01:44.6,104616,Vettel,35
20,24,1,01:44.6,104626,Vettel,35
20,25,1,01:44.1,104110,Vettel,35
20,26,1,01:43.9,103948,Vettel,35
20,27,1,01:44.4,104445,Vettel,35
20,28,1,01:44.2,104171,Vettel,35
20,29,1,01:44.0,104047,Vettel,35
20,30,1,01:44.3,104262,Vettel,35
20,31,1,01:44.5,104497,Vettel,35
20,32,1,01:44.4,104440,Vettel,35
20,33,1,01:43.8,103844,Vettel,35
20,34,1,01:45.0,105006,Vettel,35
20,35,1,01:50.7,110743,Vettel,35
20,36,1,01:58.2,118244,Vettel,35
20,37,1,01:42.6,102644,Vettel,35
20,38,1,01:43.1,103091,Vettel,35
20,39,1,01:43.7,103716,Vettel,35
20,40,1,01:44.2,104214,Vettel,35
20,41,1,01:43.8,103775,Vettel,35
20,42,1,01:43.9,103850,Vettel,35
20,43,1,01:43.9,103889,Vettel,35
20,44,1,01:43.3,103333,Vettel,35
20,45,1,01:43.3,103338,Vettel,35
20,46,1,01:43.2,103239,Vettel,35
20,47,1,01:43.1,103137,Vettel,35
20,48,1,01:42.8,102794,Vettel,35
20,49,1,01:43.1,103072,Vettel,35
20,50,1,01:42.9,102853,Vettel,35
20,51,1,01:43.4,103362,Vettel,35
20,52,1,01:43.3,103307,Vettel,35
20,53,1,01:43.0,102953,Vettel,35
20,54,1,01:43.4,103392,Vettel,35
20,55,1,01:42.5,102499,Vettel,35
17,1,2,01:48.9,108887,Webber,35
17,2,2,01:46.7,106698,Webber,35
17,3,2,01:46.6,106598,Webber,35
17,4,2,01:46.7,106737,Webber,35
17,5,2,01:46.7,106682,Webber,35
17,6,2,01:46.2,106226,Webber,35
17,7,2,01:46.1,106052,Webber,35
17,8,2,01:46.1,106056,Webber,35
17,9,2,01:46.0,105971,Webber,35
17,10,2,01:45.6,105623,Webber,35
17,11,2,01:46.2,106245,Webber,35
17,12,2,01:46.1,106140,Webber,35
17,13,2,01:46.4,106365,Webber,35
17,14,3,01:50.9,110888,Webber,35
17,15,3,02:00.6,120554,Webber,35
17,16,2,01:45.4,105404,Webber,35
17,17,2,01:45.3,105295,Webber,35
17,18,2,01:45.2,105158,Webber,35
17,19,2,01:45.1,105111,Webber,35
17,20,2,01:45.4,105351,Webber,35
17,21,2,01:45.4,105366,Webber,35
17,22,2,01:45.2,105211,Webber,35
17,23,2,01:45.3,105324,Webber,35
17,24,2,01:44.9,104860,Webber,35
17,25,2,01:44.6,104597,Webber,35
17,26,2,01:44.5,104483,Webber,35
17,27,2,01:44.0,104027,Webber,35
17,28,2,01:43.8,103761,Webber,35
17,29,2,01:43.9,103861,Webber,35
17,30,2,01:44.2,104198,Webber,35
17,31,2,01:44.5,104500,Webber,35
17,32,4,01:49.0,108950,Webber,35
17,33,5,01:58.8,118837,Webber,35
17,34,5,01:43.6,103567,Webber,35
17,35,3,01:43.5,103457,Webber,35
17,36,2,01:44.5,104467,Webber,35
17,37,2,01:44.1,104131,Webber,35
17,38,2,01:44.4,104381,Webber,35
17,39,2,01:44.1,104136,Webber,35
17,40,2,01:43.9,103900,Webber,35
17,41,2,01:44.2,104214,Webber,35
17,42,2,01:44.3,104289,Webber,35
17,43,2,01:44.3,104334,Webber,35
17,44,2,01:43.8,103756,Webber,35
