driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,01:32.8,92771,Vettel,68
20,2,1,01:34.4,94399,Vettel,68
20,3,17,01:52.2,112178,Vettel,68
20,4,16,01:33.2,93208,Vettel,68
20,5,15,01:32.9,92874,Vettel,68
20,6,14,01:33.1,93119,Vettel,68
20,7,12,01:32.8,92771,Vettel,68
20,8,8,01:32.5,92540,Vettel,68
20,9,6,01:32.6,92610,Vettel,68
20,10,5,01:31.9,91939,Vettel,68
20,11,4,01:31.4,91358,Vettel,68
20,12,4,01:31.6,91578,Vettel,68
20,13,3,01:31.1,91086,Vettel,68
20,14,3,01:31.2,91231,Vettel,68
20,15,3,01:31.0,91021,Vettel,68
20,16,3,01:31.0,91008,Vettel,68
20,17,3,01:31.2,91195,Vettel,68
20,18,3,01:30.8,90750,Vettel,68
20,19,3,01:31.2,91228,Vettel,68
20,20,3,01:31.4,91373,Vettel,68
20,21,2,01:30.3,90337,Vettel,68
20,22,2,01:30.5,90485,Vettel,68
20,23,2,01:30.6,90586,Vettel,68
20,24,2,01:30.2,90188,Vettel,68
20,25,2,01:30.1,90148,Vettel,68
20,26,2,01:30.2,90205,Vettel,68
20,27,2,01:30.3,90328,Vettel,68
20,28,2,01:30.3,90322,Vettel,68
20,29,1,01:30.5,90480,Vettel,68
20,30,1,01:30.3,90282,Vettel,68
20,31,1,01:32.9,92899,Vettel,68
20,32,2,01:49.6,109623,Vettel,68
20,33,1,01:29.2,89155,Vettel,68
20,34,1,01:29.5,89487,Vettel,68
20,35,1,01:29.6,89623,Vettel,68
20,36,1,01:29.5,89498,Vettel,68
20,37,1,01:29.6,89646,Vettel,68
20,38,1,01:29.4,89418,Vettel,68
20,39,1,01:29.5,89458,Vettel,68
20,40,1,01:29.5,89530,Vettel,68
20,41,1,01:29.9,89883,Vettel,68
20,42,1,01:29.7,89731,Vettel,68
20,43,1,01:29.5,89516,Vettel,68
20,44,1,01:30.7,90701,Vettel,68
20,45,1,01:29.1,89079,Vettel,68
20,46,1,01:29.8,89843,Vettel,68
20,47,1,01:29.7,89661,Vettel,68
20,48,1,01:29.5,89500,Vettel,68
20,49,1,01:29.7,89693,Vettel,68
20,50,1,01:29.6,89631,Vettel,68
20,51,1,01:29.5,89474,Vettel,68
20,52,1,01:29.8,89779,Vettel,68
20,53,1,01:30.0,89985,Vettel,68
20,54,1,01:28.1,88116,Vettel,68
20,55,1,01:29.6,89628,Vettel,68
20,56,1,01:29.5,89452,Vettel,68
20,57,1,01:29.3,89283,Vettel,68
20,58,1,01:29.1,89144,Vettel,68
20,59,1,01:29.1,89096,Vettel,68
20,60,1,01:29.1,89057,Vettel,68
13,1,2,01:35.3,95261,Massa,68
13,2,2,01:33.0,92981,Massa,68
13,3,1,01:32.7,92706,Massa,68
13,4,1,01:32.7,92716,Massa,68
13,5,1,01:32.9,92921,Massa,68
13,6,1,01:33.1,93056,Massa,68
13,7,1,01:33.1,93054,Massa,68
13,8,1,01:35.2,95208,Massa,68
13,9,8,01:52.2,112235,Massa,68
13,10,8,01:32.4,92440,Massa,68
13,11,8,01:32.6,92578,Massa,68
13,12,8,01:32.8,92808,Massa,68
13,13,8,01:33.2,93162,Massa,68
13,14,7,01:32.5,92483,Massa,68
13,15,7,01:32.6,92594,Massa,68
13,16,6,01:32.6,92617,Massa,68
13,17,6,01:32.1,92097,Massa,68
13,18,6,01:32.5,92524,Massa,68
13,19,6,01:32.2,92215,Massa,68
13,20,6,01:31.7,91738,Massa,68
13,21,6,01:31.7,91723,Massa,68
13,22,6,01:31.6,91611,Massa,68
13,23,6,01:32.3,92309,Massa,68
13,24,6,01:31.6,91619,Massa,68
13,25,6,01:31.6,91597,Massa,68
13,26,6,01:31.7,91731,Massa,68
13,27,6,01:32.0,91959,Massa,68
13,28,6,01:31.6,91600,Massa,68
13,29,5,01:31.5,91539,Massa,68
13,30,6,01:34.1,94118,Massa,68
13,31,11,01:51.1,111060,Massa,68
13,32,10,01:30.8,90808,Massa,68
13,33,10,01:30.6,90617,Massa,68
13,34,7,01:30.6,90640,Massa,68
13,35,7,01:31.0,90981,Massa,68
13,36,7,01:30.6,90566,Massa,68
13,37,7,01:30.6,90630,Massa,68
13,38,7,01:30.5,90484,Massa,68
13,39,7,01:30.3,90330,Massa,68
13,40,6,01:30.8,90778,Massa,68
13,41,6,01:29.6,89577,Massa,68
13,42,5,01:29.9,89945,Massa,68
13,43,5,01:29.7,89675,Massa,68
13,44,5,01:29.7,89658,Massa,68
13,45,5,01:29.6,89567,Massa,68
13,46,5,01:29.7,89734,Massa,68
13,47,5,01:29.5,89547,Massa,68
13,48,5,01:29.4,89446,Massa,68
13,49,5,01:29.4,89358,Massa,68
13,50,5,01:29.3,89255,Massa,68
13,51,5,01:29.0,89010,Massa,68
13,52,5,01:29.1,89060,Massa,68
13,53,5,01:29.2,89176,Massa,68
13,54,5,01:28.9,88886,Massa,68
13,55,5,01:28.9,88899,Massa,68
