driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,02:01.8,121790,Vettel,2
20,2,1,01:57.1,117127,Vettel,2
20,3,1,01:56.7,116672,Vettel,2
20,4,1,01:57.3,117267,Vettel,2
20,5,2,02:00.5,120467,Vettel,2
20,6,7,02:18.1,138058,Vettel,2
20,7,6,01:55.4,115376,Vettel,2
20,8,3,01:50.1,110138,Vettel,2
20,9,2,01:48.6,108582,Vettel,2
20,10,2,01:46.5,106491,Vettel,2
20,11,2,01:45.5,105544,Vettel,2
20,12,2,01:45.0,104990,Vettel,2
20,13,2,01:44.7,104658,Vettel,2
20,14,2,01:44.1,104082,Vettel,2
20,15,2,01:43.6,103616,Vettel,2
20,16,2,01:43.4,103350,Vettel,2
20,17,2,01:43.2,103248,Vettel,2
20,18,2,01:43.4,103440,Vettel,2
20,19,1,01:43.5,103476,Vettel,2
20,20,1,01:43.1,103074,Vettel,2
20,21,1,01:43.5,103483,Vettel,2
20,22,1,01:46.8,106823,Vettel,2
20,23,2,01:58.8,118799,Vettel,2
20,24,2,01:42.1,102054,Vettel,2
20,25,2,01:41.7,101741,Vettel,2
20,26,2,01:42.1,102080,Vettel,2
20,27,2,01:42.9,102851,Vettel,2
20,28,2,01:42.3,102291,Vettel,2
20,29,2,01:42.5,102496,Vettel,2
20,30,2,01:42.5,102528,Vettel,2
20,31,1,01:42.7,102676,Vettel,2
20,32,1,01:45.5,105500,Vettel,2
20,33,4,01:57.8,117796,Vettel,2
20,34,4,01:41.2,101249,Vettel,2
20,35,3,01:41.4,101353,Vettel,2
20,36,3,01:42.0,102029,Vettel,2
20,37,3,01:41.6,101561,Vettel,2
20,38,3,01:41.7,101679,Vettel,2
20,39,2,01:41.1,101134,Vettel,2
20,40,2,01:41.8,101803,Vettel,2
20,41,2,01:41.2,101247,Vettel,2
20,42,2,01:43.8,103839,Vettel,2
20,43,2,01:55.2,115174,Vettel,2
20,44,2,01:41.8,101763,Vettel,2
20,45,2,01:40.4,100446,Vettel,2
20,46,1,01:42.0,101998,Vettel,2
20,47,1,01:40.7,100748,Vettel,2
20,48,1,01:40.9,100851,Vettel,2
20,49,1,01:41.1,101074,Vettel,2
20,50,1,01:41.1,101144,Vettel,2
20,51,1,01:41.3,101329,Vettel,2
20,52,1,01:41.9,101919,Vettel,2
20,53,1,01:41.7,101746,Vettel,2
20,54,1,01:41.8,101770,Vettel,2
20,55,1,01:42.7,102741,Vettel,2
20,56,1,01:45.5,105520,Vettel,2
4,1,2,02:05.2,125239,Alonso,2
17,1,3,02:05.3,125298,Webber,2
17,2,2,01:57.0,116963,Webber,2
17,3,2,01:57.1,117131,Webber,2
17,4,2,01:57.0,117049,Webber,2
17,5,1,01:56.6,116588,Webber,2
17,6,1,01:55.8,115795,Webber,2
17,7,1,01:58.6,118563,Webber,2
17,8,2,02:07.9,127937,Webber,2
17,9,1,01:47.2,107195,Webber,2
17,10,1,01:46.3,106291,Webber,2
17,11,1,01:45.8,105760,Webber,2
17,12,1,01:45.5,105524,Webber,2
17,13,1,01:44.8,104785,Webber,2
17,14,1,01:44.2,104182,Webber,2
17,15,1,01:43.5,103535,Webber,2
17,16,1,01:43.2,103195,Webber,2
17,17,1,01:43.1,103123,Webber,2
17,18,1,01:43.8,103808,Webber,2
17,19,2,01:46.7,106652,Webber,2
17,20,5,01:59.2,119220,Webber,2
17,21,4,01:42.9,102919,Webber,2
17,22,3,01:43.2,103191,Webber,2
17,23,1,01:43.2,103204,Webber,2
17,24,1,01:43.4,103411,Webber,2
17,25,1,01:42.5,102515,Webber,2
17,26,1,01:42.1,102093,Webber,2
17,27,1,01:42.6,102575,Webber,2
17,28,1,01:41.8,101757,Webber,2
17,29,1,01:42.1,102139,Webber,2
17,30,1,01:42.3,102302,Webber,2
17,31,2,01:45.0,105048,Webber,2
