driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
13,1,1,01:16.4,76432,Massa,70
13,2,1,01:13.8,73768,Massa,70
13,3,1,01:14.2,74233,Massa,70
13,4,1,01:14.4,74377,Massa,70
13,5,1,01:14.5,74462,Massa,70
13,6,1,01:14.0,74013,Massa,70
13,7,1,01:14.3,74295,Massa,70
13,8,1,01:14.2,74210,Massa,70
13,9,1,01:14.5,74504,Massa,70
13,10,1,01:14.6,74558,Massa,70
13,11,1,01:14.6,74593,Massa,70
13,12,1,01:14.7,74702,Massa,70
13,13,1,01:15.2,75183,Massa,70
13,14,2,01:19.0,78985,Massa,70
13,15,5,01:33.3,93305,Massa,70
13,16,5,01:14.6,74640,Massa,70
13,17,5,01:14.7,74699,Massa,70
13,18,5,01:14.5,74545,Massa,70
13,19,5,01:14.1,74058,Massa,70
13,20,5,01:14.2,74180,Massa,70
13,21,5,01:14.4,74431,Massa,70
13,22,5,01:14.6,74611,Massa,70
13,23,5,01:14.6,74579,Massa,70
13,24,5,01:14.3,74262,Massa,70
13,25,5,01:14.1,74088,Massa,70
13,26,5,01:14.1,74086,Massa,70
13,27,5,01:14.4,74388,Massa,70
13,28,5,01:15.1,75060,Massa,70
13,29,4,01:15.1,75099,Massa,70
13,30,4,01:14.0,73998,Massa,70
13,31,4,01:14.1,74089,Massa,70
13,32,4,01:14.0,74000,Massa,70
13,33,4,01:14.1,74082,Massa,70
13,34,4,01:13.8,73785,Massa,70
13,35,4,01:14.2,74165,Massa,70
13,36,4,01:13.7,73686,Massa,70
13,37,4,01:14.3,74303,Massa,70
13,38,4,01:13.8,73792,Massa,70
13,39,4,01:14.2,74250,Massa,70
13,40,3,01:14.1,74144,Massa,70
13,41,2,01:14.4,74431,Massa,70
13,42,1,01:14.4,74373,Massa,70
13,43,2,01:18.0,77951,Massa,70
13,44,6,01:30.4,90407,Massa,70
13,45,6,01:12.7,72695,Massa,70
13,46,6,01:13.1,73146,Massa,70
13,47,6,01:13.0,72992,Massa,70
13,48,5,01:12.8,72772,Massa,70
13,49,5,01:13.1,73148,Massa,70
13,50,5,01:12.7,72704,Massa,70
13,51,5,01:13.4,73446,Massa,70
13,52,5,01:13.1,73124,Massa,70
13,53,5,01:13.1,73073,Massa,70
13,54,5,01:13.6,73634,Massa,70
13,55,4,01:13.4,73366,Massa,70
13,56,4,01:12.7,72739,Massa,70
13,57,4,01:12.9,72905,Massa,70
13,58,4,01:13.0,73005,Massa,70
13,59,4,01:12.9,72921,Massa,70
13,60,4,01:13.4,73351,Massa,70
13,61,4,01:13.0,72999,Massa,70
13,62,4,01:12.8,72831,Massa,70
13,63,4,01:12.6,72586,Massa,70
13,64,4,01:12.7,72667,Massa,70
13,65,4,01:12.6,72641,Massa,70
13,66,4,01:13.2,73163,Massa,70
13,67,4,01:13.2,73178,Massa,70
13,68,4,01:13.7,73687,Massa,70
13,69,4,01:14.1,74107,Massa,70
13,70,4,01:14.6,74611,Massa,70
13,71,4,01:15.0,75041,Massa,70
822,1,2,01:17.4,77401,Bottas,70
822,2,2,01:13.8,73809,Bottas,70
822,3,2,01:14.2,74203,Bottas,70
822,4,2,01:14.5,74508,Bottas,70
822,5,2,01:14.2,74205,Bottas,70
822,6,2,01:14.0,73983,Bottas,70
822,7,2,01:14.2,74198,Bottas,70
822,8,2,01:14.6,74584,Bottas,70
822,9,2,01:14.6,74577,Bottas,70
822,10,2,01:14.4,74380,Bottas,70
822,11,2,01:14.6,74635,Bottas,70
822,12,2,01:14.9,74938,Bottas,70
822,13,2,01:15.0,75038,Bottas,70
822,14,1,01:15.7,75678,Bottas,70
822,15,1,01:18.3,78259,Bottas,70
822,16,3,01:30.4,90399,Bottas,70
822,17,3,01:14.3,74318,Bottas,70
822,18,3,01:14.4,74443,Bottas,70
822,19,3,01:14.5,74539,Bottas,70
822,20,3,01:14.4,74364,Bottas,70
822,21,3,01:14.4,74448,Bottas,70
822,22,3,01:14.5,74520,Bottas,70
822,23,3,01:14.3,74265,Bottas,70
822,24,3,01:14.3,74283,Bottas,70
822,25,3,01:13.9,73912,Bottas,70
822,26,3,01:14.3,74309,Bottas,70
822,27,2,01:14.1,74095,Bottas,70
822,28,2,01:14.1,74142,Bottas,70
822,29,2,01:13.9,73949,Bottas,70
822,30,2,01:14.7,74652,Bottas,70
822,31,2,01:14.4,74413,Bottas,70
822,32,2,01:13.9,73944,Bottas,70
822,33,2,01:14.3,74297,Bottas,70
822,34,2,01:13.9,73874,Bottas,70
822,35,2,01:13.8,73792,Bottas,70
