driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
3,1,1,01:41.2,101206,Rosberg,6
3,2,1,02:03.8,123788,Rosberg,6
3,3,1,01:59.2,119248,Rosberg,6
3,4,1,01:22.2,82211,Rosberg,6
3,5,1,01:21.2,81242,Rosberg,6
3,6,1,01:20.5,80461,Rosberg,6
3,7,1,01:20.3,80312,Rosberg,6
3,8,1,01:20.6,80562,Rosberg,6
3,9,1,01:20.3,80317,Rosberg,6
3,10,1,01:20.5,80537,Rosberg,6
3,11,1,01:20.1,80082,Rosberg,6
3,12,1,01:20.2,80242,Rosberg,6
3,13,1,01:20.4,80365,Rosberg,6
3,14,1,01:20.6,80646,Rosberg,6
3,15,1,01:20.4,80369,Rosberg,6
3,16,1,01:20.6,80623,Rosberg,6
3,17,1,01:20.4,80364,Rosberg,6
3,18,1,01:20.6,80614,Rosberg,6
3,19,1,01:21.4,81411,Rosberg,6
3,20,1,01:20.9,80906,Rosberg,6
3,21,1,01:21.4,81415,Rosberg,6
3,22,1,01:21.5,81508,Rosberg,6
3,23,1,01:21.5,81504,Rosberg,6
3,24,1,01:22.0,81978,Rosberg,6
3,25,1,01:23.1,83058,Rosberg,6
3,26,1,01:50.9,110920,Rosberg,6
3,27,1,01:59.0,118968,Rosberg,6
3,28,1,02:15.7,135670,Rosberg,6
3,29,1,01:54.7,114712,Rosberg,6
3,30,1,01:54.4,114426,Rosberg,6
3,31,1,01:21.5,81517,Rosberg,6
3,32,1,01:20.6,80578,Rosberg,6
3,33,1,01:19.4,79425,Rosberg,6
3,34,1,01:19.5,79508,Rosberg,6
3,35,1,01:19.5,79462,Rosberg,6
3,36,1,01:19.8,79765,Rosberg,6
3,37,1,01:19.6,79569,Rosberg,6
3,38,1,01:19.7,79717,Rosberg,6
3,39,1,01:19.8,79783,Rosberg,6
3,40,1,01:19.8,79823,Rosberg,6
3,41,1,01:19.6,79585,Rosberg,6
3,42,1,01:19.5,79513,Rosberg,6
3,43,1,01:19.6,79636,Rosberg,6
3,44,1,01:19.8,79765,Rosberg,6
3,45,1,01:19.7,79721,Rosberg,6
3,46,1,01:19.9,79899,Rosberg,6
3,47,1,01:20.0,80015,Rosberg,6
3,48,1,01:19.6,79647,Rosberg,6
3,49,1,01:19.5,79525,Rosberg,6
3,50,1,01:19.8,79841,Rosberg,6
3,51,1,01:20.3,80337,Rosberg,6
3,52,1,01:20.6,80563,Rosberg,6
3,53,1,01:19.7,79662,Rosberg,6
3,54,1,01:19.8,79774,Rosberg,6
3,55,1,01:19.8,79774,Rosberg,6
3,56,1,01:19.7,79659,Rosberg,6
3,57,1,01:20.6,80626,Rosberg,6
3,58,1,01:20.2,80172,Rosberg,6
3,59,1,01:20.0,79957,Rosberg,6
3,60,1,01:20.3,80291,Rosberg,6
3,61,1,01:22.1,82074,Rosberg,6
3,62,1,01:21.1,81133,Rosberg,6
3,63,1,01:19.6,79649,Rosberg,6
3,64,1,01:19.6,79638,Rosberg,6
3,65,1,01:20.0,79951,Rosberg,6
3,66,1,01:20.3,80292,Rosberg,6
3,67,1,01:20.0,80008,Rosberg,6
3,68,1,01:20.1,80093,Rosberg,6
3,69,1,01:20.1,80071,Rosberg,6
3,70,1,01:20.5,80507,Rosberg,6
3,71,1,01:20.9,80945,Rosberg,6
3,72,1,01:21.9,81923,Rosberg,6
3,73,1,01:20.9,80895,Rosberg,6
3,74,1,01:20.5,80544,Rosberg,6
3,75,1,01:20.9,80886,Rosberg,6
3,76,1,01:20.5,80451,Rosberg,6
3,77,1,01:20.2,80183,Rosberg,6
3,78,1,01:21.6,81644,Rosberg,6
1,1,2,01:42.3,102306,Hamilton,6
1,2,2,02:03.5,123482,Hamilton,6
1,3,2,01:58.9,118916,Hamilton,6
1,4,2,01:22.6,82609,Hamilton,6
1,5,2,01:21.1,81053,Hamilton,6
1,6,2,01:20.6,80556,Hamilton,6
1,7,2,01:20.4,80370,Hamilton,6
1,8,2,01:20.4,80430,Hamilton,6
1,9,2,01:20.5,80531,Hamilton,6
1,10,2,01:20.5,80546,Hamilton,6
1,11,2,01:20.3,80321,Hamilton,6
1,12,2,01:20.6,80551,Hamilton,6
1,13,2,01:20.5,80522,Hamilton,6
1,14,2,01:20.4,80421,Hamilton,6
1,15,2,01:20.7,80699,Hamilton,6
1,16,2,01:20.4,80406,Hamilton,6
1,17,2,01:20.6,80617,Hamilton,6
1,18,2,01:20.6,80639,Hamilton,6
1,19,2,01:20.8,80759,Hamilton,6
1,20,2,01:21.1,81127,Hamilton,6
1,21,2,01:21.3,81307,Hamilton,6
1,22,2,01:21.4,81382,Hamilton,6
1,23,2,01:21.7,81697,Hamilton,6
1,24,2,01:21.8,81838,Hamilton,6
1,25,2,01:22.7,82720,Hamilton,6
1,26,2,01:59.7,119673,Hamilton,6
1,27,2,01:52.0,111989,Hamilton,6
1,28,2,02:14.3,134328,Hamilton,6
1,29,2,01:54.8,114768,Hamilton,6
1,30,2,01:53.5,113544,Hamilton,6
1,31,2,01:22.0,81994,Hamilton,6
1,32,2,01:20.2,80249,Hamilton,6
1,33,2,01:19.7,79713,Hamilton,6
1,34,2,01:19.4,79361,Hamilton,6
1,35,2,01:19.6,79593,Hamilton,6
1,36,2,01:19.7,79732,Hamilton,6
1,37,2,01:19.7,79677,Hamilton,6
1,38,2,01:19.6,79568,Hamilton,6
1,39,2,01:19.8,79824,Hamilton,6
1,40,2,01:19.7,79742,Hamilton,6
1,41,2,01:19.7,79686,Hamilton,6
1,42,2,01:19.5,79542,Hamilton,6
1,43,2,01:19.8,79823,Hamilton,6
1,44,2,01:19.6,79623,Hamilton,6
1,45,2,01:19.7,79674,Hamilton,6
1,46,2,01:19.9,79875,Hamilton,6
1,47,2,01:20.0,80050,Hamilton,6
1,48,2,01:19.8,79768,Hamilton,6
1,49,2,01:19.9,79912,Hamilton,6
1,50,2,01:20.0,80048,Hamilton,6
1,51,2,01:20.1,80074,Hamilton,6
1,52,2,01:20.1,80139,Hamilton,6
1,53,2,01:19.8,79833,Hamilton,6
1,54,2,01:19.8,79783,Hamilton,6
1,55,2,01:19.8,79823,Hamilton,6
1,56,2,01:19.7,79693,Hamilton,6
1,57,2,01:20.6,80557,Hamilton,6
1,58,2,01:20.1,80123,Hamilton,6
1,59,2,01:20.6,80624,Hamilton,6
1,60,2,01:20.7,80702,Hamilton,6
1,61,2,01:20.8,80799,Hamilton,6
1,62,2,01:21.0,80961,Hamilton,6
1,63,2,01:20.3,80251,Hamilton,6
1,64,2,01:20.0,79982,Hamilton,6
1,65,2,01:22.2,82240,Hamilton,6
1,66,2,01:20.4,80429,Hamilton,6
1,67,2,01:21.1,81067,Hamilton,6
1,68,2,01:20.6,80580,Hamilton,6
1,69,2,01:20.2,80242,Hamilton,6
1,70,2,01:20.5,80506,Hamilton,6
1,71,2,01:20.9,80941,Hamilton,6
1,72,2,01:21.1,81114,Hamilton,6
1,73,2,01:22.0,82025,Hamilton,6
1,74,2,01:22.3,82344,Hamilton,6
1,75,2,01:21.2,81166,Hamilton,6
1,76,2,01:21.1,81096,Hamilton,6
1,77,2,01:21.0,80954,Hamilton,6
1,78,2,01:21.3,81262,Hamilton,6
20,1,3,01:44.2,104210,Vettel,6
20,2,3,02:02.8,122788,Vettel,6
20,3,5,01:59.5,119505,Vettel,6
20,4,20,02:41.1,161140,Vettel,6
20,5,20,01:34.6,94569,Vettel,6
8,1,4,01:45.6,105609,Räikkönen,6
8,2,4,02:03.4,123398,Räikkönen,6
8,3,3,01:56.9,116861,Räikkönen,6
8,4,3,01:23.2,83236,Räikkönen,6
8,5,3,01:21.4,81435,Räikkönen,6
8,6,3,01:21.0,80997,Räikkönen,6
8,7,3,01:21.2,81166,Räikkönen,6
8,8,3,01:21.0,81014,Räikkönen,6
8,9,3,01:20.8,80793,Räikkönen,6
8,10,3,01:20.9,80900,Räikkönen,6
8,11,3,01:21.4,81396,Räikkönen,6
8,12,3,01:21.5,81468,Räikkönen,6
8,13,3,01:20.6,80609,Räikkönen,6
8,14,3,01:20.8,80772,Räikkönen,6
8,15,3,01:21.0,81032,Räikkönen,6
8,16,3,01:21.1,81085,Räikkönen,6
8,17,3,01:21.4,81385,Räikkönen,6
8,18,3,01:21.3,81274,Räikkönen,6
8,19,3,01:21.1,81062,Räikkönen,6
8,20,3,01:21.8,81756,Räikkönen,6
8,21,3,01:21.6,81578,Räikkönen,6
8,22,3,01:21.9,81872,Räikkönen,6
8,23,3,01:21.9,81872,Räikkönen,6
8,24,3,01:22.1,82126,Räikkönen,6
8,25,3,01:22.3,82293,Räikkönen,6
8,26,3,01:51.4,111399,Räikkönen,6
8,27,3,01:51.5,111469,Räikkönen,6
8,28,14,02:23.7,143719,Räikkönen,6
8,29,13,01:54.1,114099,Räikkönen,6
8,30,13,01:51.1,111067,Räikkönen,6
8,31,13,01:24.9,84861,Räikkönen,6
8,32,13,01:23.8,83834,Räikkönen,6
8,33,13,01:24.6,84606,Räikkönen,6
8,34,13,01:22.3,82318,Räikkönen,6
8,35,12,01:24.0,83978,Räikkönen,6
8,36,12,01:20.8,80822,Räikkönen,6
8,37,11,01:20.5,80497,Räikkönen,6
8,38,11,01:21.5,81453,Räikkönen,6
8,39,11,01:21.2,81244,Räikkönen,6
8,40,11,01:21.4,81448,Räikkönen,6
8,41,11,01:21.0,80970,Räikkönen,6
8,42,11,01:21.0,80996,Räikkönen,6
8,43,11,01:21.5,81467,Räikkönen,6
8,44,11,01:21.4,81415,Räikkönen,6
8,45,10,01:21.6,81649,Räikkönen,6
8,46,10,01:21.9,81896,Räikkönen,6
8,47,10,01:21.3,81264,Räikkönen,6
8,48,10,01:21.8,81793,Räikkönen,6
8,49,10,01:21.2,81210,Räikkönen,6
8,50,10,01:21.0,80972,Räikkönen,6
8,51,10,01:21.1,81089,Räikkönen,6
8,52,10,01:21.7,81708,Räikkönen,6
8,53,10,01:21.7,81662,Räikkönen,6
8,54,10,01:21.7,81710,Räikkönen,6
8,55,10,01:25.7,85703,Räikkönen,6
8,56,9,01:23.3,83280,Räikkönen,6
8,57,9,01:21.6,81571,Räikkönen,6
8,58,9,01:21.5,81491,Räikkönen,6
8,59,9,01:22.0,82002,Räikkönen,6
