driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,01:26.1,86081,Vettel,7
20,2,1,01:19.0,79041,Vettel,7
20,3,1,01:18.3,78331,Vettel,7
20,4,1,01:17.9,77916,Vettel,7
20,5,1,01:17.7,77677,Vettel,7
20,6,1,01:17.5,77474,Vettel,7
20,7,1,01:17.7,77711,Vettel,7
20,8,1,01:18.0,77968,Vettel,7
20,9,1,01:18.1,78145,Vettel,7
20,10,1,01:18.1,78111,Vettel,7
20,11,4,01:49.3,109296,Vettel,7
20,12,4,01:20.0,79971,Vettel,7
20,13,4,01:17.4,77391,Vettel,7
20,14,4,01:17.5,77538,Vettel,7
20,15,4,01:18.0,78018,Vettel,7
20,16,4,01:17.9,77864,Vettel,7
20,17,3,01:18.4,78432,Vettel,7
20,18,2,01:17.5,77537,Vettel,7
20,19,2,01:17.5,77483,Vettel,7
20,20,2,01:17.5,77503,Vettel,7
20,21,2,01:17.7,77654,Vettel,7
20,22,2,01:18.0,78004,Vettel,7
20,23,2,01:17.2,77185,Vettel,7
20,24,1,01:17.1,77143,Vettel,7
20,25,1,01:17.5,77459,Vettel,7
20,26,1,01:17.7,77678,Vettel,7
20,27,1,01:17.5,77511,Vettel,7
20,28,1,01:17.5,77531,Vettel,7
20,29,1,01:18.0,78028,Vettel,7
20,30,1,01:18.2,78202,Vettel,7
20,31,1,01:18.1,78088,Vettel,7
20,32,1,01:17.6,77597,Vettel,7
20,33,1,01:17.5,77515,Vettel,7
20,34,1,01:17.9,77870,Vettel,7
20,35,1,01:17.8,77805,Vettel,7
20,36,1,01:17.6,77598,Vettel,7
20,37,2,01:32.9,92932,Vettel,7
20,38,2,01:19.2,79181,Vettel,7
20,39,2,01:17.0,76972,Vettel,7
20,40,2,01:16.9,76875,Vettel,7
20,41,2,01:16.6,76631,Vettel,7
20,42,2,01:17.6,77572,Vettel,7
20,43,2,01:16.6,76573,Vettel,7
20,44,2,01:16.7,76673,Vettel,7
20,45,2,01:16.5,76546,Vettel,7
20,46,2,01:16.7,76727,Vettel,7
20,47,2,01:16.8,76824,Vettel,7
20,48,2,01:16.6,76636,Vettel,7
20,49,2,01:16.4,76429,Vettel,7
20,50,2,01:16.4,76398,Vettel,7
20,51,2,01:16.5,76478,Vettel,7
20,52,2,01:16.5,76504,Vettel,7
20,53,2,01:16.8,76757,Vettel,7
20,54,2,01:16.8,76776,Vettel,7
20,55,2,01:16.5,76534,Vettel,7
20,56,2,01:18.2,78191,Vettel,7
20,57,2,01:16.8,76788,Vettel,7
20,58,2,01:16.8,76779,Vettel,7
20,59,2,01:16.7,76695,Vettel,7
20,60,2,01:16.4,76433,Vettel,7
20,61,2,01:17.4,77386,Vettel,7
20,62,2,01:16.5,76538,Vettel,7
20,63,2,01:16.7,76665,Vettel,7
20,64,2,01:16.6,76648,Vettel,7
20,65,2,01:17.0,77022,Vettel,7
20,66,2,01:16.4,76379,Vettel,7
20,67,2,01:16.7,76689,Vettel,7
20,68,2,01:16.4,76422,Vettel,7
20,69,2,01:17.0,77001,Vettel,7
20,70,2,01:16.3,76297,Vettel,7
1,1,2,01:26.4,86378,Hamilton,7
1,2,2,01:20.0,80016,Hamilton,7
1,3,2,01:18.3,78330,Hamilton,7
1,4,2,01:17.8,77823,Hamilton,7
1,5,2,01:17.4,77400,Hamilton,7
1,6,2,01:17.3,77326,Hamilton,7
1,7,2,01:18.1,78135,Hamilton,7
1,8,2,01:18.1,78099,Hamilton,7
1,9,2,01:18.2,78199,Hamilton,7
1,10,2,01:18.1,78059,Hamilton,7
1,11,1,01:38.1,98077,Hamilton,7
1,12,1,01:18.5,78501,Hamilton,7
1,13,1,01:17.5,77470,Hamilton,7
1,14,1,01:17.6,77628,Hamilton,7
1,15,1,01:17.9,77908,Hamilton,7
1,16,1,01:18.0,77983,Hamilton,7
1,17,1,01:18.2,78190,Hamilton,7
1,18,1,01:18.8,78764,Hamilton,7
1,19,1,01:18.2,78195,Hamilton,7
1,20,1,01:18.5,78531,Hamilton,7
1,21,1,01:18.0,78016,Hamilton,7
1,22,1,01:19.3,79332,Hamilton,7
1,23,1,01:18.1,78099,Hamilton,7
1,24,2,01:33.5,93482,Hamilton,7
1,25,2,01:20.1,80083,Hamilton,7
1,26,2,01:17.8,77772,Hamilton,7
1,27,2,01:17.9,77913,Hamilton,7
1,28,2,01:17.2,77182,Hamilton,7
1,29,2,01:17.3,77305,Hamilton,7
1,30,2,01:17.4,77404,Hamilton,7
1,31,2,01:17.3,77292,Hamilton,7
1,32,2,01:17.3,77292,Hamilton,7
1,33,2,01:17.1,77078,Hamilton,7
1,34,2,01:17.7,77687,Hamilton,7
1,35,2,01:18.6,78551,Hamilton,7
1,36,2,01:16.8,76791,Hamilton,7
1,37,1,01:16.9,76882,Hamilton,7
1,38,1,01:17.5,77460,Hamilton,7
1,39,1,01:17.5,77498,Hamilton,7
1,40,1,01:17.5,77486,Hamilton,7
1,41,1,01:16.9,76926,Hamilton,7
1,42,1,01:16.9,76877,Hamilton,7
1,43,1,01:16.8,76836,Hamilton,7
1,44,1,01:16.8,76777,Hamilton,7
1,45,1,01:16.8,76824,Hamilton,7
1,46,1,01:17.3,77281,Hamilton,7
1,47,1,01:16.9,76855,Hamilton,7
1,48,1,01:16.9,76885,Hamilton,7
1,49,1,01:16.8,76765,Hamilton,7
1,50,1,01:16.8,76827,Hamilton,7
1,51,1,01:16.5,76518,Hamilton,7
1,52,1,01:16.7,76666,Hamilton,7
1,53,1,01:16.9,76889,Hamilton,7
1,54,1,01:16.9,76859,Hamilton,7
1,55,1,01:16.7,76668,Hamilton,7
1,56,1,01:16.7,76730,Hamilton,7
1,57,1,01:17.0,76979,Hamilton,7
1,58,1,01:16.6,76628,Hamilton,7
1,59,1,01:16.5,76493,Hamilton,7
1,60,1,01:16.8,76843,Hamilton,7
1,61,1,01:16.1,76145,Hamilton,7
1,62,1,01:16.6,76588,Hamilton,7
1,63,1,01:16.4,76396,Hamilton,7
1,64,1,01:16.6,76647,Hamilton,7
1,65,1,01:17.1,77088,Hamilton,7
1,66,1,01:16.6,76619,Hamilton,7
1,67,1,01:16.3,76328,Hamilton,7
1,68,1,01:16.0,75981,Hamilton,7
1,69,1,01:17.1,77149,Hamilton,7
1,70,1,01:18.6,78612,Hamilton,7
830,1,3,01:27.4,87405,Verstappen,7
830,2,3,01:19.8,79781,Verstappen,7
830,3,3,01:18.9,78879,Verstappen,7
830,4,3,01:18.8,78817,Verstappen,7
830,5,3,01:19.1,79125,Verstappen,7
830,6,3,01:18.7,78735,Verstappen,7
830,7,3,01:18.6,78579,Verstappen,7
830,8,3,01:18.7,78664,Verstappen,7
830,9,3,01:18.7,78732,Verstappen,7
830,10,3,01:18.5,78499,Verstappen,7
830,11,2,01:37.1,97094,Verstappen,7
830,12,2,01:18.9,78883,Verstappen,7
830,13,2,01:18.5,78467,Verstappen,7
830,14,2,01:18.4,78399,Verstappen,7
830,15,2,01:18.4,78426,Verstappen,7
830,16,2,01:18.7,78721,Verstappen,7
830,17,2,01:18.7,78713,Verstappen,7
830,18,3,01:19.3,79316,Verstappen,7
830,19,3,01:19.1,79120,Verstappen,7
830,20,8,01:35.9,95938,Verstappen,7
830,21,5,01:20.5,80478,Verstappen,7
830,22,4,01:17.8,77784,Verstappen,7
830,23,3,01:17.7,77736,Verstappen,7
830,24,3,01:17.7,77715,Verstappen,7
830,25,3,01:17.7,77661,Verstappen,7
830,26,3,01:17.7,77693,Verstappen,7
830,27,3,01:17.4,77413,Verstappen,7
830,28,3,01:17.6,77556,Verstappen,7
830,29,3,01:17.7,77660,Verstappen,7
830,30,3,01:17.7,77725,Verstappen,7
830,31,3,01:18.0,78013,Verstappen,7
830,32,3,01:18.2,78249,Verstappen,7
830,33,3,01:17.8,77805,Verstappen,7
830,34,3,01:17.9,77947,Verstappen,7
830,35,3,01:17.6,77592,Verstappen,7
830,36,3,01:17.6,77639,Verstappen,7
830,37,3,01:17.9,77949,Verstappen,7
830,38,3,01:17.9,77873,Verstappen,7
830,39,3,01:18.1,78140,Verstappen,7
830,40,3,01:18.0,78022,Verstappen,7
830,41,3,01:18.1,78055,Verstappen,7
830,42,3,01:18.1,78129,Verstappen,7
830,43,3,01:17.7,77660,Verstappen,7
830,44,3,01:17.8,77802,Verstappen,7
830,45,3,01:17.9,77913,Verstappen,7
830,46,5,01:33.5,93522,Verstappen,7
830,47,5,01:19.6,79588,Verstappen,7
830,48,5,01:16.8,76822,Verstappen,7
830,49,5,01:16.3,76319,Verstappen,7
830,50,5,01:16.8,76841,Verstappen,7
830,51,4,01:17.0,76978,Verstappen,7
830,52,4,01:16.8,76825,Verstappen,7
830,53,4,01:16.9,76881,Verstappen,7
830,54,4,01:17.0,76951,Verstappen,7
830,55,4,01:16.7,76730,Verstappen,7
830,56,4,01:16.7,76651,Verstappen,7
830,57,4,01:16.8,76762,Verstappen,7
830,58,4,01:17.0,77030,Verstappen,7
830,59,4,01:17.4,77372,Verstappen,7
830,60,4,01:17.5,77506,Verstappen,7
830,61,4,01:17.9,77868,Verstappen,7
830,62,4,01:17.2,77165,Verstappen,7
830,63,4,01:18.2,78249,Verstappen,7
830,64,4,01:18.1,78148,Verstappen,7
830,65,4,01:17.0,77001,Verstappen,7
830,66,4,01:17.0,76973,Verstappen,7
830,67,4,01:17.4,77392,Verstappen,7
830,68,4,01:17.1,77138,Verstappen,7
830,69,4,01:18.4,78413,Verstappen,7
830,70,4,01:18.7,78689,Verstappen,7
817,1,4,01:28.6,88643,Ricciardo,7
817,2,4,01:20.0,79976,Ricciardo,7
817,3,4,01:19.3,79337,Ricciardo,7
817,4,4,01:18.9,78858,Ricciardo,7
817,5,4,01:18.8,78803,Ricciardo,7
817,6,4,01:18.4,78401,Ricciardo,7
817,7,4,01:18.6,78585,Ricciardo,7
817,8,4,01:18.5,78470,Ricciardo,7
817,9,4,01:18.1,78051,Ricciardo,7
817,10,4,01:18.8,78803,Ricciardo,7
817,11,3,01:37.1,97072,Ricciardo,7
817,12,3,01:19.2,79235,Ricciardo,7
817,13,3,01:18.5,78550,Ricciardo,7
817,14,3,01:18.5,78504,Ricciardo,7
817,15,3,01:18.4,78397,Ricciardo,7
817,16,3,01:18.6,78574,Ricciardo,7
817,17,4,01:19.6,79592,Ricciardo,7
817,18,4,01:19.6,79560,Ricciardo,7
817,19,4,01:19.5,79482,Ricciardo,7
817,20,3,01:19.0,78957,Ricciardo,7
817,21,6,01:35.1,95062,Ricciardo,7
817,22,6,01:20.8,80845,Ricciardo,7
