driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
3,1,1,02:38.9,158861,Rosberg,15
3,2,1,02:54.0,174003,Rosberg,15
3,3,1,01:52.3,112299,Rosberg,15
3,4,1,01:52.5,112491,Rosberg,15
3,5,1,01:52.0,111987,Rosberg,15
3,6,1,01:51.9,111939,Rosberg,15
3,7,1,01:51.3,111284,Rosberg,15
3,8,1,01:51.0,110966,Rosberg,15
3,9,1,01:51.5,111510,Rosberg,15
3,10,1,01:51.1,111082,Rosberg,15
3,11,1,01:51.1,111123,Rosberg,15
3,12,1,01:51.0,111047,Rosberg,15
3,13,1,01:51.4,111402,Rosberg,15
3,14,1,01:51.0,111043,Rosberg,15
3,15,1,01:51.5,111471,Rosberg,15
3,16,1,01:59.2,119213,Rosberg,15
3,17,2,02:12.9,132945,Rosberg,15
3,18,1,01:51.9,111944,Rosberg,15
3,19,1,01:51.0,110987,Rosberg,15
3,20,1,01:50.8,110770,Rosberg,15
3,21,1,01:51.0,110955,Rosberg,15
3,22,1,01:51.2,111151,Rosberg,15
3,23,1,01:51.0,111013,Rosberg,15
3,24,1,01:50.8,110826,Rosberg,15
3,25,1,01:50.8,110839,Rosberg,15
3,26,1,01:51.1,111104,Rosberg,15
3,27,1,01:51.3,111266,Rosberg,15
3,28,1,01:51.5,111504,Rosberg,15
3,29,1,01:51.6,111569,Rosberg,15
3,30,1,01:51.6,111552,Rosberg,15
3,31,1,01:51.8,111823,Rosberg,15
3,32,1,01:52.2,112179,Rosberg,15
3,33,1,01:59.5,119545,Rosberg,15
3,34,2,02:11.9,131944,Rosberg,15
3,35,1,01:50.7,110749,Rosberg,15
3,36,1,01:51.6,111559,Rosberg,15
3,37,1,01:51.4,111416,Rosberg,15
3,38,1,01:50.3,110296,Rosberg,15
3,39,1,01:51.0,111020,Rosberg,15
3,40,1,01:50.9,110862,Rosberg,15
3,41,1,01:50.7,110680,Rosberg,15
3,42,1,01:50.7,110733,Rosberg,15
3,43,1,01:50.4,110399,Rosberg,15
3,44,1,01:50.8,110756,Rosberg,15
3,45,1,01:50.8,110805,Rosberg,15
3,46,1,01:50.4,110423,Rosberg,15
3,47,1,01:50.7,110694,Rosberg,15
3,48,1,01:51.3,111340,Rosberg,15
3,49,1,01:50.8,110826,Rosberg,15
3,50,1,01:50.4,110418,Rosberg,15
3,51,1,01:50.4,110364,Rosberg,15
3,52,1,01:50.4,110405,Rosberg,15
3,53,1,01:50.9,110911,Rosberg,15
3,54,1,01:51.2,111229,Rosberg,15
3,55,1,01:51.1,111082,Rosberg,15
3,56,1,01:51.1,111052,Rosberg,15
3,57,1,01:50.3,110300,Rosberg,15
3,58,1,01:50.5,110491,Rosberg,15
3,59,1,01:50.8,110790,Rosberg,15
3,60,1,01:51.2,111192,Rosberg,15
3,61,1,01:52.5,112521,Rosberg,15
817,1,2,02:40.0,159985,Ricciardo,15
817,2,2,02:53.6,173579,Ricciardo,15
817,3,2,01:53.8,113756,Ricciardo,15
817,4,2,01:52.6,112615,Ricciardo,15
817,5,2,01:51.9,111888,Ricciardo,15
817,6,2,01:51.8,111787,Ricciardo,15
817,7,2,01:52.0,112008,Ricciardo,15
817,8,2,01:51.8,111786,Ricciardo,15
817,9,2,01:51.9,111904,Ricciardo,15
817,10,2,01:51.6,111617,Ricciardo,15
