driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
828,55,15,01:41.7,101696,Ericsson,69
830,56,4,01:39.6,99585,Verstappen,69
825,55,16,01:43.2,103192,Magnussen,69
825,54,16,01:40.0,100035,Magnussen,69
825,53,16,01:39.5,99517,Magnussen,69
825,52,16,01:40.4,100441,Magnussen,69
825,51,16,01:37.9,97893,Magnussen,69
825,50,16,02:05.0,125002,Magnussen,69
825,49,16,01:43.5,103498,Magnussen,69
825,48,16,01:43.0,102963,Magnussen,69
825,47,16,01:42.9,102872,Magnussen,69
825,46,16,01:52.4,112370,Magnussen,69
825,45,13,01:46.0,106044,Magnussen,69
825,44,13,01:42.3,102309,Magnussen,69
825,43,13,01:42.3,102272,Magnussen,69
825,42,13,01:43.4,103431,Magnussen,69
825,41,13,01:42.4,102440,Magnussen,69
825,40,13,01:42.5,102455,Magnussen,69
825,39,13,01:42.0,102001,Magnussen,69
825,38,13,01:42.2,102226,Magnussen,69
825,37,13,01:42.0,102031,Magnussen,69
825,36,13,01:42.1,102063,Magnussen,69
825,35,13,01:42.9,102922,Magnussen,69
825,34,12,01:42.0,101986,Magnussen,69
825,33,12,01:42.2,102214,Magnussen,69
825,32,12,01:43.8,103817,Magnussen,69
825,31,11,01:42.0,101970,Magnussen,69
825,30,11,01:41.8,101807,Magnussen,69
825,29,12,01:41.7,101662,Magnussen,69
825,28,12,01:41.7,101680,Magnussen,69
825,27,12,01:41.7,101689,Magnussen,69
825,26,12,01:42.4,102369,Magnussen,69
825,25,13,01:42.2,102171,Magnussen,69
825,24,13,01:42.5,102482,Magnussen,69
825,23,14,01:42.3,102282,Magnussen,69
825,22,14,01:41.8,101822,Magnussen,69
825,21,15,01:42.2,102176,Magnussen,69
825,20,15,01:42.6,102590,Magnussen,69
825,19,15,01:43.9,103905,Magnussen,69
825,18,14,01:42.9,102875,Magnussen,69
825,17,14,01:42.7,102742,Magnussen,69
825,16,15,01:43.3,103264,Magnussen,69
825,15,15,01:43.2,103157,Magnussen,69
825,14,16,01:42.5,102490,Magnussen,69
825,13,16,01:43.3,103315,Magnussen,69
825,12,16,01:42.6,102597,Magnussen,69
825,11,16,01:43.1,103062,Magnussen,69
825,10,17,01:42.9,102898,Magnussen,69
825,9,17,01:42.8,102793,Magnussen,69
825,8,18,01:42.7,102721,Magnussen,69
825,7,18,01:42.8,102798,Magnussen,69
825,6,18,01:42.7,102651,Magnussen,69
825,5,18,01:42.9,102861,Magnussen,69
825,4,18,01:42.3,102303,Magnussen,69
825,3,20,01:42.0,101980,Magnussen,69
825,2,20,02:03.2,123208,Magnussen,69
825,1,18,01:54.4,114387,Magnussen,69
154,55,14,01:47.5,107537,Grosjean,69
154,54,14,01:49.3,109296,Grosjean,69
154,53,11,01:42.8,102836,Grosjean,69
154,52,11,01:42.6,102637,Grosjean,69
154,51,11,01:43.0,102959,Grosjean,69
154,50,11,01:46.7,106677,Grosjean,69
154,49,11,01:41.9,101855,Grosjean,69
154,48,11,01:42.2,102204,Grosjean,69
154,47,11,01:41.9,101942,Grosjean,69
154,46,11,01:41.8,101752,Grosjean,69
154,45,11,01:44.3,104280,Grosjean,69
154,44,11,01:42.6,102587,Grosjean,69
154,43,11,01:42.0,101981,Grosjean,69
154,42,11,01:42.0,101974,Grosjean,69
154,41,11,01:41.6,101576,Grosjean,69
154,40,11,01:41.8,101789,Grosjean,69
154,39,11,01:43.3,103340,Grosjean,69
154,38,10,01:42.8,102806,Grosjean,69
154,37,10,01:41.4,101375,Grosjean,69
154,36,10,01:41.3,101259,Grosjean,69
154,35,10,01:41.5,101538,Grosjean,69
154,34,10,01:41.4,101391,Grosjean,69
154,33,10,01:41.8,101783,Grosjean,69
154,32,10,01:41.5,101548,Grosjean,69
154,31,10,01:42.2,102165,Grosjean,69
