driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
830,1,1,01:23.0,83044,Verstappen,32
830,2,1,01:21.0,80959,Verstappen,32
830,3,1,01:21.1,81091,Verstappen,32
830,4,1,01:21.2,81162,Verstappen,32
830,5,1,01:38.7,98701,Verstappen,32
830,6,1,01:23.5,83465,Verstappen,32
830,7,1,01:21.2,81177,Verstappen,32
830,8,1,01:20.9,80923,Verstappen,32
830,9,1,01:21.2,81249,Verstappen,32
830,10,1,01:21.6,81634,Verstappen,32
830,11,1,01:22.3,82291,Verstappen,32
830,12,1,01:22.7,82692,Verstappen,32
830,13,1,01:25.7,85704,Verstappen,32
830,14,3,01:40.9,100948,Verstappen,32
830,15,2,01:20.3,80299,Verstappen,32
830,16,2,01:20.9,80919,Verstappen,32
830,17,2,01:20.7,80660,Verstappen,32
830,18,1,01:20.4,80431,Verstappen,32
830,19,1,01:21.4,81373,Verstappen,32
830,20,1,01:21.6,81607,Verstappen,32
830,21,1,01:21.4,81403,Verstappen,32
830,22,1,01:21.3,81265,Verstappen,32
830,23,1,01:21.2,81170,Verstappen,32
830,24,1,01:21.6,81612,Verstappen,32
830,25,1,01:22.3,82346,Verstappen,32
830,26,1,01:21.1,81065,Verstappen,32
830,27,1,01:20.9,80870,Verstappen,32
830,28,1,01:20.9,80898,Verstappen,32
830,29,1,01:21.7,81680,Verstappen,32
830,30,1,01:22.1,82083,Verstappen,32
830,31,1,01:44.7,104739,Verstappen,32
830,32,1,01:48.2,108215,Verstappen,32
830,33,1,01:22.9,82946,Verstappen,32
830,34,1,01:21.5,81459,Verstappen,32
830,35,1,01:21.5,81495,Verstappen,32
830,36,1,01:21.1,81137,Verstappen,32
830,37,1,01:21.7,81655,Verstappen,32
830,38,1,01:21.3,81316,Verstappen,32
830,39,1,01:20.6,80641,Verstappen,32
830,40,1,01:21.0,81025,Verstappen,32
830,41,1,01:20.9,80851,Verstappen,32
830,42,1,01:20.8,80768,Verstappen,32
830,43,1,01:20.9,80863,Verstappen,32
830,44,1,01:20.4,80386,Verstappen,32
830,45,1,01:20.6,80572,Verstappen,32
830,46,1,01:21.0,81023,Verstappen,32
830,47,1,01:21.4,81391,Verstappen,32
830,48,1,01:24.3,84301,Verstappen,32
830,49,1,01:38.1,98058,Verstappen,32
830,50,1,01:20.2,80173,Verstappen,32
830,51,1,01:20.7,80690,Verstappen,32
830,52,1,01:20.4,80434,Verstappen,32
830,53,1,01:21.3,81256,Verstappen,32
830,54,1,01:21.7,81657,Verstappen,32
830,55,1,01:19.7,79738,Verstappen,32
830,56,1,01:20.8,80786,Verstappen,32
830,57,1,01:19.6,79564,Verstappen,32
830,58,1,01:19.7,79747,Verstappen,32
830,59,1,01:19.7,79749,Verstappen,32
830,60,1,01:19.8,79795,Verstappen,32
