driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
822,1,1,01:33.8,93813,Bottas,1
822,2,1,01:29.7,89662,Bottas,1
822,3,1,01:29.2,89246,Bottas,1
822,4,1,01:28.6,88641,Bottas,1
822,5,1,01:28.8,88759,Bottas,1
822,6,1,01:29.0,89034,Bottas,1
822,7,1,01:28.8,88783,Bottas,1
822,8,1,01:28.7,88651,Bottas,1
822,9,1,01:28.7,88664,Bottas,1
822,10,1,01:29.0,89028,Bottas,1
822,11,1,01:29.0,88985,Bottas,1
822,12,1,01:28.6,88633,Bottas,1
822,13,1,01:28.6,88626,Bottas,1
822,14,1,01:28.3,88300,Bottas,1
822,15,1,01:28.2,88217,Bottas,1
822,16,1,01:28.2,88238,Bottas,1
822,17,1,01:28.4,88377,Bottas,1
822,18,1,01:28.2,88203,Bottas,1
822,19,1,01:27.8,87836,Bottas,1
822,20,1,01:27.8,87832,Bottas,1
822,21,1,01:27.8,87815,Bottas,1
822,22,1,01:28.5,88531,Bottas,1
822,23,2,01:46.1,106050,Bottas,1
822,24,2,01:33.8,93805,Bottas,1
822,25,1,01:27.3,87338,Bottas,1
822,26,1,01:27.5,87450,Bottas,1
822,27,1,01:27.8,87757,Bottas,1
822,28,1,01:27.5,87511,Bottas,1
822,29,1,01:27.7,87659,Bottas,1
822,30,1,01:27.5,87537,Bottas,1
822,31,1,01:27.2,87235,Bottas,1
822,32,1,01:27.3,87266,Bottas,1
822,33,1,01:27.4,87362,Bottas,1
822,34,1,01:27.9,87927,Bottas,1
822,35,1,01:27.6,87610,Bottas,1
822,36,1,01:27.5,87465,Bottas,1
822,37,1,01:27.1,87108,Bottas,1
822,38,1,01:27.4,87358,Bottas,1
822,39,1,01:27.7,87735,Bottas,1
822,40,1,01:27.3,87273,Bottas,1
822,41,1,01:27.0,87043,Bottas,1
822,42,1,01:26.7,86739,Bottas,1
822,43,1,01:27.4,87397,Bottas,1
822,44,1,01:27.5,87540,Bottas,1
822,45,1,01:27.6,87580,Bottas,1
822,46,1,01:27.5,87491,Bottas,1
822,47,1,01:27.3,87323,Bottas,1
822,48,1,01:27.2,87184,Bottas,1
822,49,1,01:27.1,87071,Bottas,1
822,50,1,01:27.2,87238,Bottas,1
822,51,1,01:28.1,88090,Bottas,1
822,52,1,01:29.2,89226,Bottas,1
822,53,1,01:27.2,87172,Bottas,1
822,54,1,01:27.6,87608,Bottas,1
822,55,1,01:26.8,86830,Bottas,1
822,56,1,01:28.7,88732,Bottas,1
822,57,1,01:25.6,85580,Bottas,1
822,58,1,01:28.2,88161,Bottas,1
1,1,2,01:34.9,94887,Hamilton,1
1,2,2,01:29.8,89759,Hamilton,1
1,3,2,01:29.3,89332,Hamilton,1
1,4,2,01:28.8,88804,Hamilton,1
1,5,2,01:28.9,88914,Hamilton,1
1,6,2,01:29.5,89475,Hamilton,1
1,7,2,01:29.2,89150,Hamilton,1
1,8,2,01:29.2,89208,Hamilton,1
1,9,2,01:29.2,89170,Hamilton,1
1,10,2,01:29.3,89341,Hamilton,1
1,11,2,01:28.8,88784,Hamilton,1
1,12,2,01:28.7,88733,Hamilton,1
1,13,2,01:28.6,88616,Hamilton,1
1,14,2,01:28.5,88495,Hamilton,1
1,15,4,01:46.1,106079,Hamilton,1
1,16,4,01:35.6,95642,Hamilton,1
1,17,4,01:28.8,88801,Hamilton,1
1,18,4,01:28.7,88667,Hamilton,1
1,19,4,01:29.4,89367,Hamilton,1
1,20,4,01:29.3,89334,Hamilton,1
1,21,4,01:28.2,88191,Hamilton,1
1,22,4,01:28.7,88666,Hamilton,1
1,23,4,01:28.8,88754,Hamilton,1
1,24,4,01:28.5,88496,Hamilton,1
1,25,3,01:28.6,88634,Hamilton,1
1,26,3,01:28.0,87982,Hamilton,1
1,27,3,01:28.7,88674,Hamilton,1
