driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
20,1,1,02:05.2,125203,Vettel,71
20,2,1,02:41.8,161801,Vettel,71
20,3,1,02:42.6,162624,Vettel,71
20,4,1,01:39.8,99750,Vettel,71
20,5,1,01:39.6,99593,Vettel,71
20,6,1,01:39.4,99350,Vettel,71
20,7,1,01:39.4,99396,Vettel,71
20,8,1,01:39.2,99221,Vettel,71
20,9,1,01:39.0,99016,Vettel,71
20,10,1,01:39.0,99047,Vettel,71
20,11,1,01:38.8,98844,Vettel,71
20,12,1,01:38.8,98820,Vettel,71
20,13,1,01:38.5,98543,Vettel,71
20,14,1,01:38.5,98534,Vettel,71
20,15,1,01:38.5,98538,Vettel,71
20,16,1,01:38.2,98245,Vettel,71
20,17,1,01:38.7,98657,Vettel,71
20,18,1,01:38.4,98394,Vettel,71
20,19,1,01:38.5,98536,Vettel,71
20,20,1,01:38.5,98464,Vettel,71
20,21,1,01:38.9,98932,Vettel,71
20,22,1,01:39.2,99247,Vettel,71
20,23,1,01:38.8,98843,Vettel,71
20,24,1,01:38.8,98776,Vettel,71
20,25,1,01:39.0,99047,Vettel,71
20,26,2,01:43.9,103909,Vettel,71
844,1,2,02:06.8,126802,Leclerc,71
844,2,2,02:41.5,161475,Leclerc,71
844,3,2,02:42.2,162239,Leclerc,71
844,4,2,01:40.0,100021,Leclerc,71
844,5,2,01:39.8,99784,Leclerc,71
844,6,2,01:39.4,99376,Leclerc,71
844,7,2,01:39.4,99392,Leclerc,71
844,8,2,01:39.5,99535,Leclerc,71
844,9,2,01:39.3,99279,Leclerc,71
844,10,2,01:39.3,99262,Leclerc,71
844,11,2,01:39.4,99406,Leclerc,71
844,12,2,01:39.3,99253,Leclerc,71
844,13,2,01:38.9,98868,Leclerc,71
844,14,2,01:38.7,98722,Leclerc,71
844,15,2,01:38.5,98525,Leclerc,71
844,16,2,01:38.6,98572,Leclerc,71
844,17,2,01:38.5,98532,Leclerc,71
844,18,2,01:38.4,98441,Leclerc,71
844,19,2,01:38.8,98769,Leclerc,71
844,20,2,01:38.7,98710,Leclerc,71
844,21,2,01:38.8,98776,Leclerc,71
844,22,3,01:44.3,104260,Leclerc,71
844,23,4,01:57.8,117786,Leclerc,71
844,24,4,01:37.7,97705,Leclerc,71
844,25,4,01:37.4,97354,Leclerc,71
844,26,4,01:37.3,97321,Leclerc,71
844,27,3,01:38.1,98060,Leclerc,71
844,28,3,02:07.6,127595,Leclerc,71
844,29,2,01:59.5,119454,Leclerc,71
844,30,3,02:37.2,157210,Leclerc,71
844,31,3,02:44.1,164087,Leclerc,71
844,32,3,02:50.3,170259,Leclerc,71
844,33,3,01:38.2,98232,Leclerc,71
844,34,3,01:37.8,97810,Leclerc,71
844,35,3,01:37.7,97696,Leclerc,71
844,36,3,01:37.7,97740,Leclerc,71
844,37,3,01:37.6,97553,Leclerc,71
844,38,3,01:37.2,97189,Leclerc,71
844,39,3,01:37.2,97197,Leclerc,71
844,40,3,01:37.3,97331,Leclerc,71
844,41,3,01:37.4,97364,Leclerc,71
844,42,3,01:37.1,97111,Leclerc,71
844,43,3,01:36.9,96920,Leclerc,71
844,44,3,01:37.0,96971,Leclerc,71
844,45,3,01:36.9,96932,Leclerc,71
844,46,3,01:36.6,96587,Leclerc,71
844,47,3,01:36.4,96413,Leclerc,71
844,48,3,01:36.8,96782,Leclerc,71
844,49,3,01:36.8,96757,Leclerc,71
844,50,3,01:36.8,96754,Leclerc,71
844,51,3,01:36.9,96895,Leclerc,71
844,52,3,01:36.2,96193,Leclerc,71
844,53,3,01:36.9,96947,Leclerc,71
1,1,3,02:09.2,129204,Hamilton,71
1,2,3,02:39.9,159901,Hamilton,71
1,3,3,02:42.1,162092,Hamilton,71
1,4,3,01:41.1,101051,Hamilton,71
1,5,3,01:40.1,100125,Hamilton,71
1,6,3,01:40.0,99968,Hamilton,71
1,7,3,01:39.6,99581,Hamilton,71
1,8,3,01:39.4,99382,Hamilton,71
1,9,3,01:39.2,99191,Hamilton,71
1,10,3,01:40.3,100325,Hamilton,71
1,11,3,01:39.3,99335,Hamilton,71
1,12,3,01:39.2,99246,Hamilton,71
1,13,3,01:38.6,98630,Hamilton,71
1,14,3,01:38.5,98533,Hamilton,71
1,15,3,01:38.3,98319,Hamilton,71
1,16,3,01:38.5,98501,Hamilton,71
1,17,3,01:39.0,98992,Hamilton,71
1,18,3,01:38.4,98384,Hamilton,71
1,19,3,01:38.5,98491,Hamilton,71
1,20,3,01:38.5,98500,Hamilton,71
1,21,3,01:38.5,98541,Hamilton,71
1,22,2,01:38.7,98743,Hamilton,71
1,23,2,01:38.8,98836,Hamilton,71
1,24,2,01:38.4,98361,Hamilton,71
1,25,2,01:38.3,98263,Hamilton,71
1,26,1,01:38.4,98377,Hamilton,71
1,27,1,01:38.4,98410,Hamilton,71
1,28,1,02:01.6,121608,Hamilton,71
1,29,1,02:20.2,140177,Hamilton,71
1,30,1,02:37.3,157304,Hamilton,71
1,31,1,02:46.4,166367,Hamilton,71
1,32,1,02:50.4,170449,Hamilton,71
1,33,1,01:37.6,97638,Hamilton,71
1,34,1,01:37.7,97674,Hamilton,71
1,35,1,01:37.2,97150,Hamilton,71
1,36,1,01:37.1,97118,Hamilton,71
1,37,1,01:36.6,96639,Hamilton,71
1,38,1,01:37.3,97342,Hamilton,71
1,39,1,01:37.0,97050,Hamilton,71
1,40,1,01:37.0,97047,Hamilton,71
1,41,1,01:36.8,96765,Hamilton,71
1,42,1,01:36.5,96467,Hamilton,71
1,43,1,01:37.2,97207,Hamilton,71
1,44,1,01:36.7,96683,Hamilton,71
1,45,1,01:36.8,96793,Hamilton,71
1,46,1,01:36.3,96312,Hamilton,71
1,47,1,01:36.4,96392,Hamilton,71
1,48,1,01:36.4,96373,Hamilton,71
1,49,1,01:37.1,97070,Hamilton,71
1,50,1,01:37.1,97096,Hamilton,71
1,51,1,01:35.8,95761,Hamilton,71
1,52,1,01:37.0,96951,Hamilton,71
1,53,1,01:38.3,98277,Hamilton,71
832,1,4,02:11.4,131367,Sainz,71
832,2,4,02:39.1,159120,Sainz,71
832,3,4,02:41.2,161188,Sainz,71
832,4,4,01:42.1,102085,Sainz,71
832,5,4,01:41.7,101694,Sainz,71
832,6,4,01:41.7,101696,Sainz,71
832,7,5,01:43.3,103251,Sainz,71
832,8,5,01:41.4,101446,Sainz,71
832,9,5,01:41.2,101188,Sainz,71
832,10,5,01:41.1,101133,Sainz,71
832,11,5,01:41.3,101281,Sainz,71
832,12,5,01:41.1,101145,Sainz,71
832,13,5,01:40.9,100862,Sainz,71
832,14,5,01:41.0,101028,Sainz,71
832,15,5,01:40.9,100882,Sainz,71
832,16,5,01:40.8,100789,Sainz,71
832,17,6,01:42.5,102512,Sainz,71
832,18,6,01:40.7,100697,Sainz,71
832,19,6,01:40.4,100430,Sainz,71
832,20,6,01:40.4,100364,Sainz,71
832,21,6,01:45.1,105094,Sainz,71
832,22,12,02:00.8,120836,Sainz,71
832,23,12,01:40.2,100222,Sainz,71
832,24,11,01:41.7,101680,Sainz,71
832,25,10,01:40.2,100158,Sainz,71
832,26,10,01:40.3,100313,Sainz,71
832,27,8,01:50.0,109979,Sainz,71
832,28,6,02:09.2,129169,Sainz,71
832,29,6,02:10.9,130899,Sainz,71
832,30,5,02:16.7,136661,Sainz,71
832,31,5,01:49.1,109105,Sainz,71
832,32,5,02:48.2,168169,Sainz,71
832,33,5,01:40.2,100228,Sainz,71
832,34,5,01:39.6,99559,Sainz,71
832,35,5,01:39.3,99263,Sainz,71
832,36,5,01:39.3,99309,Sainz,71
832,37,5,01:39.3,99299,Sainz,71
832,38,5,01:39.3,99324,Sainz,71
832,39,5,01:39.1,99089,Sainz,71
832,40,5,01:39.0,98959,Sainz,71
832,41,5,01:38.8,98798,Sainz,71
832,42,5,01:38.8,98792,Sainz,71
832,43,5,01:38.7,98663,Sainz,71
832,44,5,01:38.5,98522,Sainz,71
832,45,5,01:38.6,98607,Sainz,71
832,46,5,01:38.7,98677,Sainz,71
832,47,5,01:38.4,98389,Sainz,71
832,48,6,01:41.1,101064,Sainz,71
832,49,6,01:38.6,98587,Sainz,71
832,50,6,01:38.4,98425,Sainz,71
832,51,6,01:38.3,98345,Sainz,71
832,52,6,01:38.5,98519,Sainz,71
832,53,6,01:38.0,98020,Sainz,71
822,1,5,02:12.2,132231,Bottas,71
822,2,5,02:39.7,159655,Bottas,71
822,3,5,02:40.4,160391,Bottas,71
822,4,5,01:42.4,102444,Bottas,71
822,5,5,01:41.7,101673,Bottas,71
822,6,5,01:41.5,101494,Bottas,71
822,7,4,01:40.5,100531,Bottas,71
822,8,4,01:39.8,99838,Bottas,71
822,9,4,01:39.3,99282,Bottas,71
822,10,4,01:39.6,99632,Bottas,71
822,11,4,01:39.8,99795,Bottas,71
822,12,4,01:39.5,99527,Bottas,71
822,13,4,01:38.8,98806,Bottas,71
822,14,4,01:38.9,98903,Bottas,71
822,15,4,01:39.0,98962,Bottas,71
822,16,4,01:38.8,98785,Bottas,71
822,17,4,01:39.2,99207,Bottas,71
822,18,4,01:39.7,99698,Bottas,71
822,19,4,01:39.3,99271,Bottas,71
822,20,4,01:39.3,99314,Bottas,71
822,21,4,01:38.8,98843,Bottas,71
822,22,4,01:38.8,98842,Bottas,71
822,23,3,01:38.8,98848,Bottas,71
822,24,3,01:38.5,98453,Bottas,71
822,25,3,01:38.5,98458,Bottas,71
822,26,3,01:38.9,98875,Bottas,71
822,27,2,01:38.6,98597,Bottas,71
822,28,2,02:08.0,128041,Bottas,71
822,29,3,02:17.6,137592,Bottas,71
822,30,2,02:23.4,143364,Bottas,71
822,31,2,02:44.2,164230,Bottas,71
822,32,2,02:50.7,170652,Bottas,71
822,33,2,01:38.1,98110,Bottas,71
822,34,2,01:37.7,97695,Bottas,71
822,35,2,01:37.7,97655,Bottas,71
822,36,2,01:37.3,97304,Bottas,71
822,37,2,01:37.5,97533,Bottas,71
822,38,2,01:37.4,97407,Bottas,71
822,39,2,01:37.3,97324,Bottas,71
822,40,2,01:37.3,97344,Bottas,71
822,41,2,01:37.1,97124,Bottas,71
822,42,2,01:37.0,97030,Bottas,71
822,43,2,01:36.9,96906,Bottas,71
822,44,2,01:36.8,96830,Bottas,71
822,45,2,01:36.8,96777,Bottas,71
822,46,2,01:36.7,96725,Bottas,71
822,47,2,01:36.8,96768,Bottas,71
822,48,2,01:36.5,96513,Bottas,71
822,49,2,01:36.4,96407,Bottas,71
822,50,2,01:36.3,96316,Bottas,71
822,51,2,01:36.8,96801,Bottas,71
822,52,2,01:36.8,96784,Bottas,71
822,53,2,01:37.2,97234,Bottas,71
846,1,6,02:14.1,134148,Norris,71
846,2,6,02:39.5,159464,Norris,71
846,3,6,02:39.1,159062,Norris,71
846,4,6,01:43.3,103348,Norris,71
846,5,6,01:42.4,102437,Norris,71
846,6,6,01:42.0,102010,Norris,71
846,7,6,01:42.3,102290,Norris,71
846,8,6,01:42.0,101989,Norris,71
846,9,6,01:41.5,101520,Norris,71
846,10,6,01:41.4,101377,Norris,71
846,11,6,01:41.2,101187,Norris,71
846,12,7,01:43.3,103258,Norris,71
846,13,7,01:41.3,101256,Norris,71
846,14,7,01:40.9,100896,Norris,71
846,15,7,01:41.0,100954,Norris,71
846,16,7,01:40.8,100789,Norris,71
