driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
822,1,1,01:33.5,93510,Bottas,20
822,2,1,01:32.5,92480,Bottas,20
822,3,1,01:32.2,92211,Bottas,20
822,4,1,01:32.2,92242,Bottas,20
822,5,1,01:32.1,92063,Bottas,20
822,6,1,01:32.0,91980,Bottas,20
822,7,1,01:32.0,92019,Bottas,20
822,8,1,01:31.9,91884,Bottas,20
822,9,1,01:32.1,92125,Bottas,20
822,10,1,01:31.9,91886,Bottas,20
822,11,1,01:31.9,91889,Bottas,20
822,12,1,01:32.3,92325,Bottas,20
822,13,3,01:39.5,99536,Bottas,20
822,14,4,01:51.7,111656,Bottas,20
822,15,3,01:32.0,91995,Bottas,20
822,16,3,01:51.1,111089,Bottas,20
822,17,5,01:42.8,102801,Bottas,20
822,18,12,01:56.1,116086,Bottas,20
1,1,2,01:35.0,95032,Hamilton,20
1,2,2,01:32.4,92410,Hamilton,20
1,3,2,01:32.2,92165,Hamilton,20
1,4,2,01:32.5,92543,Hamilton,20
1,5,2,01:32.2,92153,Hamilton,20
1,6,2,01:32.0,91951,Hamilton,20
1,7,2,01:32.1,92101,Hamilton,20
1,8,2,01:31.6,91622,Hamilton,20
1,9,2,01:31.8,91835,Hamilton,20
1,10,2,01:32.0,91996,Hamilton,20
1,11,2,01:31.9,91853,Hamilton,20
1,12,2,01:32.1,92072,Hamilton,20
1,13,1,01:31.7,91704,Hamilton,20
1,14,1,01:31.8,91781,Hamilton,20
1,15,1,01:31.7,91740,Hamilton,20
1,16,1,01:43.8,103842,Hamilton,20
1,17,1,01:56.5,116488,Hamilton,20
1,18,1,01:30.8,90795,Hamilton,20
1,19,1,01:30.5,90454,Hamilton,20
1,20,1,01:30.6,90566,Hamilton,20
1,21,1,01:30.1,90109,Hamilton,20
1,22,1,01:30.4,90424,Hamilton,20
1,23,1,01:30.4,90358,Hamilton,20
1,24,1,01:30.5,90522,Hamilton,20
1,25,1,01:30.6,90574,Hamilton,20
1,26,1,01:30.5,90510,Hamilton,20
1,27,1,01:30.8,90753,Hamilton,20
1,28,1,01:31.2,91157,Hamilton,20
1,29,1,01:31.0,90980,Hamilton,20
1,30,1,01:30.7,90701,Hamilton,20
1,31,1,01:31.1,91095,Hamilton,20
1,32,1,01:31.6,91550,Hamilton,20
1,33,1,01:31.1,91108,Hamilton,20
1,34,1,01:30.7,90704,Hamilton,20
1,35,1,01:30.7,90701,Hamilton,20
1,36,1,01:30.8,90841,Hamilton,20
1,37,1,01:31.0,91027,Hamilton,20
1,38,1,01:31.0,91023,Hamilton,20
1,39,1,01:30.7,90651,Hamilton,20
1,40,1,01:30.5,90461,Hamilton,20
1,41,1,01:30.7,90704,Hamilton,20
1,42,1,01:30.7,90667,Hamilton,20
1,43,1,01:30.5,90463,Hamilton,20
1,44,1,01:30.4,90448,Hamilton,20
1,45,1,01:46.7,106683,Hamilton,20
1,46,1,02:40.7,160745,Hamilton,20
1,47,1,02:41.6,161592,Hamilton,20
1,48,1,02:19.1,139140,Hamilton,20
1,49,1,02:30.3,150336,Hamilton,20
1,50,1,01:30.4,90442,Hamilton,20
1,51,1,01:28.5,88487,Hamilton,20
1,52,1,01:28.3,88335,Hamilton,20
1,53,1,01:28.3,88257,Hamilton,20
1,54,1,01:29.3,89293,Hamilton,20
1,55,1,01:29.0,89047,Hamilton,20
1,56,1,01:29.2,89226,Hamilton,20
1,57,1,01:29.2,89241,Hamilton,20
1,58,1,01:28.1,88145,Hamilton,20
1,59,1,01:29.1,89067,Hamilton,20
1,60,1,01:29.0,88971,Hamilton,20
830,1,3,01:35.8,95799,Verstappen,20
830,2,3,01:32.6,92647,Verstappen,20
830,3,3,01:32.6,92588,Verstappen,20
830,4,3,01:32.5,92525,Verstappen,20
830,5,3,01:32.3,92335,Verstappen,20
830,6,3,01:32.1,92108,Verstappen,20
830,7,3,01:31.9,91938,Verstappen,20
830,8,3,01:31.9,91933,Verstappen,20
830,9,3,01:32.0,92009,Verstappen,20
830,10,3,01:32.3,92264,Verstappen,20
830,11,3,01:31.9,91927,Verstappen,20
830,12,3,01:31.8,91822,Verstappen,20
830,13,2,01:33.1,93148,Verstappen,20
830,14,2,01:32.4,92446,Verstappen,20
830,15,2,01:31.8,91817,Verstappen,20
830,16,2,01:44.8,104836,Verstappen,20
830,17,2,01:52.8,112775,Verstappen,20
830,18,2,01:31.1,91051,Verstappen,20
830,19,2,01:31.2,91150,Verstappen,20
830,20,2,01:30.4,90439,Verstappen,20
830,21,2,01:30.5,90516,Verstappen,20
830,22,2,01:30.8,90777,Verstappen,20
830,23,2,01:30.6,90627,Verstappen,20
830,24,2,01:30.7,90746,Verstappen,20
830,25,2,01:30.9,90939,Verstappen,20
830,26,2,01:30.8,90817,Verstappen,20
830,27,2,01:30.8,90836,Verstappen,20
830,28,2,01:31.1,91086,Verstappen,20
830,29,2,01:31.3,91324,Verstappen,20
830,30,2,01:31.6,91569,Verstappen,20
830,31,2,01:31.6,91565,Verstappen,20
830,32,2,01:30.9,90923,Verstappen,20
830,33,2,01:31.1,91096,Verstappen,20
830,34,2,01:31.8,91836,Verstappen,20
830,35,2,01:32.0,92035,Verstappen,20
830,36,2,01:31.2,91172,Verstappen,20
830,37,2,01:30.9,90919,Verstappen,20
830,38,2,01:31.3,91267,Verstappen,20
830,39,2,01:31.1,91100,Verstappen,20
830,40,2,01:31.0,91006,Verstappen,20
830,41,2,01:31.1,91107,Verstappen,20
830,42,2,01:31.1,91110,Verstappen,20
830,43,2,01:30.8,90825,Verstappen,20
830,44,2,01:31.0,90988,Verstappen,20
830,45,2,01:47.8,107798,Verstappen,20
830,46,2,02:31.7,151729,Verstappen,20
830,47,2,02:39.5,159467,Verstappen,20
830,48,2,02:19.1,139129,Verstappen,20
830,49,2,02:30.3,150327,Verstappen,20
830,50,2,01:31.0,91024,Verstappen,20
830,51,2,01:28.7,88744,Verstappen,20
830,52,2,01:29.1,89058,Verstappen,20
830,53,2,01:28.9,88854,Verstappen,20
830,54,2,01:29.2,89235,Verstappen,20
