driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
847,1,1,01:08.9,68922,Russell,3
847,2,1,01:38.4,98421,Russell,3
847,3,1,01:29.8,89830,Russell,3
847,4,1,01:32.3,92256,Russell,3
847,5,1,01:30.1,90133,Russell,3
847,6,1,01:28.7,88698,Russell,3
847,7,1,00:58.2,58160,Russell,3
847,8,1,00:58.2,58236,Russell,3
847,9,1,00:58.1,58059,Russell,3
847,10,1,00:58.3,58329,Russell,3
847,11,1,00:58.3,58252,Russell,3
847,12,1,00:58.2,58223,Russell,3
847,13,1,00:58.2,58210,Russell,3
847,14,1,00:58.3,58258,Russell,3
847,15,1,00:58.4,58351,Russell,3
847,16,1,00:58.0,58008,Russell,3
847,17,1,00:58.2,58169,Russell,3
847,18,1,00:58.0,58034,Russell,3
847,19,1,00:58.3,58315,Russell,3
847,20,1,00:58.1,58091,Russell,3
847,21,1,00:58.1,58092,Russell,3
847,22,1,00:58.3,58256,Russell,3
847,23,1,00:58.0,57955,Russell,3
847,24,1,00:58.2,58198,Russell,3
847,25,1,00:58.0,58021,Russell,3
847,26,1,00:58.0,58007,Russell,3
847,27,1,00:58.0,57975,Russell,3
847,28,1,00:58.4,58367,Russell,3
847,29,1,00:58.1,58052,Russell,3
847,30,1,00:58.1,58052,Russell,3
847,31,1,00:58.3,58260,Russell,3
847,32,1,00:58.2,58231,Russell,3
847,33,1,00:58.4,58433,Russell,3
847,34,1,00:58.2,58225,Russell,3
847,35,1,00:58.3,58253,Russell,3
847,36,1,00:58.6,58554,Russell,3
847,37,1,00:58.3,58309,Russell,3
847,38,1,00:58.2,58240,Russell,3
847,39,1,00:58.3,58267,Russell,3
847,40,1,00:58.3,58280,Russell,3
847,41,1,00:58.1,58133,Russell,3
847,42,1,00:58.2,58165,Russell,3
847,43,1,00:58.2,58164,Russell,3
847,44,1,00:58.3,58324,Russell,3
847,45,1,01:00.5,60531,Russell,3
847,46,2,01:18.8,78771,Russell,3
847,47,2,00:56.6,56644,Russell,3
847,48,2,00:56.7,56731,Russell,3
847,49,2,00:57.1,57130,Russell,3
847,50,1,00:57.1,57112,Russell,3
847,51,1,00:56.8,56831,Russell,3
847,52,1,00:57.1,57112,Russell,3
847,53,1,00:57.1,57076,Russell,3
847,54,1,00:57.0,57048,Russell,3
847,55,1,01:05.3,65262,Russell,3
847,56,1,01:04.7,64719,Russell,3
847,57,1,00:57.0,56977,Russell,3
847,58,1,00:56.9,56865,Russell,3
847,59,1,00:57.0,56975,Russell,3
847,60,1,00:56.9,56910,Russell,3
847,61,1,00:57.2,57158,Russell,3
847,62,1,01:19.5,79475,Russell,3
847,63,1,01:52.1,112067,Russell,3
847,64,5,01:42.8,102814,Russell,3
847,65,5,01:28.2,88181,Russell,3
847,66,5,01:34.3,94343,Russell,3
847,67,5,01:26.9,86885,Russell,3
847,68,5,01:19.9,79862,Russell,3
847,69,5,00:58.2,58237,Russell,3
847,70,4,00:57.5,57533,Russell,3
847,71,4,00:57.0,56961,Russell,3
847,72,3,00:56.6,56563,Russell,3
847,73,2,00:56.5,56514,Russell,3
847,74,2,00:56.7,56710,Russell,3
847,75,2,00:56.4,56393,Russell,3
847,76,2,00:56.4,56442,Russell,3
847,77,2,00:56.9,56862,Russell,3
847,78,2,00:59.1,59091,Russell,3
847,79,14,01:16.8,76832,Russell,3
