driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
822,1,1,01:46.8,106834,Bottas,76
822,2,1,02:28.6,148572,Bottas,76
822,3,1,02:17.1,137078,Bottas,76
822,4,1,02:13.5,133468,Bottas,76
822,5,1,02:14.2,134247,Bottas,76
822,6,1,02:22.9,142886,Bottas,76
822,7,1,02:01.3,121252,Bottas,76
822,8,1,02:48.1,168101,Bottas,76
822,9,1,26:57.7,1617695,Bottas,76
822,10,2,01:24.9,84937,Bottas,76
822,11,2,01:22.4,82435,Bottas,76
822,12,2,01:23.3,83268,Bottas,76
822,13,2,01:22.8,82798,Bottas,76
822,14,2,01:23.1,83064,Bottas,76
822,15,2,01:23.2,83201,Bottas,76
822,16,2,01:22.9,82896,Bottas,76
822,17,2,01:23.4,83450,Bottas,76
822,18,2,01:23.3,83282,Bottas,76
822,19,2,01:23.1,83136,Bottas,76
822,20,2,01:23.2,83205,Bottas,76
822,21,2,01:23.2,83162,Bottas,76
822,22,2,01:23.3,83331,Bottas,76
822,23,2,01:23.2,83231,Bottas,76
822,24,2,01:23.2,83229,Bottas,76
822,25,2,01:23.2,83172,Bottas,76
822,26,2,01:23.8,83752,Bottas,76
822,27,2,01:23.4,83380,Bottas,76
822,28,2,01:23.5,83535,Bottas,76
822,29,2,01:24.8,84805,Bottas,76
822,30,2,01:24.5,84521,Bottas,76
822,31,3,01:43.3,103260,Bottas,76
822,32,2,01:28.0,87993,Bottas,76
822,33,2,01:21.9,81874,Bottas,76
822,34,2,01:21.8,81799,Bottas,76
822,35,2,01:21.9,81916,Bottas,76
822,36,2,01:22.4,82393,Bottas,76
822,37,2,01:22.1,82076,Bottas,76
822,38,2,01:22.2,82208,Bottas,76
822,39,2,01:22.3,82278,Bottas,76
822,40,2,01:22.4,82448,Bottas,76
822,41,2,01:22.1,82147,Bottas,76
822,42,2,01:21.9,81915,Bottas,76
822,43,2,01:42.6,102623,Bottas,76
822,44,2,01:52.7,112694,Bottas,76
822,45,2,02:41.2,161220,Bottas,76
822,46,3,24:37.8,1477833,Bottas,76
822,47,3,01:25.0,84991,Bottas,76
822,48,2,01:19.8,79752,Bottas,76
822,49,2,01:21.0,81001,Bottas,76
822,50,2,01:20.6,80578,Bottas,76
822,51,2,01:20.6,80596,Bottas,76
822,52,2,01:21.2,81213,Bottas,76
822,53,2,01:19.4,79432,Bottas,76
822,54,2,01:20.9,80941,Bottas,76
822,55,2,01:20.8,80757,Bottas,76
822,56,2,01:20.2,80250,Bottas,76
822,57,2,01:20.1,80054,Bottas,76
822,58,2,01:19.6,79561,Bottas,76
822,59,2,01:22.2,82214,Bottas,76
1,1,2,01:50.3,110341,Hamilton,76
1,2,2,02:26.7,146653,Hamilton,76
1,3,2,02:16.6,136551,Hamilton,76
1,4,2,02:14.6,134621,Hamilton,76
1,5,2,02:13.7,133693,Hamilton,76
1,6,2,02:21.5,141511,Hamilton,76
1,7,2,02:03.3,123336,Hamilton,76
1,8,2,26:14.9,1574948,Hamilton,76
1,9,2,03:28.8,208791,Hamilton,76
1,10,1,01:23.4,83370,Hamilton,76
1,11,1,01:22.5,82549,Hamilton,76
1,12,1,01:22.4,82376,Hamilton,76
1,13,1,01:23.1,83064,Hamilton,76
1,14,1,01:23.3,83293,Hamilton,76
1,15,1,01:23.2,83231,Hamilton,76
1,16,1,01:23.0,82997,Hamilton,76
1,17,1,01:23.0,83013,Hamilton,76
1,18,1,01:23.7,83683,Hamilton,76
1,19,1,01:22.9,82919,Hamilton,76
1,20,1,01:23.2,83200,Hamilton,76
1,21,1,01:22.8,82818,Hamilton,76
1,22,1,01:23.7,83668,Hamilton,76
1,23,1,01:23.2,83243,Hamilton,76
1,24,1,01:23.0,82994,Hamilton,76
1,25,1,01:23.3,83283,Hamilton,76
1,26,1,01:23.4,83425,Hamilton,76
1,27,1,01:23.3,83316,Hamilton,76
1,28,1,01:23.1,83112,Hamilton,76
1,29,1,01:23.1,83137,Hamilton,76
1,30,1,01:23.1,83074,Hamilton,76
1,31,1,01:22.9,82914,Hamilton,76
1,32,1,01:40.0,100016,Hamilton,76
1,33,1,01:28.9,88882,Hamilton,76
1,34,1,01:22.1,82104,Hamilton,76
1,35,1,01:22.3,82261,Hamilton,76
1,36,1,01:22.5,82453,Hamilton,76
1,37,1,01:22.0,82015,Hamilton,76
1,38,1,01:22.1,82099,Hamilton,76
1,39,1,01:22.3,82305,Hamilton,76
1,40,1,01:22.5,82499,Hamilton,76
1,41,1,01:22.3,82301,Hamilton,76
1,42,1,01:22.4,82354,Hamilton,76
1,43,1,01:22.0,81965,Hamilton,76
1,44,1,02:06.9,126887,Hamilton,76
1,45,1,02:49.0,168966,Hamilton,76
1,46,1,24:41.9,1481868,Hamilton,76
1,47,1,01:24.1,84056,Hamilton,76
1,48,1,01:20.1,80072,Hamilton,76
1,49,1,01:20.2,80153,Hamilton,76
1,50,1,01:20.7,80655,Hamilton,76
1,51,1,01:19.6,79647,Hamilton,76
1,52,1,01:21.5,81451,Hamilton,76
1,53,1,01:20.8,80775,Hamilton,76
1,54,1,01:20.7,80655,Hamilton,76
1,55,1,01:20.7,80662,Hamilton,76
1,56,1,01:20.5,80518,Hamilton,76
1,57,1,01:20.1,80146,Hamilton,76
1,58,1,01:18.8,78833,Hamilton,76
1,59,1,01:19.3,79338,Hamilton,76
844,1,3,01:51.4,111398,Leclerc,76
844,2,3,02:26.4,146424,Leclerc,76
844,3,3,02:16.4,136385,Leclerc,76
844,4,3,02:15.1,135131,Leclerc,76
844,5,3,02:13.4,133400,Leclerc,76
844,6,3,02:20.8,140751,Leclerc,76
844,7,3,02:04.5,124466,Leclerc,76
844,8,3,26:16.2,1576166,Leclerc,76
844,9,3,03:26.5,206509,Leclerc,76
844,10,3,01:26.6,86608,Leclerc,76
844,11,3,01:23.7,83692,Leclerc,76
844,12,3,01:23.6,83631,Leclerc,76
844,13,3,01:23.5,83491,Leclerc,76
844,14,3,01:24.2,84153,Leclerc,76
844,15,3,01:24.1,84096,Leclerc,76
844,16,3,01:24.4,84390,Leclerc,76
844,17,3,01:24.5,84457,Leclerc,76
844,18,4,01:25.3,85338,Leclerc,76
844,19,5,01:25.7,85738,Leclerc,76
844,20,6,01:26.0,86026,Leclerc,76
844,21,12,01:44.9,104937,Leclerc,76
844,22,13,01:30.7,90690,Leclerc,76
844,23,13,01:24.1,84083,Leclerc,76
844,24,13,01:24.3,84285,Leclerc,76
844,25,13,01:25.0,85001,Leclerc,76
844,26,12,01:23.7,83698,Leclerc,76
844,27,11,01:24.2,84165,Leclerc,76
844,28,10,01:24.7,84718,Leclerc,76
844,29,7,01:24.6,84574,Leclerc,76
844,30,7,01:25.4,85442,Leclerc,76
844,31,7,01:24.3,84327,Leclerc,76
844,32,7,01:23.9,83930,Leclerc,76
844,33,8,01:26.0,86030,Leclerc,76
844,34,8,01:24.0,83973,Leclerc,76
844,35,8,01:23.9,83862,Leclerc,76
