driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
844,1,1,01:52.2,112162,Leclerc,73
844,2,2,01:49.7,109672,Leclerc,73
844,3,2,01:48.7,108746,Leclerc,73
844,4,2,01:47.6,107600,Leclerc,73
844,5,2,01:47.3,107260,Leclerc,73
844,6,3,01:48.0,107963,Leclerc,73
844,7,4,01:48.6,108611,Leclerc,73
844,8,4,01:48.7,108721,Leclerc,73
844,9,6,01:51.8,111823,Leclerc,73
844,10,10,02:03.4,123438,Leclerc,73
844,11,9,01:48.1,108105,Leclerc,73
844,12,7,01:49.1,109086,Leclerc,73
844,13,7,01:48.0,108039,Leclerc,73
844,14,7,01:47.7,107674,Leclerc,73
844,15,7,01:47.3,107272,Leclerc,73
844,16,7,01:47.2,107240,Leclerc,73
844,17,7,01:47.6,107574,Leclerc,73
844,18,7,01:47.2,107204,Leclerc,73
844,19,6,01:47.3,107286,Leclerc,73
844,20,6,01:47.2,107182,Leclerc,73
844,21,6,01:47.3,107258,Leclerc,73
844,22,6,01:46.5,106512,Leclerc,73
844,23,6,01:46.4,106358,Leclerc,73
844,24,6,01:46.5,106492,Leclerc,73
844,25,6,01:46.6,106641,Leclerc,73
844,26,6,01:46.4,106387,Leclerc,73
844,27,6,01:46.7,106669,Leclerc,73
844,28,6,01:46.5,106516,Leclerc,73
844,29,6,01:46.2,106178,Leclerc,73
844,30,5,01:46.5,106478,Leclerc,73
844,31,5,02:19.5,139518,Leclerc,73
844,32,5,02:51.7,171722,Leclerc,73
844,33,5,02:53.5,173539,Leclerc,73
844,34,5,02:50.5,170506,Leclerc,73
844,35,5,03:00.6,180559,Leclerc,73
844,36,6,01:52.9,112944,Leclerc,73
844,37,6,01:47.7,107663,Leclerc,73
844,38,6,01:46.9,106886,Leclerc,73
844,39,6,01:45.8,105805,Leclerc,73
844,40,6,01:45.8,105753,Leclerc,73
844,41,6,01:45.7,105732,Leclerc,73
844,42,6,01:45.7,105712,Leclerc,73
844,43,6,01:45.6,105594,Leclerc,73
844,44,6,01:45.8,105780,Leclerc,73
844,45,6,01:45.5,105538,Leclerc,73
844,46,5,01:45.4,105382,Leclerc,73
844,47,5,02:13.3,133338,Leclerc,73
844,48,5,03:05.4,185391,Leclerc,73
844,49,5,36:27.1,2187115,Leclerc,73
844,50,3,02:30.9,150922,Leclerc,73
844,51,4,01:46.7,106692,Leclerc,73
1,1,2,01:52.5,112533,Hamilton,73
1,2,1,01:49.2,109236,Hamilton,73
1,3,1,01:48.1,108060,Hamilton,73
1,4,1,01:47.5,107462,Hamilton,73
1,5,1,01:47.6,107642,Hamilton,73
1,6,1,01:47.4,107394,Hamilton,73
1,7,1,01:47.1,107056,Hamilton,73
1,8,1,01:47.1,107084,Hamilton,73
1,9,1,01:47.4,107399,Hamilton,73
1,10,1,01:47.4,107441,Hamilton,73
1,11,3,01:51.2,111218,Hamilton,73
1,12,4,02:06.7,126683,Hamilton,73
