driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
830,1,1,01:17.7,77665,Verstappen,39
830,2,1,01:15.0,74978,Verstappen,39
830,3,1,01:14.8,74813,Verstappen,39
830,4,1,01:14.9,74917,Verstappen,39
830,5,1,01:14.9,74882,Verstappen,39
830,6,1,01:14.9,74900,Verstappen,39
830,7,1,01:15.1,75108,Verstappen,39
830,8,1,01:15.1,75138,Verstappen,39
830,9,1,01:15.1,75133,Verstappen,39
830,10,1,01:15.1,75061,Verstappen,39
830,11,1,01:15.2,75228,Verstappen,39
830,12,1,01:14.9,74917,Verstappen,39
830,13,1,01:15.1,75062,Verstappen,39
830,14,1,01:15.1,75059,Verstappen,39
830,15,1,01:15.1,75138,Verstappen,39
830,16,1,01:15.2,75177,Verstappen,39
830,17,1,01:15.4,75446,Verstappen,39
830,18,1,01:15.3,75331,Verstappen,39
830,19,1,01:15.6,75632,Verstappen,39
830,20,1,01:15.9,75938,Verstappen,39
830,21,1,01:18.6,78594,Verstappen,39
830,22,2,01:32.6,92574,Verstappen,39
830,23,2,01:14.2,74223,Verstappen,39
830,24,2,01:14.3,74257,Verstappen,39
830,25,2,01:14.6,74607,Verstappen,39
830,26,2,01:15.4,75352,Verstappen,39
830,27,2,01:14.4,74393,Verstappen,39
830,28,2,01:14.7,74683,Verstappen,39
830,29,2,01:15.2,75222,Verstappen,39
830,30,1,01:16.4,76362,Verstappen,39
830,31,1,01:15.1,75134,Verstappen,39
830,32,1,01:14.9,74886,Verstappen,39
830,33,1,01:14.8,74794,Verstappen,39
830,34,1,01:14.5,74468,Verstappen,39
830,35,1,01:15.0,75001,Verstappen,39
830,36,1,01:14.7,74715,Verstappen,39
830,37,1,01:14.0,74029,Verstappen,39
830,38,1,01:14.2,74212,Verstappen,39
830,39,1,01:13.9,73921,Verstappen,39
830,40,1,01:17.0,76990,Verstappen,39
830,41,1,01:31.3,91271,Verstappen,39
830,42,1,01:13.5,73524,Verstappen,39
830,43,1,01:13.5,73480,Verstappen,39
830,44,1,01:14.5,74494,Verstappen,39
830,45,1,01:13.8,73832,Verstappen,39
830,46,1,01:13.9,73925,Verstappen,39
830,47,1,01:13.7,73676,Verstappen,39
830,48,1,01:13.7,73706,Verstappen,39
830,49,1,01:13.7,73670,Verstappen,39
830,50,1,01:13.4,73445,Verstappen,39
830,51,1,01:13.7,73705,Verstappen,39
830,52,1,01:14.0,73999,Verstappen,39
830,53,1,01:13.7,73725,Verstappen,39
830,54,1,01:14.5,74496,Verstappen,39
830,55,1,01:14.9,74865,Verstappen,39
830,56,1,01:13.8,73765,Verstappen,39
830,57,1,01:13.5,73466,Verstappen,39
830,58,1,01:13.7,73716,Verstappen,39
830,59,1,01:13.6,73631,Verstappen,39
830,60,1,01:13.3,73275,Verstappen,39
830,61,1,01:13.4,73392,Verstappen,39
830,62,1,01:13.7,73687,Verstappen,39
830,63,1,01:13.9,73891,Verstappen,39
830,64,1,01:13.9,73916,Verstappen,39
830,65,1,01:13.6,73608,Verstappen,39
830,66,1,01:13.5,73539,Verstappen,39
830,67,1,01:14.7,74698,Verstappen,39
830,68,1,01:14.5,74475,Verstappen,39
830,69,1,01:14.2,74230,Verstappen,39
830,70,1,01:13.5,73547,Verstappen,39
830,71,1,01:14.0,74050,Verstappen,39
830,72,1,01:14.8,74756,Verstappen,39
1,1,2,01:19.4,79399,Hamilton,39
1,2,2,01:15.4,75395,Hamilton,39
