driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
830,1,1,01:38.6,98603,Verstappen,21
830,2,1,02:29.2,149163,Verstappen,21
830,3,1,02:23.2,143247,Verstappen,21
830,4,1,02:20.3,140332,Verstappen,21
830,5,1,02:25.7,145691,Verstappen,21
830,6,1,02:20.8,140804,Verstappen,21
830,7,1,01:36.3,96303,Verstappen,21
830,8,1,01:32.9,92925,Verstappen,21
830,9,1,01:31.0,90953,Verstappen,21
830,10,1,01:30.1,90130,Verstappen,21
830,11,1,01:29.2,89168,Verstappen,21
830,12,1,01:28.8,88814,Verstappen,21
830,13,1,01:28.1,88119,Verstappen,21
830,14,1,01:27.7,87740,Verstappen,21
830,15,1,01:27.1,87059,Verstappen,21
830,16,1,01:26.6,86597,Verstappen,21
830,17,1,01:26.6,86605,Verstappen,21
830,18,1,01:27.0,87002,Verstappen,21
830,19,1,01:27.1,87068,Verstappen,21
830,20,1,01:27.1,87097,Verstappen,21
830,21,1,01:28.6,88626,Verstappen,21
830,22,1,01:28.3,88257,Verstappen,21
830,23,1,01:29.5,89532,Verstappen,21
830,24,1,01:29.8,89794,Verstappen,21
830,25,1,01:29.0,88967,Verstappen,21
830,26,1,01:28.2,88182,Verstappen,21
830,27,2,01:31.7,91736,Verstappen,21
830,28,3,01:51.3,111252,Verstappen,21
830,29,1,01:24.2,84169,Verstappen,21
830,30,1,01:26.4,86433,Verstappen,21
830,31,1,01:23.0,82954,Verstappen,21
830,32,1,01:44.2,104215,Verstappen,21
830,33,1,02:24.1,144051,Verstappen,21
830,34,1,29:32.7,1772740,Verstappen,21
830,35,1,01:23.7,83743,Verstappen,21
830,36,1,01:21.0,81006,Verstappen,21
830,37,1,01:20.4,80353,Verstappen,21
830,38,1,01:19.7,79726,Verstappen,21
830,39,1,01:19.6,79579,Verstappen,21
830,40,1,01:18.9,78935,Verstappen,21
830,41,1,01:18.8,78786,Verstappen,21
830,42,1,01:18.7,78680,Verstappen,21
830,43,1,01:18.5,78529,Verstappen,21
830,44,1,01:18.4,78403,Verstappen,21
830,45,1,01:18.3,78284,Verstappen,21
830,46,1,01:18.0,78011,Verstappen,21
830,47,1,01:18.2,78161,Verstappen,21
830,48,1,01:18.1,78087,Verstappen,21
830,49,1,01:18.2,78171,Verstappen,21
830,50,1,01:18.6,78576,Verstappen,21
830,51,1,01:18.2,78158,Verstappen,21
830,52,1,01:18.0,77963,Verstappen,21
830,53,1,01:17.9,77937,Verstappen,21
830,54,1,01:17.8,77766,Verstappen,21
830,55,1,01:17.8,77803,Verstappen,21
830,56,1,01:17.9,77909,Verstappen,21
830,57,1,01:18.4,78396,Verstappen,21
830,58,1,01:18.0,78032,Verstappen,21
830,59,1,01:18.0,77993,Verstappen,21
830,60,1,01:17.5,77524,Verstappen,21
830,61,1,01:18.3,78261,Verstappen,21
830,62,1,01:17.5,77526,Verstappen,21
830,63,1,01:18.0,77972,Verstappen,21
1,1,2,01:42.6,102572,Hamilton,21
1,2,2,02:28.4,148397,Hamilton,21
1,3,2,02:21.8,141831,Hamilton,21
1,4,2,02:21.7,141660,Hamilton,21
1,5,2,02:25.1,145146,Hamilton,21
1,6,2,02:18.6,138618,Hamilton,21
1,7,2,01:39.2,99225,Hamilton,21
1,8,2,01:34.6,94591,Hamilton,21
1,9,2,01:31.3,91302,Hamilton,21
1,10,2,01:30.1,90100,Hamilton,21
1,11,2,01:28.7,88724,Hamilton,21
1,12,2,01:28.6,88592,Hamilton,21
1,13,2,01:28.3,88250,Hamilton,21
1,14,2,01:28.0,88029,Hamilton,21
1,15,2,01:27.1,87072,Hamilton,21
1,16,2,01:26.6,86578,Hamilton,21
1,17,2,01:27.5,87501,Hamilton,21
1,18,2,01:26.6,86640,Hamilton,21
1,19,2,01:27.0,87021,Hamilton,21
1,20,2,01:27.0,86959,Hamilton,21
1,21,2,01:28.3,88283,Hamilton,21
1,22,2,01:29.3,89277,Hamilton,21
1,23,2,01:28.4,88421,Hamilton,21
1,24,2,01:28.1,88139,Hamilton,21
1,25,2,01:28.8,88842,Hamilton,21
1,26,2,01:27.1,87073,Hamilton,21
1,27,1,01:27.0,86959,Hamilton,21
1,28,1,01:30.4,90425,Hamilton,21
1,29,2,01:53.3,113281,Hamilton,21
1,30,2,01:23.1,83138,Hamilton,21
1,31,7,02:47.0,167042,Hamilton,21
1,32,9,02:47.4,167378,Hamilton,21
1,33,9,26:30.3,1590280,Hamilton,21
1,34,8,02:59.6,179588,Hamilton,21
1,35,8,01:28.5,88464,Hamilton,21
1,36,8,01:23.2,83218,Hamilton,21
1,37,8,01:21.0,80972,Hamilton,21
1,38,7,01:21.4,81444,Hamilton,21
1,39,6,01:19.5,79479,Hamilton,21
1,40,6,01:19.3,79303,Hamilton,21
1,41,6,01:19.2,79206,Hamilton,21
1,42,5,01:18.3,78332,Hamilton,21
1,43,5,01:18.6,78648,Hamilton,21
1,44,5,01:18.6,78615,Hamilton,21
