driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
830,1,1,01:44.8,104815,Verstappen,32
830,2,1,02:11.6,131572,Verstappen,32
830,3,1,02:06.3,126284,Verstappen,32
830,4,1,02:07.5,127504,Verstappen,32
830,5,1,01:21.6,81615,Verstappen,32
830,6,1,01:21.6,81635,Verstappen,32
830,7,1,01:21.6,81622,Verstappen,32
830,8,1,01:21.5,81520,Verstappen,32
830,9,1,01:21.1,81051,Verstappen,32
830,10,1,01:21.1,81144,Verstappen,32
830,11,1,01:21.0,80958,Verstappen,32
830,12,1,01:21.0,81014,Verstappen,32
830,13,1,01:21.2,81209,Verstappen,32
830,14,1,01:21.2,81158,Verstappen,32
830,15,1,01:21.1,81100,Verstappen,32
830,16,1,01:21.0,81026,Verstappen,32
830,17,1,01:21.4,81447,Verstappen,32
830,18,1,01:21.6,81600,Verstappen,32
830,19,1,01:20.7,80685,Verstappen,32
830,20,1,01:21.1,81126,Verstappen,32
830,21,1,01:21.2,81231,Verstappen,32
830,22,1,01:21.3,81316,Verstappen,32
830,23,1,01:21.4,81417,Verstappen,32
830,24,1,01:21.8,81759,Verstappen,32
830,25,1,01:21.5,81457,Verstappen,32
830,26,1,01:21.5,81491,Verstappen,32
830,27,1,01:21.3,81267,Verstappen,32
830,28,1,01:21.2,81203,Verstappen,32
830,29,1,01:21.0,81029,Verstappen,32
830,30,1,01:21.3,81328,Verstappen,32
830,31,1,01:22.0,81981,Verstappen,32
830,32,1,01:21.2,81223,Verstappen,32
830,33,1,01:24.9,84863,Verstappen,32
830,34,2,01:38.8,98828,Verstappen,32
830,35,2,01:21.0,81003,Verstappen,32
830,36,2,01:20.3,80266,Verstappen,32
830,37,2,01:20.3,80261,Verstappen,32
830,38,2,01:20.1,80083,Verstappen,32
830,39,2,01:20.3,80340,Verstappen,32
830,40,1,01:20.2,80200,Verstappen,32
830,41,1,01:20.1,80069,Verstappen,32
830,42,1,01:20.0,80025,Verstappen,32
830,43,1,01:20.0,79989,Verstappen,32
830,44,1,01:20.4,80356,Verstappen,32
830,45,1,01:19.8,79846,Verstappen,32
830,46,1,01:20.2,80180,Verstappen,32
830,47,1,01:20.2,80211,Verstappen,32
830,48,1,01:20.6,80557,Verstappen,32
830,49,1,01:19.9,79921,Verstappen,32
830,50,1,01:20.9,80877,Verstappen,32
830,51,1,01:20.4,80406,Verstappen,32
830,52,1,01:19.0,78999,Verstappen,32
830,53,1,01:20.2,80231,Verstappen,32
830,54,1,01:20.0,80045,Verstappen,32
830,55,1,01:20.1,80078,Verstappen,32
830,56,1,01:20.0,79988,Verstappen,32
830,57,1,01:20.0,80039,Verstappen,32
830,58,1,01:19.8,79839,Verstappen,32
830,59,1,01:20.2,80249,Verstappen,32
830,60,1,01:20.4,80413,Verstappen,32
830,61,1,01:20.3,80287,Verstappen,32
830,62,1,01:20.3,80340,Verstappen,32
830,63,1,01:19.8,79825,Verstappen,32
830,64,1,01:19.7,79704,Verstappen,32
830,65,1,01:19.2,79210,Verstappen,32
830,66,1,01:20.3,80303,Verstappen,32
830,67,1,01:23.1,83083,Verstappen,32
830,68,1,01:21.1,81109,Verstappen,32
830,69,1,01:19.4,79360,Verstappen,32
830,70,1,01:20.4,80414,Verstappen,32
830,71,1,01:20.5,80502,Verstappen,32
1,1,2,01:46.6,106593,Hamilton,32
1,2,2,02:11.4,131403,Hamilton,32
1,3,2,02:06.5,126513,Hamilton,32
1,4,2,02:06.6,126587,Hamilton,32
1,5,2,01:22.5,82545,Hamilton,32
1,6,2,01:22.3,82254,Hamilton,32
1,7,2,01:21.9,81947,Hamilton,32
1,8,2,01:21.7,81735,Hamilton,32
1,9,2,01:21.5,81520,Hamilton,32
1,10,2,01:21.1,81105,Hamilton,32
1,11,2,01:21.1,81141,Hamilton,32
1,12,2,01:21.3,81261,Hamilton,32
1,13,2,01:22.0,81985,Hamilton,32
1,14,2,01:22.0,81981,Hamilton,32
1,15,2,01:21.6,81575,Hamilton,32
1,16,2,01:21.5,81526,Hamilton,32
1,17,2,01:21.3,81274,Hamilton,32
1,18,2,01:21.2,81203,Hamilton,32
1,19,2,01:21.6,81619,Hamilton,32
1,20,2,01:22.0,82030,Hamilton,32
1,21,2,01:21.4,81387,Hamilton,32
1,22,2,01:21.9,81930,Hamilton,32
1,23,2,01:21.6,81627,Hamilton,32
1,24,2,01:21.4,81398,Hamilton,32
1,25,2,01:21.4,81430,Hamilton,32
1,26,2,01:21.8,81846,Hamilton,32
1,27,2,01:21.4,81394,Hamilton,32
1,28,2,01:21.6,81595,Hamilton,32
1,29,3,01:25.1,85054,Hamilton,32
1,30,4,01:41.4,101412,Hamilton,32
1,31,3,01:20.0,79953,Hamilton,32
1,32,3,01:20.2,80218,Hamilton,32
1,33,3,01:20.5,80456,Hamilton,32
1,34,3,01:20.5,80526,Hamilton,32
1,35,3,01:20.5,80527,Hamilton,32
1,36,3,01:20.3,80312,Hamilton,32
1,37,3,01:20.5,80542,Hamilton,32
1,38,3,01:21.6,81570,Hamilton,32
1,39,3,01:20.9,80944,Hamilton,32
1,40,3,01:20.2,80209,Hamilton,32
1,41,2,01:20.4,80378,Hamilton,32
1,42,2,01:20.4,80412,Hamilton,32
1,43,2,01:20.2,80209,Hamilton,32
1,44,2,01:21.0,80965,Hamilton,32
1,45,2,01:19.8,79834,Hamilton,32
1,46,2,01:20.7,80683,Hamilton,32
1,47,2,01:21.0,80970,Hamilton,32
1,48,2,01:20.4,80419,Hamilton,32
1,49,2,01:20.7,80672,Hamilton,32
1,50,2,01:20.5,80461,Hamilton,32
1,51,2,01:20.1,80111,Hamilton,32
1,52,2,01:20.2,80224,Hamilton,32
1,53,2,01:20.1,80130,Hamilton,32
1,54,2,01:20.6,80628,Hamilton,32
1,55,2,01:20.3,80281,Hamilton,32
1,56,2,01:20.6,80577,Hamilton,32
1,57,2,01:21.1,81141,Hamilton,32
1,58,2,01:20.4,80427,Hamilton,32
1,59,2,01:20.7,80727,Hamilton,32
1,60,2,01:20.7,80749,Hamilton,32
1,61,2,01:21.0,80961,Hamilton,32
1,62,2,01:20.2,80220,Hamilton,32
1,63,2,01:20.0,79981,Hamilton,32
1,64,2,01:20.3,80330,Hamilton,32
1,65,2,01:20.3,80320,Hamilton,32
1,66,2,01:19.8,79820,Hamilton,32
1,67,2,01:20.1,80127,Hamilton,32
1,68,2,01:20.4,80430,Hamilton,32
1,69,2,01:20.2,80236,Hamilton,32
1,70,2,01:20.3,80319,Hamilton,32
1,71,2,01:20.8,80772,Hamilton,32
815,1,3,01:47.6,107610,Pérez,32
815,2,3,02:11.6,131575,Pérez,32
815,3,3,02:06.4,126355,Pérez,32
815,4,3,02:06.3,126308,Pérez,32
815,5,3,01:23.2,83185,Pérez,32
815,6,3,01:22.4,82356,Pérez,32
815,7,3,01:22.3,82330,Pérez,32
815,8,3,01:22.0,81954,Pérez,32
815,9,3,01:21.8,81766,Pérez,32
815,10,3,01:21.7,81687,Pérez,32
815,11,3,01:21.4,81389,Pérez,32
815,12,3,01:21.5,81464,Pérez,32
815,13,3,01:21.5,81520,Pérez,32
815,14,3,01:21.5,81457,Pérez,32
815,15,3,01:21.2,81173,Pérez,32
815,16,3,01:21.4,81393,Pérez,32
815,17,3,01:21.7,81652,Pérez,32
815,18,3,01:21.3,81260,Pérez,32
815,19,3,01:21.4,81380,Pérez,32
815,20,3,01:21.8,81765,Pérez,32
815,21,3,01:21.8,81758,Pérez,32
815,22,3,01:22.0,82017,Pérez,32
815,23,3,01:21.5,81482,Pérez,32
815,24,3,01:21.8,81783,Pérez,32
815,25,3,01:21.4,81359,Pérez,32
815,26,3,01:21.4,81409,Pérez,32
815,27,3,01:21.2,81170,Pérez,32
815,28,3,01:21.4,81420,Pérez,32
815,29,2,01:22.1,82118,Pérez,32
815,30,2,01:21.8,81841,Pérez,32
815,31,2,01:22.1,82092,Pérez,32
815,32,2,01:21.9,81858,Pérez,32
815,33,2,01:21.2,81196,Pérez,32
815,34,1,01:21.2,81152,Pérez,32
815,35,1,01:20.9,80890,Pérez,32
815,36,1,01:21.1,81068,Pérez,32
815,37,1,01:20.8,80761,Pérez,32
815,38,1,01:21.5,81541,Pérez,32
815,39,1,01:21.8,81786,Pérez,32
815,40,2,01:24.5,84496,Pérez,32
815,41,3,01:39.3,99305,Pérez,32
815,42,3,01:19.7,79659,Pérez,32
815,43,3,01:20.2,80152,Pérez,32
815,44,3,01:19.7,79712,Pérez,32
815,45,3,01:19.8,79840,Pérez,32
815,46,3,01:19.9,79949,Pérez,32
815,47,3,01:21.3,81324,Pérez,32
815,48,3,01:20.6,80552,Pérez,32
815,49,3,01:19.5,79468,Pérez,32
815,50,3,01:20.2,80188,Pérez,32
815,51,3,01:19.7,79675,Pérez,32
815,52,3,01:19.9,79890,Pérez,32
815,53,3,01:19.7,79686,Pérez,32
815,54,3,01:19.9,79882,Pérez,32
815,55,3,01:19.6,79643,Pérez,32
815,56,3,01:20.0,79960,Pérez,32
815,57,3,01:20.3,80309,Pérez,32
815,58,3,01:20.2,80151,Pérez,32
815,59,3,01:20.4,80398,Pérez,32
815,60,3,01:20.4,80406,Pérez,32
815,61,3,01:20.9,80878,Pérez,32
815,62,3,01:20.5,80536,Pérez,32
815,63,3,01:20.1,80091,Pérez,32
815,64,3,01:20.4,80395,Pérez,32
815,65,3,01:21.1,81119,Pérez,32
815,66,3,01:19.9,79936,Pérez,32
815,67,3,01:19.9,79890,Pérez,32
815,68,3,01:19.9,79889,Pérez,32
815,69,3,01:19.8,79846,Pérez,32
815,70,3,01:20.2,80183,Pérez,32
815,71,3,01:21.2,81150,Pérez,32
842,1,4,01:49.4,109377,Gasly,32
842,2,4,02:11.6,131585,Gasly,32
842,3,4,02:06.5,126479,Gasly,32
