driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
822,1,1,01:24.9,84937,Bottas,75
822,2,1,01:46.9,106875,Bottas,75
822,3,1,02:22.7,142684,Bottas,75
822,4,1,02:15.3,135331,Bottas,75
822,5,1,02:01.4,121394,Bottas,75
822,6,1,02:10.4,130372,Bottas,75
822,7,1,01:23.5,83550,Bottas,75
822,8,1,01:23.5,83478,Bottas,75
822,9,1,01:23.3,83281,Bottas,75
822,10,1,01:23.1,83112,Bottas,75
822,11,1,01:23.6,83619,Bottas,75
822,12,1,01:22.6,82591,Bottas,75
822,13,1,01:22.8,82840,Bottas,75
822,14,1,01:22.9,82858,Bottas,75
822,15,1,01:22.9,82926,Bottas,75
822,16,1,01:22.6,82553,Bottas,75
822,17,1,01:22.9,82887,Bottas,75
822,18,1,01:22.9,82889,Bottas,75
822,19,1,01:23.0,83009,Bottas,75
822,20,2,01:24.7,84735,Bottas,75
822,21,2,01:23.3,83348,Bottas,75
822,22,2,01:22.9,82923,Bottas,75
822,23,2,01:22.6,82602,Bottas,75
822,24,2,01:22.6,82633,Bottas,75
822,25,2,01:22.4,82438,Bottas,75
822,26,2,01:22.4,82438,Bottas,75
822,27,2,01:22.6,82566,Bottas,75
822,28,2,01:22.5,82542,Bottas,75
822,29,2,01:22.2,82179,Bottas,75
822,30,2,01:22.4,82415,Bottas,75
822,31,2,01:22.2,82189,Bottas,75
822,32,2,01:22.3,82261,Bottas,75
822,33,2,01:21.9,81927,Bottas,75
822,34,2,01:22.2,82185,Bottas,75
822,35,2,01:22.1,82087,Bottas,75
822,36,2,01:25.7,85701,Bottas,75
822,37,4,01:47.1,107110,Bottas,75
822,38,4,01:21.9,81949,Bottas,75
822,39,4,01:22.4,82440,Bottas,75
822,40,4,01:22.1,82052,Bottas,75
822,41,4,01:21.6,81647,Bottas,75
822,42,4,01:21.4,81407,Bottas,75
822,43,4,01:21.5,81469,Bottas,75
822,44,4,01:21.4,81386,Bottas,75
