driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
830,1,1,01:12.8,72767,Verstappen,70
830,2,1,01:10.0,70031,Verstappen,70
830,3,1,01:09.8,69834,Verstappen,70
830,4,1,01:09.6,69606,Verstappen,70
830,5,1,01:09.7,69666,Verstappen,70
830,6,1,01:09.9,69855,Verstappen,70
830,7,1,01:09.9,69872,Verstappen,70
830,8,1,01:09.9,69885,Verstappen,70
830,9,1,01:09.7,69747,Verstappen,70
830,10,1,01:09.9,69887,Verstappen,70
830,11,1,01:09.9,69901,Verstappen,70
830,12,1,01:09.9,69888,Verstappen,70
830,13,1,01:09.7,69747,Verstappen,70
830,14,1,01:09.6,69611,Verstappen,70
830,15,1,01:09.7,69713,Verstappen,70
830,16,1,01:09.7,69652,Verstappen,70
830,17,1,01:09.7,69737,Verstappen,70
830,18,1,01:09.8,69825,Verstappen,70
830,19,1,01:10.0,70014,Verstappen,70
830,20,1,01:09.9,69898,Verstappen,70
830,21,1,01:09.6,69585,Verstappen,70
830,22,1,01:09.6,69564,Verstappen,70
830,23,1,01:09.8,69760,Verstappen,70
830,24,1,01:09.9,69930,Verstappen,70
830,25,1,01:09.9,69940,Verstappen,70
830,26,1,01:09.9,69852,Verstappen,70
830,27,1,01:09.9,69852,Verstappen,70
830,28,1,01:10.3,70257,Verstappen,70
830,29,1,01:13.5,73454,Verstappen,70
830,30,1,01:25.9,85881,Verstappen,70
830,31,1,01:09.0,69041,Verstappen,70
830,32,1,01:09.2,69166,Verstappen,70
830,33,1,01:09.0,68992,Verstappen,70
830,34,1,01:08.8,68782,Verstappen,70
830,35,1,01:08.7,68670,Verstappen,70
830,36,1,01:08.7,68731,Verstappen,70
830,37,1,01:08.7,68711,Verstappen,70
830,38,1,01:08.7,68669,Verstappen,70
830,39,1,01:08.8,68792,Verstappen,70
830,40,1,01:08.5,68541,Verstappen,70
830,41,1,01:08.6,68594,Verstappen,70
830,42,1,01:08.4,68445,Verstappen,70
830,43,1,01:08.8,68761,Verstappen,70
830,44,1,01:08.4,68399,Verstappen,70
830,45,1,01:08.5,68523,Verstappen,70
830,46,1,01:08.6,68591,Verstappen,70
830,47,1,01:08.5,68459,Verstappen,70
830,48,1,01:08.7,68710,Verstappen,70
830,49,1,01:08.9,68942,Verstappen,70
830,50,1,01:08.5,68536,Verstappen,70
830,51,1,01:08.7,68728,Verstappen,70
830,52,1,01:08.7,68726,Verstappen,70
830,53,1,01:09.2,69170,Verstappen,70
830,54,1,01:08.8,68825,Verstappen,70
830,55,1,01:08.7,68695,Verstappen,70
830,56,1,01:08.8,68849,Verstappen,70
830,57,1,01:08.8,68787,Verstappen,70
830,58,1,01:08.6,68609,Verstappen,70
830,59,1,01:08.8,68809,Verstappen,70
830,60,1,01:08.8,68753,Verstappen,70
830,61,1,01:08.7,68742,Verstappen,70
