driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
830,1,1,01:18.4,78399,Verstappen,18
830,2,1,01:14.7,74680,Verstappen,18
830,3,1,01:14.5,74471,Verstappen,18
830,4,1,01:14.7,74713,Verstappen,18
830,5,1,01:14.7,74660,Verstappen,18
830,6,1,01:27.5,87488,Verstappen,18
830,7,1,01:59.9,119850,Verstappen,18
830,8,1,02:13.6,133610,Verstappen,18
830,9,1,02:29.6,149633,Verstappen,18
830,10,1,01:14.8,74805,Verstappen,18
830,11,1,01:14.6,74577,Verstappen,18
830,12,1,01:33.7,93704,Verstappen,18
830,13,1,01:40.0,100040,Verstappen,18
830,14,1,01:25.0,84966,Verstappen,18
830,15,1,01:14.4,74364,Verstappen,18
830,16,1,01:14.3,74314,Verstappen,18
830,17,1,01:14.3,74324,Verstappen,18
830,18,1,01:14.5,74516,Verstappen,18
830,19,1,01:14.5,74468,Verstappen,18
830,20,1,01:14.4,74383,Verstappen,18
830,21,1,01:14.7,74744,Verstappen,18
830,22,1,01:14.6,74580,Verstappen,18
830,23,1,01:14.8,74774,Verstappen,18
830,24,1,01:14.8,74842,Verstappen,18
830,25,1,01:15.1,75061,Verstappen,18
830,26,1,01:14.9,74911,Verstappen,18
830,27,1,01:18.7,78696,Verstappen,18
830,28,3,01:30.4,90413,Verstappen,18
830,29,2,01:13.5,73501,Verstappen,18
830,30,2,01:24.6,84575,Verstappen,18
830,31,1,01:19.4,79408,Verstappen,18
830,32,1,01:13.2,73155,Verstappen,18
830,33,1,01:13.1,73140,Verstappen,18
830,34,1,01:13.4,73391,Verstappen,18
830,35,1,01:13.4,73434,Verstappen,18
830,36,1,01:13.6,73578,Verstappen,18
830,37,1,01:13.8,73838,Verstappen,18
830,38,1,01:13.5,73475,Verstappen,18
830,39,1,01:13.7,73693,Verstappen,18
830,40,2,01:17.4,77355,Verstappen,18
830,41,4,01:30.0,89979,Verstappen,18
830,42,3,01:13.0,72959,Verstappen,18
830,43,2,01:13.3,73261,Verstappen,18
830,44,1,01:13.0,72963,Verstappen,18
830,45,1,01:13.0,72977,Verstappen,18
830,46,1,01:12.7,72714,Verstappen,18
830,47,1,01:12.5,72486,Verstappen,18
830,48,1,01:14.0,74042,Verstappen,18
830,49,1,01:12.8,72833,Verstappen,18
830,50,1,01:12.8,72839,Verstappen,18
830,51,1,01:12.7,72668,Verstappen,18
830,52,1,01:12.8,72774,Verstappen,18
830,53,1,01:12.7,72686,Verstappen,18
830,54,1,01:12.5,72502,Verstappen,18
830,55,1,01:12.5,72491,Verstappen,18
830,56,1,01:12.6,72552,Verstappen,18
830,57,1,01:12.7,72747,Verstappen,18
830,58,1,01:13.4,73414,Verstappen,18
830,59,2,01:14.1,74068,Verstappen,18
830,60,2,01:13.3,73334,Verstappen,18
830,61,2,01:13.4,73365,Verstappen,18
830,62,2,01:13.8,73796,Verstappen,18
830,63,2,01:13.5,73482,Verstappen,18
830,64,2,01:13.8,73837,Verstappen,18
830,65,2,01:13.7,73659,Verstappen,18
830,66,2,01:14.3,74285,Verstappen,18
830,67,2,01:14.0,73958,Verstappen,18
830,68,2,01:14.4,74425,Verstappen,18
