driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
815,1,1,01:36.0,95991,Pérez,77
815,2,1,01:34.7,94722,Pérez,77
815,3,1,01:34.6,94596,Pérez,77
815,4,1,01:34.4,94440,Pérez,77
815,5,1,01:34.5,94496,Pérez,77
815,6,1,01:34.5,94481,Pérez,77
815,7,1,01:34.8,94821,Pérez,77
815,8,1,01:34.6,94619,Pérez,77
815,9,1,01:34.8,94825,Pérez,77
815,10,1,01:34.8,94836,Pérez,77
815,11,1,01:34.5,94545,Pérez,77
815,12,1,01:34.7,94671,Pérez,77
815,13,1,01:35.2,95214,Pérez,77
815,14,1,01:35.3,95316,Pérez,77
815,15,2,01:38.6,98591,Pérez,77
815,16,4,02:08.1,128106,Pérez,77
815,17,3,02:41.7,161673,Pérez,77
815,18,3,02:41.2,161155,Pérez,77
815,19,3,02:28.8,148779,Pérez,77
815,20,3,02:42.2,162164,Pérez,77
815,21,4,01:37.0,96967,Pérez,77
815,22,4,01:34.7,94659,Pérez,77
815,23,4,01:33.7,93699,Pérez,77
815,24,4,01:33.8,93815,Pérez,77
815,25,4,01:33.7,93697,Pérez,77
815,26,4,01:33.6,93608,Pérez,77
815,27,4,01:33.5,93547,Pérez,77
815,28,4,01:33.4,93407,Pérez,77
815,29,4,01:33.3,93313,Pérez,77
815,30,4,01:33.6,93647,Pérez,77
815,31,4,01:33.1,93102,Pérez,77
815,32,4,01:33.2,93151,Pérez,77
815,33,4,01:33.1,93122,Pérez,77
815,34,4,01:32.9,92935,Pérez,77
815,35,4,01:33.5,93529,Pérez,77
815,36,4,01:32.9,92878,Pérez,77
815,37,4,01:33.0,93008,Pérez,77
815,38,4,01:53.8,113761,Pérez,77
815,39,4,02:06.3,126256,Pérez,77
815,40,4,02:04.9,124945,Pérez,77
815,41,4,01:34.0,93974,Pérez,77
815,42,4,01:32.2,92205,Pérez,77
815,43,4,01:32.4,92410,Pérez,77
815,44,4,01:32.0,92044,Pérez,77
815,45,4,01:32.1,92093,Pérez,77
815,46,4,01:32.0,92042,Pérez,77
815,47,4,01:32.3,92260,Pérez,77
815,48,4,01:32.3,92333,Pérez,77
815,49,4,01:32.5,92485,Pérez,77
815,50,4,01:33.2,93160,Pérez,77
844,1,2,01:37.1,97088,Leclerc,77
844,2,2,01:34.9,94943,Leclerc,77
844,3,2,01:34.8,94794,Leclerc,77
844,4,2,01:34.7,94651,Leclerc,77
844,5,2,01:35.2,95156,Leclerc,77
844,6,2,01:34.6,94585,Leclerc,77
844,7,2,01:34.7,94702,Leclerc,77
844,8,2,01:34.6,94569,Leclerc,77
844,9,2,01:35.0,94967,Leclerc,77
844,10,2,01:34.7,94679,Leclerc,77
844,11,2,01:34.8,94781,Leclerc,77
844,12,2,01:34.9,94915,Leclerc,77
844,13,2,01:34.8,94777,Leclerc,77
844,14,2,01:35.2,95214,Leclerc,77
844,15,1,01:35.2,95237,Leclerc,77
844,16,1,01:43.8,103840,Leclerc,77
844,17,1,03:04.7,184684,Leclerc,77
844,18,1,02:40.1,160070,Leclerc,77
844,19,1,02:29.0,149002,Leclerc,77
844,20,1,02:44.6,164626,Leclerc,77
844,21,1,01:34.6,94636,Leclerc,77
844,22,1,01:34.1,94075,Leclerc,77
844,23,1,01:33.5,93459,Leclerc,77
844,24,1,01:33.5,93521,Leclerc,77
844,25,1,01:33.3,93324,Leclerc,77
844,26,1,01:33.2,93182,Leclerc,77
844,27,1,01:33.2,93184,Leclerc,77
844,28,1,01:32.7,92711,Leclerc,77
844,29,1,01:32.9,92942,Leclerc,77
844,30,1,01:32.8,92752,Leclerc,77
844,31,1,01:33.1,93079,Leclerc,77
844,32,1,01:32.7,92683,Leclerc,77
844,33,1,01:32.9,92878,Leclerc,77
844,34,1,01:32.7,92680,Leclerc,77
844,35,1,01:32.5,92481,Leclerc,77
844,36,1,01:32.6,92640,Leclerc,77
844,37,1,01:33.1,93102,Leclerc,77
844,38,1,01:47.2,107212,Leclerc,77
844,39,1,02:06.4,126419,Leclerc,77
844,40,1,02:06.5,126461,Leclerc,77
844,41,1,01:36.1,96117,Leclerc,77
844,42,2,01:33.3,93281,Leclerc,77
844,43,1,01:33.8,93818,Leclerc,77
844,44,1,01:32.2,92170,Leclerc,77
844,45,1,01:32.3,92259,Leclerc,77
844,46,2,01:33.5,93470,Leclerc,77
844,47,2,01:32.6,92587,Leclerc,77
844,48,2,01:31.6,91634,Leclerc,77
844,49,2,01:32.1,92102,Leclerc,77
844,50,2,01:31.7,91703,Leclerc,77
830,1,3,01:38.1,98082,Verstappen,77
830,2,3,01:35.3,95275,Verstappen,77
830,3,3,01:34.9,94890,Verstappen,77
830,4,3,01:34.7,94700,Verstappen,77
830,5,3,01:34.8,94809,Verstappen,77
830,6,3,01:34.8,94840,Verstappen,77
830,7,3,01:34.6,94634,Verstappen,77
830,8,3,01:34.8,94821,Verstappen,77
830,9,3,01:34.8,94832,Verstappen,77
830,10,3,01:35.3,95252,Verstappen,77
830,11,3,01:35.0,94959,Verstappen,77
830,12,3,01:35.2,95191,Verstappen,77
830,13,3,01:35.0,94982,Verstappen,77
830,14,3,01:35.1,95093,Verstappen,77
830,15,3,01:35.4,95370,Verstappen,77
830,16,2,01:44.6,104577,Verstappen,77
830,17,2,03:02.7,182658,Verstappen,77
830,18,2,02:39.6,159567,Verstappen,77
830,19,2,02:29.6,149635,Verstappen,77
830,20,2,02:43.5,163487,Verstappen,77
830,21,2,01:35.2,95227,Verstappen,77
830,22,2,01:34.2,94167,Verstappen,77
830,23,2,01:33.7,93688,Verstappen,77
830,24,2,01:33.4,93445,Verstappen,77
830,25,2,01:33.3,93301,Verstappen,77
830,26,2,01:33.3,93304,Verstappen,77
830,27,2,01:33.1,93059,Verstappen,77
830,28,2,01:33.0,93030,Verstappen,77
830,29,2,01:32.9,92930,Verstappen,77
830,30,2,01:32.8,92778,Verstappen,77
830,31,2,01:32.9,92897,Verstappen,77
830,32,2,01:32.9,92887,Verstappen,77
830,33,2,01:32.9,92855,Verstappen,77
830,34,2,01:32.8,92827,Verstappen,77
