year,Age,Youngest,Oldest
1950,39.29375,20,54
1951,39.04469274,21,55
1952,36.2744186,21,56
1953,35.91056911,22,55
1954,34.23043478,23,49
1955,35.1,23,56
1956,34.28421053,23,57
1957,33.14035088,23,46
1958,32.38174274,21,59
1959,32.15384615,21,46
1960,31.95515695,22,47
1961,30.90909091,19,48
1962,30.65470852,20,52
1963,30.88582677,18,53
1964,31.2705314,21,47
1965,30.95609756,22,45
1966,32.22891566,23,40
1967,31.45853659,22,46
1968,31.23175966,23,47
1969,31.44067797,24,48
1970,30.8537415,24,46
1971,31.40304183,22,47
1972,30.97734628,22,48
1973,31.39495798,23,44
1974,30.91055046,23,45
1975,30.60881543,23,46
1976,30.74884793,23,39
1977,30.92872117,21,40
1978,31.14012739,20,41
1979,30.96526055,21,42
1980,30.40469974,19,43
1981,29.86636971,22,41
1982,29.69462366,23,42
1983,30.0754717,22,40
1984,30.11395349,23,41
1985,30.54433498,22,42
1986,31.38592233,22,43
1987,30.37231504,23,39
1988,30.31313131,24,40
1989,30.31129032,23,41
1990,30.39483395,22,38
1991,30.05751391,22,39
1992,30.06066946,21,39
1993,30.75485437,21,39
1994,29.44369369,22,41
1995,29.50717703,22,42
1996,29.26470588,20,38
1997,28.43617021,21,38
1998,28.32951289,20,38
1999,29.35227273,23,39
2000,28.71581769,20,36
2001,28.21925134,20,37
2002,28.93093923,21,37
2003,28.778125,22,37
2004,27.725,21,38
2005,28.69946809,22,36
2006,28.81313131,21,37
2007,28.23796791,20,36
2008,28.04347826,21,37
2009,27.92058824,19,38
2010,28.42763158,20,41
2011,28.79824561,21,42
2012,29.08541667,22,43
2013,27.30861244,22,37
2014,27.25552826,20,35
2015,27.33862434,18,36
2016,27.41774892,19,37
2017,27.39,19,38
2018,27.55,20,39
2019,27.5,20,40
2020,27.46176471,21,41
2021,27.92727273,21,42
2022,28.15,22,41
