year,type,val
1950,avg,39.29375
1950,max,54
1950,min,20
1951,avg,39.04469273743017
1951,max,55
1951,min,21
1952,avg,36.27441860465116
1952,max,56
1952,min,21
1953,avg,35.91056910569106
1953,max,55
1953,min,22
1954,avg,34.2304347826087
1954,max,49
1954,min,23
1955,avg,35.1
1955,max,56
1955,min,23
1956,avg,34.28421052631579
1956,max,57
1956,min,23
1957,avg,33.14035087719298
1957,max,46
1957,min,23
1958,avg,32.38174273858921
1958,max,59
1958,min,21
1959,avg,32.15384615384615
1959,max,46
1959,min,21
1960,avg,31.955156950672645
1960,max,47
1960,min,22
1961,avg,30.90909090909091
1961,max,48
1961,min,19
1962,avg,30.654708520179373
1962,max,52
1962,min,20
1963,avg,30.885826771653544
1963,max,53
1963,min,18
1964,avg,31.270531400966185
1964,max,47
1964,min,21
1965,avg,30.95609756097561
1965,max,45
1965,min,22
1966,avg,32.2289156626506
1966,max,40
1966,min,23
1967,avg,31.458536585365852
1967,max,46
1967,min,22
1968,avg,31.23175965665236
1968,max,47
1968,min,23
1969,avg,31.440677966101696
1969,max,48
1969,min,24
1970,avg,30.85374149659864
1970,max,46
1970,min,24
1971,avg,31.403041825095055
1971,max,47
1971,min,22
1972,avg,30.977346278317153
1972,max,48
1972,min,22
1973,avg,31.394957983193276
1973,max,44
1973,min,23
1974,avg,30.910550458715598
1974,max,45
1974,min,23
1975,avg,30.608815426997246
1975,max,46
1975,min,23
1976,avg,30.74884792626728
1976,max,39
1976,min,23
1977,avg,30.928721174004192
1977,max,40
1977,min,21
1978,avg,31.14012738853503
1978,max,41
1978,min,20
1979,avg,30.965260545905707
1979,max,42
1979,min,21
1980,avg,30.404699738903393
1980,max,43
1980,min,19
1981,avg,29.866369710467705
1981,max,41
1981,min,22
1982,avg,29.69462365591398
1982,max,42
1982,min,23
1983,avg,30.07547169811321
1983,max,40
1983,min,22
1984,avg,30.113953488372093
1984,max,41
1984,min,23
1985,avg,30.54433497536946
1985,max,42
1985,min,22
1986,avg,31.385922330097088
1986,max,43
1986,min,22
1987,avg,30.372315035799524
1987,max,39
1987,min,23
1988,avg,30.31313131313131
1988,max,40
1988,min,24
1989,avg,30.311290322580646
1989,max,41
1989,min,23
1990,avg,30.394833948339482
1990,max,38
1990,min,22
1991,avg,30.05751391465677
1991,max,39
1991,min,22
1992,avg,30.060669456066947
1992,max,39
1992,min,21
1993,avg,30.75485436893204
1993,max,39
1993,min,21
1994,avg,29.443693693693692
1994,max,41
1994,min,22
1995,avg,29.507177033492823
1995,max,42
1995,min,22
1996,avg,29.264705882352942
1996,max,38
1996,min,20
1997,avg,28.43617021276596
1997,max,38
1997,min,21
1998,avg,28.32951289398281
1998,max,38
1998,min,20
1999,avg,29.352272727272727
1999,max,39
1999,min,23
2000,avg,28.715817694369974
2000,max,36
2000,min,20
2001,avg,28.219251336898395
2001,max,37
2001,min,20
2002,avg,28.930939226519335
2002,max,37
2002,min,21
2003,avg,28.778125
2003,max,37
2003,min,22
2004,avg,27.725
2004,max,38
2004,min,21
2005,avg,28.699468085106382
2005,max,36
2005,min,22
2006,avg,28.81313131313131
2006,max,37
2006,min,21
2007,avg,28.237967914438503
2007,max,36
2007,min,20
2008,avg,28.043478260869566
2008,max,37
2008,min,21
2009,avg,27.92058823529412
2009,max,38
2009,min,19
2010,avg,28.42763157894737
2010,max,41
2010,min,20
2011,avg,28.79824561403509
2011,max,42
2011,min,21
2012,avg,29.085416666666667
2012,max,43
2012,min,22
2013,avg,27.30861244019139
2013,max,37
2013,min,22
2014,avg,27.255528255528255
2014,max,35
2014,min,20
2015,avg,27.33862433862434
2015,max,36
2015,min,18
2016,avg,27.417748917748916
2016,max,37
2016,min,19
2017,avg,27.39
2017,max,38
2017,min,19
2018,avg,27.55
2018,max,39
2018,min,20
2019,avg,27.5
2019,max,40
2019,min,20
2020,avg,27.461764705882352
2020,max,41
2020,min,21
2021,avg,27.927272727272726
2021,max,42
2021,min,21
2022,avg,28.15
2022,max,41
2022,min,22
