Nationalities,Year,Liczba Kierowców,Country
American,1950,35,United States
American,1951,51,United States
American,1952,60,United States
American,1953,69,United States
American,1954,76,United States
American,1955,84,United States
American,1956,89,United States
American,1957,96,United States
American,1958,107,United States
American,1959,118,United States
American,1960,128,United States
American,1961,131,United States
American,1962,134,United States
American,1963,136,United States
American,1964,138,United States
American,1965,139,United States
American,1966,139,United States
American,1967,141,United States
American,1968,143,United States
American,1969,143,United States
American,1970,144,United States
American,1971,147,United States
American,1972,147,United States
American,1973,148,United States
American,1974,148,United States
American,1975,149,United States
American,1976,149,United States
American,1977,150,United States
American,1978,152,United States
American,1979,152,United States
American,1980,153,United States
American,1981,153,United States
American,1982,153,United States
American,1983,154,United States
American,1984,154,United States
American,1985,154,United States
American,1986,154,United States
American,1987,154,United States
American,1988,154,United States
American,1989,154,United States
American,1990,154,United States
American,1991,154,United States
American,1992,154,United States
American,1993,155,United States
American,1994,155,United States
American,1995,155,United States
American,1996,155,United States
American,1997,155,United States
American,1998,155,United States
American,1999,155,United States
American,2000,155,United States
American,2001,155,United States
American,2002,155,United States
American,2003,155,United States
American,2004,155,United States
American,2005,155,United States
American,2006,156,United States
American,2007,156,United States
American,2008,156,United States
American,2009,156,United States
American,2010,156,United States
American,2011,156,United States
American,2012,156,United States
American,2013,156,United States
American,2014,156,United States
American,2015,157,United States
American,2016,157,United States
American,2017,157,United States
American,2018,157,United States
American,2019,157,United States
American,2020,157,United States
American,2021,157,United States
American,2022,157,United States
Argentine,1950,3,Argentina
Argentine,1951,4,Argentina
Argentine,1952,5,Argentina
Argentine,1953,10,Argentina
Argentine,1954,12,Argentina
Argentine,1955,13,Argentina
Argentine,1956,13,Argentina
Argentine,1957,13,Argentina
Argentine,1958,13,Argentina
Argentine,1959,13,Argentina
Argentine,1960,16,Argentina
Argentine,1961,17,Argentina
Argentine,1962,17,Argentina
Argentine,1963,17,Argentina
Argentine,1964,17,Argentina
Argentine,1965,17,Argentina
Argentine,1966,17,Argentina
Argentine,1967,17,Argentina
Argentine,1968,17,Argentina
Argentine,1969,17,Argentina
Argentine,1970,17,Argentina
Argentine,1971,17,Argentina
Argentine,1972,18,Argentina
Argentine,1973,18,Argentina
Argentine,1974,18,Argentina
Argentine,1975,18,Argentina
Argentine,1976,18,Argentina
Argentine,1977,18,Argentina
Argentine,1978,18,Argentina
Argentine,1979,19,Argentina
Argentine,1980,19,Argentina
Argentine,1981,20,Argentina
Argentine,1982,20,Argentina
Argentine,1983,20,Argentina
Argentine,1984,20,Argentina
Argentine,1985,20,Argentina
Argentine,1986,20,Argentina
Argentine,1987,20,Argentina
Argentine,1988,21,Argentina
Argentine,1989,21,Argentina
Argentine,1990,21,Argentina
Argentine,1991,21,Argentina
Argentine,1992,21,Argentina
Argentine,1993,21,Argentina
Argentine,1994,21,Argentina
Argentine,1995,21,Argentina
Argentine,1996,21,Argentina
Argentine,1997,22,Argentina
Argentine,1998,23,Argentina
Argentine,1999,23,Argentina
Argentine,2000,24,Argentina
Argentine,2001,24,Argentina
Argentine,2002,24,Argentina
Argentine,2003,24,Argentina
Argentine,2004,24,Argentina
Argentine,2005,24,Argentina
Argentine,2006,24,Argentina
Argentine,2007,24,Argentina
Argentine,2008,24,Argentina
Argentine,2009,24,Argentina
Argentine,2010,24,Argentina
Argentine,2011,24,Argentina
Argentine,2012,24,Argentina
Argentine,2013,24,Argentina
Argentine,2014,24,Argentina
Argentine,2015,24,Argentina
Argentine,2016,24,Argentina
Argentine,2017,24,Argentina
Argentine,2018,24,Argentina
Argentine,2019,24,Argentina
Argentine,2020,24,Argentina
Argentine,2021,24,Argentina
Argentine,2022,24,Argentina
,,,
,,,
Australian,1952,1,Australia
Australian,1953,1,Australia
Australian,1954,1,Australia
Australian,1955,2,Australia
Australian,1956,2,Australia
Australian,1957,3,Australia
Australian,1958,4,Australia
Australian,1959,4,Australia
Australian,1960,4,Australia
Australian,1961,4,Australia
Australian,1962,4,Australia
Australian,1963,4,Australia
Australian,1964,5,Australia
Australian,1965,6,Australia
Australian,1966,6,Australia
Australian,1967,6,Australia
Australian,1968,6,Australia
Australian,1969,6,Australia
Australian,1970,7,Australia
Australian,1971,8,Australia
Australian,1972,8,Australia
Australian,1973,8,Australia
Australian,1974,10,Australia
Australian,1975,11,Australia
Australian,1976,12,Australia
Australian,1977,13,Australia
Australian,1978,13,Australia
Australian,1979,13,Australia
Australian,1980,13,Australia
Australian,1981,13,Australia
Australian,1982,13,Australia
Australian,1983,13,Australia
Australian,1984,13,Australia
Australian,1985,13,Australia
Australian,1986,13,Australia
Australian,1987,13,Australia
Australian,1988,13,Australia
Australian,1989,13,Australia
Australian,1990,15,Australia
Australian,1991,15,Australia
Australian,1992,15,Australia
Australian,1993,15,Australia
Australian,1994,15,Australia
Australian,1995,15,Australia
Australian,1996,15,Australia
Australian,1997,15,Australia
Australian,1998,15,Australia
Australian,1999,15,Australia
Australian,2000,15,Australia
Australian,2001,15,Australia
Australian,2002,16,Australia
Australian,2003,16,Australia
Australian,2004,16,Australia
Australian,2005,16,Australia
Australian,2006,16,Australia
Australian,2007,16,Australia
Australian,2008,16,Australia
Australian,2009,16,Australia
Australian,2010,16,Australia
Australian,2011,17,Australia
Australian,2012,17,Australia
Australian,2013,17,Australia
Australian,2014,17,Australia
Australian,2015,17,Australia
Australian,2016,17,Australia
Australian,2017,17,Australia
Australian,2018,17,Australia
Australian,2019,17,Australia
Australian,2020,17,Australia
Australian,2021,17,Australia
Australian,2022,17,Australia
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Austrian,1964,1,Austria
Austrian,1965,1,Austria
Austrian,1966,1,Austria
Austrian,1967,1,Austria
Austrian,1968,1,Austria
Austrian,1969,1,Austria
Austrian,1970,1,Austria
Austrian,1971,3,Austria
Austrian,1972,3,Austria
Austrian,1973,3,Austria
Austrian,1974,5,Austria
Austrian,1975,6,Austria
Austrian,1976,8,Austria
Austrian,1977,8,Austria
Austrian,1978,8,Austria
Austrian,1979,8,Austria
Austrian,1980,8,Austria
Austrian,1981,8,Austria
Austrian,1982,8,Austria
Austrian,1983,8,Austria
Austrian,1984,10,Austria
Austrian,1985,10,Austria
Austrian,1986,10,Austria
Austrian,1987,10,Austria
Austrian,1988,10,Austria
Austrian,1989,10,Austria
Austrian,1990,10,Austria
Austrian,1991,11,Austria
Austrian,1992,11,Austria
Austrian,1993,11,Austria
Austrian,1994,12,Austria
Austrian,1995,12,Austria
Austrian,1996,12,Austria
Austrian,1997,13,Austria
Austrian,1998,13,Austria
Austrian,1999,13,Austria
Austrian,2000,13,Austria
Austrian,2001,13,Austria
Austrian,2002,13,Austria
Austrian,2003,13,Austria
Austrian,2004,14,Austria
Austrian,2005,15,Austria
Austrian,2006,15,Austria
Austrian,2007,15,Austria
Austrian,2008,15,Austria
Austrian,2009,15,Austria
Austrian,2010,15,Austria
Austrian,2011,15,Austria
Austrian,2012,15,Austria
Austrian,2013,15,Austria
Austrian,2014,15,Austria
Austrian,2015,15,Austria
Austrian,2016,15,Austria
Austrian,2017,15,Austria
Austrian,2018,15,Austria
Austrian,2019,15,Austria
Austrian,2020,15,Austria
Austrian,2021,15,Austria
Austrian,2022,15,Austria
Belgian,1950,1,Belgium
Belgian,1951,2,Belgium
Belgian,1952,6,Belgium
Belgian,1953,7,Belgium
Belgian,1954,7,Belgium
Belgian,1955,7,Belgium
Belgian,1956,9,Belgium
Belgian,1957,9,Belgium
Belgian,1958,10,Belgium
Belgian,1959,12,Belgium
Belgian,1960,13,Belgium
Belgian,1961,13,Belgium
Belgian,1962,13,Belgium
Belgian,1963,13,Belgium
Belgian,1964,13,Belgium
Belgian,1965,13,Belgium
Belgian,1966,13,Belgium
Belgian,1967,14,Belgium
Belgian,1968,14,Belgium
Belgian,1969,14,Belgium
Belgian,1970,14,Belgium
Belgian,1971,14,Belgium
Belgian,1972,14,Belgium
Belgian,1973,14,Belgium
Belgian,1974,15,Belgium
Belgian,1975,15,Belgium
Belgian,1976,16,Belgium
Belgian,1977,17,Belgium
Belgian,1978,17,Belgium
Belgian,1979,17,Belgium
Belgian,1980,17,Belgium
Belgian,1981,17,Belgium
Belgian,1982,17,Belgium
Belgian,1983,18,Belgium
Belgian,1984,18,Belgium
Belgian,1985,18,Belgium
Belgian,1986,18,Belgium
Belgian,1987,18,Belgium
Belgian,1988,18,Belgium
Belgian,1989,19,Belgium
Belgian,1990,19,Belgium
Belgian,1991,20,Belgium
Belgian,1992,20,Belgium
Belgian,1993,20,Belgium
Belgian,1994,21,Belgium
Belgian,1995,21,Belgium
Belgian,1996,21,Belgium
Belgian,1997,21,Belgium
Belgian,1998,21,Belgium
Belgian,1999,21,Belgium
Belgian,2000,21,Belgium
Belgian,2001,21,Belgium
Belgian,2002,21,Belgium
Belgian,2003,21,Belgium
Belgian,2004,21,Belgium
Belgian,2005,21,Belgium
Belgian,2006,21,Belgium
Belgian,2007,21,Belgium
Belgian,2008,21,Belgium
Belgian,2009,21,Belgium
Belgian,2010,21,Belgium
Belgian,2011,22,Belgium
Belgian,2012,22,Belgium
Belgian,2013,22,Belgium
Belgian,2014,22,Belgium
Belgian,2015,22,Belgium
Belgian,2016,23,Belgium
Belgian,2017,23,Belgium
Belgian,2018,23,Belgium
Belgian,2019,23,Belgium
Belgian,2020,23,Belgium
Belgian,2021,23,Belgium
Belgian,2022,23,Belgium
,,,
Brazilian,1951,1,Brazil
Brazilian,1952,2,Brazil
Brazilian,1953,2,Brazil
Brazilian,1954,2,Brazil
Brazilian,1955,3,Brazil
Brazilian,1956,3,Brazil
Brazilian,1957,3,Brazil
Brazilian,1958,3,Brazil
Brazilian,1959,4,Brazil
Brazilian,1960,4,Brazil
Brazilian,1961,4,Brazil
Brazilian,1962,4,Brazil
Brazilian,1963,4,Brazil
Brazilian,1964,4,Brazil
Brazilian,1965,4,Brazil
Brazilian,1966,4,Brazil
Brazilian,1967,4,Brazil
Brazilian,1968,4,Brazil
Brazilian,1969,4,Brazil
Brazilian,1970,5,Brazil
Brazilian,1971,5,Brazil
Brazilian,1972,7,Brazil
Brazilian,1973,8,Brazil
Brazilian,1974,8,Brazil
Brazilian,1975,8,Brazil
Brazilian,1976,10,Brazil
Brazilian,1977,10,Brazil
Brazilian,1978,11,Brazil
Brazilian,1979,11,Brazil
Brazilian,1980,11,Brazil
Brazilian,1981,12,Brazil
Brazilian,1982,14,Brazil
Brazilian,1983,14,Brazil
Brazilian,1984,15,Brazil
Brazilian,1985,15,Brazil
Brazilian,1986,15,Brazil
Brazilian,1987,15,Brazil
Brazilian,1988,16,Brazil
Brazilian,1989,16,Brazil
Brazilian,1990,16,Brazil
Brazilian,1991,16,Brazil
Brazilian,1992,17,Brazil
Brazilian,1993,18,Brazil
Brazilian,1994,18,Brazil
Brazilian,1995,19,Brazil
Brazilian,1996,21,Brazil
Brazilian,1997,21,Brazil
Brazilian,1998,21,Brazil
Brazilian,1999,22,Brazil
Brazilian,2000,23,Brazil
Brazilian,2001,24,Brazil
Brazilian,2002,25,Brazil
Brazilian,2003,27,Brazil
Brazilian,2004,27,Brazil
Brazilian,2005,27,Brazil
Brazilian,2006,27,Brazil
Brazilian,2007,27,Brazil
Brazilian,2008,28,Brazil
Brazilian,2009,28,Brazil
Brazilian,2010,30,Brazil
Brazilian,2011,30,Brazil
Brazilian,2012,30,Brazil
Brazilian,2013,30,Brazil
Brazilian,2014,30,Brazil
Brazilian,2015,31,Brazil
Brazilian,2016,31,Brazil
Brazilian,2017,31,Brazil
Brazilian,2018,31,Brazil
Brazilian,2019,31,Brazil
Brazilian,2020,32,Brazil
Brazilian,2021,32,Brazil
Brazilian,2022,32,Brazil
British,1950,12,Great Britain
British,1951,18,Great Britain
British,1952,33,Great Britain
British,1953,38,Great Britain
British,1954,45,Great Britain
British,1955,46,Great Britain
British,1956,53,Great Britain
British,1957,59,Great Britain
British,1958,65,Great Britain
British,1959,78,Great Britain
British,1960,82,Great Britain
British,1961,87,Great Britain
British,1962,89,Great Britain
British,1963,94,Great Britain
British,1964,96,Great Britain
British,1965,100,Great Britain
British,1966,102,Great Britain
British,1967,108,Great Britain
British,1968,112,Great Britain
British,1969,113,Great Britain
British,1970,115,Great Britain
British,1971,117,Great Britain
British,1972,117,Great Britain
British,1973,121,Great Britain
British,1974,126,Great Britain
British,1975,133,Great Britain
British,1976,134,Great Britain
British,1977,136,Great Britain
British,1978,137,Great Britain
British,1979,137,Great Britain
British,1980,140,Great Britain
British,1981,141,Great Britain
British,1982,141,Great Britain
British,1983,143,Great Britain
British,1984,144,Great Britain
British,1985,144,Great Britain
British,1986,145,Great Britain
British,1987,145,Great Britain
British,1988,146,Great Britain
British,1989,148,Great Britain
British,1990,148,Great Britain
British,1991,149,Great Britain
British,1992,151,Great Britain
British,1993,152,Great Britain
British,1994,153,Great Britain
British,1995,153,Great Britain
British,1996,153,Great Britain
British,1997,153,Great Britain
British,1998,153,Great Britain
British,1999,153,Great Britain
British,2000,154,Great Britain
British,2001,154,Great Britain
British,2002,156,Great Britain
British,2003,157,Great Britain
British,2004,157,Great Britain
British,2005,157,Great Britain
British,2006,157,Great Britain
British,2007,158,Great Britain
British,2008,158,Great Britain
British,2009,158,Great Britain
British,2010,158,Great Britain
British,2011,159,Great Britain
British,2012,159,Great Britain
British,2013,160,Great Britain
British,2014,161,Great Britain
British,2015,161,Great Britain
British,2016,162,Great Britain
British,2017,162,Great Britain
British,2018,162,Great Britain
British,2019,164,Great Britain
British,2020,165,Great Britain
British,2021,165,Great Britain
British,2022,165,Great Britain
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Canadian,1961,1,Canada
Canadian,1962,1,Canada
Canadian,1963,2,Canada
Canadian,1964,2,Canada
Canadian,1965,2,Canada
Canadian,1966,2,Canada
Canadian,1967,4,Canada
Canadian,1968,5,Canada
Canadian,1969,7,Canada
Canadian,1970,7,Canada
Canadian,1971,8,Canada
Canadian,1972,8,Canada
Canadian,1973,8,Canada
Canadian,1974,8,Canada
Canadian,1975,8,Canada
Canadian,1976,8,Canada
Canadian,1977,9,Canada
Canadian,1978,9,Canada
Canadian,1979,9,Canada
Canadian,1980,9,Canada
Canadian,1981,10,Canada
Canadian,1982,10,Canada
Canadian,1983,10,Canada
Canadian,1984,10,Canada
Canadian,1985,10,Canada
Canadian,1986,11,Canada
Canadian,1987,11,Canada
Canadian,1988,11,Canada
Canadian,1989,11,Canada
Canadian,1990,11,Canada
Canadian,1991,11,Canada
Canadian,1992,11,Canada
Canadian,1993,11,Canada
Canadian,1994,11,Canada
Canadian,1995,11,Canada
Canadian,1996,12,Canada
Canadian,1997,12,Canada
Canadian,1998,12,Canada
Canadian,1999,12,Canada
Canadian,2000,12,Canada
Canadian,2001,12,Canada
Canadian,2002,12,Canada
Canadian,2003,12,Canada
Canadian,2004,12,Canada
Canadian,2005,12,Canada
Canadian,2006,12,Canada
Canadian,2007,12,Canada
Canadian,2008,12,Canada
Canadian,2009,12,Canada
Canadian,2010,12,Canada
Canadian,2011,12,Canada
Canadian,2012,12,Canada
Canadian,2013,12,Canada
Canadian,2014,12,Canada
Canadian,2015,12,Canada
Canadian,2016,12,Canada
Canadian,2017,13,Canada
Canadian,2018,13,Canada
Canadian,2019,13,Canada
Canadian,2020,14,Canada
Canadian,2021,14,Canada
Canadian,2022,14,Canada
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Chilean,1981,1,Chile
Chilean,1982,1,Chile
Chilean,1983,1,Chile
Chilean,1984,1,Chile
Chilean,1985,1,Chile
Chilean,1986,1,Chile
Chilean,1987,1,Chile
Chilean,1988,1,Chile
Chilean,1989,1,Chile
Chilean,1990,1,Chile
Chilean,1991,1,Chile
Chilean,1992,1,Chile
Chilean,1993,1,Chile
Chilean,1994,1,Chile
Chilean,1995,1,Chile
Chilean,1996,1,Chile
Chilean,1997,1,Chile
Chilean,1998,1,Chile
Chilean,1999,1,Chile
Chilean,2000,1,Chile
Chilean,2001,1,Chile
Chilean,2002,1,Chile
Chilean,2003,1,Chile
Chilean,2004,1,Chile
Chilean,2005,1,Chile
Chilean,2006,1,Chile
Chilean,2007,1,Chile
Chilean,2008,1,Chile
Chilean,2009,1,Chile
Chilean,2010,1,Chile
Chilean,2011,1,Chile
Chilean,2012,1,Chile
Chilean,2013,1,Chile
Chilean,2014,1,Chile
Chilean,2015,1,Chile
Chilean,2016,1,Chile
Chilean,2017,1,Chile
Chilean,2018,1,Chile
Chilean,2019,1,Chile
Chilean,2020,1,Chile
Chilean,2021,1,Chile
Chilean,2022,1,Chile
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Chinese,2022,1,China
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Colombian,1981,1,Colombia
Colombian,1982,2,Colombia
Colombian,1983,2,Colombia
Colombian,1984,2,Colombia
Colombian,1985,2,Colombia
Colombian,1986,2,Colombia
Colombian,1987,2,Colombia
Colombian,1988,2,Colombia
Colombian,1989,2,Colombia
Colombian,1990,2,Colombia
Colombian,1991,2,Colombia
Colombian,1992,2,Colombia
Colombian,1993,2,Colombia
Colombian,1994,2,Colombia
Colombian,1995,2,Colombia
Colombian,1996,2,Colombia
Colombian,1997,2,Colombia
Colombian,1998,2,Colombia
Colombian,1999,2,Colombia
Colombian,2000,2,Colombia
Colombian,2001,3,Colombia
Colombian,2002,3,Colombia
Colombian,2003,3,Colombia
Colombian,2004,3,Colombia
Colombian,2005,3,Colombia
Colombian,2006,3,Colombia
Colombian,2007,3,Colombia
Colombian,2008,3,Colombia
Colombian,2009,3,Colombia
Colombian,2010,3,Colombia
Colombian,2011,3,Colombia
Colombian,2012,3,Colombia
Colombian,2013,3,Colombia
Colombian,2014,3,Colombia
Colombian,2015,3,Colombia
Colombian,2016,3,Colombia
Colombian,2017,3,Colombia
Colombian,2018,3,Colombia
Colombian,2019,3,Colombia
Colombian,2020,3,Colombia
Colombian,2021,3,Colombia
Colombian,2022,3,Colombia
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Czech,2001,1,Czech Republic
Czech,2002,1,Czech Republic
Czech,2003,1,Czech Republic
Czech,2004,1,Czech Republic
Czech,2005,1,Czech Republic
Czech,2006,1,Czech Republic
Czech,2007,1,Czech Republic
Czech,2008,1,Czech Republic
Czech,2009,1,Czech Republic
Czech,2010,1,Czech Republic
Czech,2011,1,Czech Republic
Czech,2012,1,Czech Republic
Czech,2013,1,Czech Republic
Czech,2014,1,Czech Republic
Czech,2015,1,Czech Republic
Czech,2016,1,Czech Republic
Czech,2017,1,Czech Republic
Czech,2018,1,Czech Republic
Czech,2019,1,Czech Republic
Czech,2020,1,Czech Republic
Czech,2021,1,Czech Republic
Czech,2022,1,Czech Republic
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Danish,1974,1,Denmark
Danish,1975,1,Denmark
Danish,1976,2,Denmark
Danish,1977,2,Denmark
Danish,1978,2,Denmark
Danish,1979,2,Denmark
Danish,1980,2,Denmark
Danish,1981,2,Denmark
Danish,1982,2,Denmark
Danish,1983,2,Denmark
Danish,1984,2,Denmark
Danish,1985,2,Denmark
Danish,1986,2,Denmark
Danish,1987,2,Denmark
Danish,1988,2,Denmark
Danish,1989,2,Denmark
Danish,1990,2,Denmark
Danish,1991,2,Denmark
Danish,1992,2,Denmark
Danish,1993,2,Denmark
Danish,1994,2,Denmark
Danish,1995,3,Denmark
Danish,1996,3,Denmark
Danish,1997,3,Denmark
Danish,1998,3,Denmark
Danish,1999,3,Denmark
Danish,2000,3,Denmark
Danish,2001,3,Denmark
Danish,2002,3,Denmark
Danish,2003,4,Denmark
Danish,2004,4,Denmark
Danish,2005,4,Denmark
Danish,2006,4,Denmark
Danish,2007,4,Denmark
Danish,2008,4,Denmark
Danish,2009,4,Denmark
Danish,2010,4,Denmark
Danish,2011,4,Denmark
Danish,2012,4,Denmark
Danish,2013,4,Denmark
