resultId,raceId,driverId,constructorId,number_x,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,driverRef,number_y,code,forename,surname,dob,nationality,url
1,18,1,1,22.0,1,1,1,1,10,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,2008,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2,18,2,2,3.0,5,2,2,2,8,58,+5.478,5696094,41,3,1:27.739,217.586,1,2008,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
3,18,3,3,7.0,7,3,3,3,6,58,+8.163,5698779,41,5,1:28.090,216.719,1,2008,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
4,18,4,4,5.0,11,4,4,4,5,58,+17.181,5707797,58,7,1:28.603,215.464,1,2008,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
5,18,5,1,23.0,3,5,5,5,4,58,+18.014,5708630,43,1,1:27.418,218.385,1,2008,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
6,18,6,3,8.0,13,6,6,6,3,57,\N,\N,50,14,1:29.639,212.974,11,2008,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
7,18,7,5,14.0,17,7,7,7,2,55,\N,\N,22,12,1:29.534,213.224,5,2008,bourdais,\N,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
8,18,8,6,1.0,15,8,8,8,1,53,\N,\N,20,4,1:27.903,217.180,5,2008,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
9,18,9,2,4.0,2,\N,R,9,0,47,\N,\N,15,9,1:28.753,215.100,4,2008,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
10,18,10,7,12.0,18,\N,R,10,0,43,\N,\N,23,13,1:29.558,213.166,3,2008,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
11,18,11,8,18.0,19,\N,R,11,0,32,\N,\N,24,15,1:30.892,210.038,7,2008,sato,\N,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
12,18,12,4,6.0,20,\N,R,12,0,30,\N,\N,20,16,1:31.384,208.907,8,2008,piquet_jr,\N,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
13,18,13,6,2.0,4,\N,R,13,0,29,\N,\N,23,6,1:28.175,216.510,5,2008,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
14,18,14,9,9.0,8,\N,R,14,0,25,\N,\N,21,11,1:29.502,213.300,4,2008,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
15,18,15,7,11.0,6,\N,R,15,0,19,\N,\N,18,10,1:29.310,213.758,10,2008,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
16,18,16,10,20.0,22,\N,R,16,0,8,\N,\N,8,17,1:32.021,207.461,9,2008,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
17,18,17,9,10.0,14,\N,R,17,0,0,\N,\N,\N,\N,\N,\N,4,2008,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
18,18,18,11,16.0,12,\N,R,18,0,0,\N,\N,\N,\N,\N,\N,4,2008,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
19,18,19,8,19.0,21,\N,R,19,0,0,\N,\N,\N,\N,\N,\N,4,2008,davidson,\N,DAV,Anthony,Davidson,1979-04-18,British,http://en.wikipedia.org/wiki/Anthony_Davidson
20,18,20,5,15.0,9,\N,R,20,0,0,\N,\N,\N,\N,\N,\N,4,2008,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
21,18,21,10,21.0,16,\N,R,21,0,0,\N,\N,\N,\N,\N,\N,4,2008,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
22,18,22,11,17.0,10,\N,D,22,0,58,\N,\N,44,8,1:28.736,215.141,2,2008,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
23,19,8,6,1.0,2,1,1,1,10,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1,2008,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
24,19,9,2,4.0,4,2,2,2,8,56,+19.570,5498125,39,6,1:35.921,208.033,1,2008,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
25,19,5,1,23.0,8,3,3,3,6,56,+38.450,5517005,19,7,1:35.922,208.031,1,2008,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
26,19,15,7,11.0,3,4,4,4,5,56,+45.832,5524387,53,8,1:36.068,207.715,1,2008,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
27,19,1,1,22.0,9,5,5,5,4,56,+46.548,5525103,53,3,1:35.462,209.033,1,2008,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
28,19,2,2,3.0,5,6,6,6,3,56,+49.833,5528388,55,1,1:35.366,209.244,1,2008,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
29,19,17,9,10.0,6,7,7,7,2,56,+1:08.130,5546685,53,12,1:36.696,206.366,1,2008,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
30,19,4,4,5.0,7,8,8,8,1,56,+1:10.041,5548596,40,10,1:36.288,207.240,1,2008,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
31,19,14,9,9.0,12,9,9,9,0,56,+1:16.220,5554775,55,9,1:36.206,207.417,1,2008,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
32,19,18,11,16.0,11,10,10,10,0,56,+1:26.214,5564769,56,4,1:35.715,208.481,1,2008,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
33,19,12,4,6.0,13,11,11,11,0,56,+1:32.202,5570757,52,15,1:36.956,205.812,1,2008,piquet_jr,\N,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
